"","Position_um","Intensity_mean"
"1",0,221.52128
"2",0.67,221.6061
"3",1.33,221.90787
"4",2,222.55188
"5",2.67,223.72116
"6",3.33,224.22556
"7",4,225.05373
"8",4.67,224.29614
"9",5.33,224.75888
"10",6,225.40521
"11",6.67,225.85774
"12",7.33,225.51996
"13",8,226.21022
"14",8.67,225.51281
"15",9.33,225.26715
"16",10,224.85712
"17",10.67,224.23353
"18",11.33,224.18395
"19",12,223.5388
"20",12.67,222.28449
"21",13.33,221.82662
"22",14,221.10685
"23",14.67,220.94867
"24",15.33,221.11413
"25",16,221.52938
"26",16.67,220.83911
"27",17.33,220.88921
"28",18,220.19977
"29",18.67,220.63649
"30",19.33,220.05576
"31",20,219.65689
"32",20.67,219.28285
"33",21.33,218.80223
"34",22,218.37939
"35",22.67,218.68618
"36",23.33,217.97635
"37",24,219.00698
"38",24.67,219.54066
"39",25.33,220.65076
"40",26,220.10517
"41",26.67,219.89582
"42",27.33,219.4299
"43",28,220.00049
"44",28.67,219.76086
"45",29.33,219.26723
"46",30,218.6848
"47",30.67,218.62902
"48",31.33,218.43873
"49",32,218.0615
"50",32.67,216.95405
"51",33.33,217.07439
"52",34,216.6924
"53",34.67,217.27166
"54",35.33,216.9405
"55",36,217.25316
"56",36.67,217.18237
"57",37.33,217.53483
"58",38,216.80244
"59",38.67,217.34074
"60",39.33,217.36444
"61",40,217.31832
"62",40.67,216.93708
"63",41.33,216.98902
"64",42,216.69964
"65",42.67,217.13789
"66",43.33,216.27296
"67",44,216.07654
"68",44.67,215.68944
"69",45.33,215.78257
"70",46,214.64252
"71",46.67,215.09845
"72",47.33,215.12876
"73",48,215.81515
"74",48.67,216.18907
"75",49.33,217.37239
"76",50,217.43123
"77",50.67,218.58529
"78",51.33,218.64707
"79",52,219.3364
"80",52.67,219.28516
"81",53.33,220.22742
"82",54,220.58621
"83",54.67,221.8247
"84",55.33,221.22085
"85",56,221.56667
"86",56.67,220.96183
"87",57.33,220.83164
"88",58,219.9272
"89",58.67,220.63523
"90",59.33,220.42385
"91",60,221.26555
"92",60.67,221.60623
"93",61.33,222.42514
"94",62,221.99703
"95",62.67,222.25963
"96",63.33,222.07608
"97",64,222.00396
"98",64.67,221.68596
"99",65.33,222.21395
"100",66,221.79258
"101",66.67,221.9679
"102",67.33,221.6212
"103",68,221.67115
"104",68.67,221.53982
"105",69.33,221.57435
"106",70,221.63226
"107",70.67,222.33332
"108",71.33,221.82537
"109",72,221.8731
"110",72.67,221.22533
"111",73.33,221.36094
"112",74,220.65435
"113",74.67,220.92496
"114",75.33,220.69604
"115",76,221.07557
"116",76.67,221.2491
"117",77.33,221.30569
"118",78,221.07929
"119",78.67,221.6011
"120",79.33,221.35671
"121",80,221.90844
"122",80.67,222.68138
"123",81.33,222.86435
"124",82,222.26453
"125",82.67,222.15546
"126",83.33,221.12361
"127",84,221.70236
"128",84.67,222.07492
"129",85.33,222.34237
"130",86,221.76801
"131",86.67,223.05742
"132",87.33,222.93885
"133",88,223.90858
"134",88.67,224.26574
"135",89.33,224.2088
"136",90,223.78577
"137",90.67,224.59599
"138",91.33,224.68201
"139",92,224.86151
"140",92.67,225.2905
"141",93.33,224.73511
"142",94,223.96618
"143",94.67,224.70662
"144",95.33,224.82391
"145",96,224.69316
"146",96.67,225.7757
"147",97.33,226.0228
"148",98,225.95312
"149",98.67,226.36471
"150",99.33,225.72507
"151",100,225.38234
"152",100.67,225.03501
"153",101.33,224.71346
"154",102,224.69365
"155",102.67,225.44013
"156",103.33,225.68111
"157",104,225.90182
"158",104.67,226.99777
"159",105.33,227.35098
"160",106,227.40477
"161",106.67,228.09662
"162",107.33,228.27884
"163",108,228.03389
"164",108.67,228.10694
"165",109.33,228.15756
"166",110,227.90845
"167",110.67,227.65395
"168",111.33,227.18062
"169",112,226.77423
"170",112.67,226.40906
"171",113.33,226.51699
"172",114,226.90747
"173",114.67,227.29173
"174",115.33,227.21609
"175",116,226.98982
"176",116.67,227.08168
"177",117.33,226.21498
"178",118,226.13333
"179",118.67,225.71261
"180",119.33,225.89169
"181",120,225.36843
"182",120.67,224.85646
"183",121.33,223.78766
