"","Position_um","Intensity_mean"
"1",0,249.90263
"2",0.67,249.9992
"3",1.33,250.09569
"4",2,250.21599
"5",2.67,250.24703
"6",3.33,250.24426
"7",4,250.2009
"8",4.67,250.14704
"9",5.33,250.06012
"10",6,249.91329
"11",6.67,249.85382
"12",7.33,249.71961
"13",8,249.62569
"14",8.67,249.42951
"15",9.33,249.30294
"16",10,249.15111
"17",10.67,249.09902
"18",11.33,249.11627
"19",12,249.04017
"20",12.67,248.85156
"21",13.33,248.70035
"22",14,248.65285
"23",14.67,248.67857
"24",15.33,248.66452
"25",16,248.60649
"26",16.67,248.58525
"27",17.33,248.6039
"28",18,248.59195
"29",18.67,248.45929
"30",19.33,248.41508
"31",20,248.47333
"32",20.67,248.55045
"33",21.33,248.51622
"34",22,248.49471
"35",22.67,248.43952
"36",23.33,248.41488
"37",24,248.30632
"38",24.67,248.33031
"39",25.33,248.42551
"40",26,248.47303
"41",26.67,248.50974
"42",27.33,248.65692
"43",28,248.78571
"44",28.67,248.81173
"45",29.33,248.93133
"46",30,249.01497
"47",30.67,249.08045
"48",31.33,249.1276
"49",32,249.17592
"50",32.67,249.126
"51",33.33,249.07937
"52",34,248.97742
"53",34.67,248.89008
"54",35.33,248.83021
"55",36,248.70337
"56",36.67,248.6771
"57",37.33,248.71468
"58",38,248.6524
"59",38.67,248.51706
"60",39.33,248.42068
"61",40,248.21707
"62",40.67,247.94973
"63",41.33,247.68106
"64",42,247.52335
"65",42.67,247.18977
"66",43.33,246.98768
"67",44,246.77797
"68",44.67,246.75685
"69",45.33,246.90106
"70",46,246.99423
"71",46.67,247.11658
"72",47.33,247.22813
"73",48,247.26493
"74",48.67,247.14791
"75",49.33,246.98564
"76",50,246.97367
"77",50.67,247.04132
"78",51.33,247.04481
"79",52,247.12036
"80",52.67,247.03373
"81",53.33,247.02329
"82",54,246.87533
"83",54.67,246.73965
"84",55.33,246.7079
"85",56,246.58785
"86",56.67,246.58081
"87",57.33,246.53821
"88",58,246.50925
"89",58.67,246.34308
"90",59.33,246.30142
"91",60,246.1118
"92",60.67,245.85134
"93",61.33,245.71423
"94",62,245.68557
"95",62.67,245.62578
"96",63.33,245.50924
"97",64,245.2045
"98",64.67,245.16681
"99",65.33,245.26086
"100",66,245.3409
"101",66.67,245.55508
"102",67.33,245.65699
"103",68,245.95192
"104",68.67,246.35101
"105",69.33,246.56721
"106",70,246.63463
"107",70.67,246.65565
"108",71.33,246.65116
"109",72,246.73311
"110",72.67,246.62453
"111",73.33,246.5633
"112",74,246.49522
"113",74.67,246.48783
"114",75.33,246.47751
"115",76,246.37721
"116",76.67,246.45253
"117",77.33,246.54928
"118",78,246.60662
"119",78.67,246.73382
"120",79.33,246.72218
"121",80,246.68738
"122",80.67,246.56006
"123",81.33,246.4764
"124",82,246.24466
