"","Position_um","Intensity_mean"
"1",0,254.19527
"2",0.68,254.19742
"3",1.36,254.20094
"4",2.03,254.20256
"5",2.71,254.2042
"6",3.39,254.2046
"7",4.07,254.20894
"8",4.74,254.21382
"9",5.42,254.21286
"10",6.1,254.21721
"11",6.78,254.22154
"12",7.45,254.22005
"13",8.13,254.21979
"14",8.81,254.22317
"15",9.49,254.22845
"16",10.16,254.23212
"17",10.84,254.23456
"18",11.52,254.23428
"19",12.2,254.23753
"20",12.87,254.23875
"21",13.55,254.23794
"22",14.23,254.23985
"23",14.91,254.24416
"24",15.58,254.24593
"25",16.26,254.2481
"26",16.94,254.25027
"27",17.62,254.25299
"28",18.29,254.25435
"29",18.97,254.25569
"30",19.65,254.25594
"31",20.33,254.25826
"32",21,254.25854
"33",21.68,254.26545
"34",22.36,254.26451
"35",23.04,254.26775
"36",23.71,254.26963
"37",24.39,254.2695
"38",25.07,254.27263
"39",25.75,254.27343
"40",26.42,254.27344
"41",27.1,254.27547
"42",27.78,254.2778
"43",28.46,254.27846
"44",29.13,254.28007
"45",29.81,254.28048
"46",30.49,254.28361
"47",31.17,254.2836
"48",31.84,254.28456
"49",32.52,254.28455
"50",33.2,254.28482
"51",33.88,254.28726
"52",34.55,254.28739
"53",35.23,254.28876
"54",35.91,254.28929
"55",36.59,254.29011
"56",37.26,254.29119
"57",37.94,254.29064
"58",38.62,254.29308
"59",39.3,254.292
"60",39.97,254.29418
"61",40.65,254.29336
"62",41.33,254.29484
"63",42.01,254.29648
"64",42.68,254.29675
"65",43.36,254.29701
"66",44.04,254.29838
"67",44.72,254.29947
"68",45.39,254.29986
"69",46.07,254.30054
"70",46.75,254.30122
"71",47.43,254.30257
"72",48.1,254.30393
"73",48.78,254.30651
"74",49.46,254.30609
"75",50.14,254.30609
"76",50.81,254.30446
"77",51.49,254.30597
"78",52.17,254.30569
"79",52.85,254.30569
"80",53.52,254.30706
"81",54.2,254.308
"82",54.88,254.30909
"83",55.56,254.31301
"84",56.23,254.31206
"85",56.91,254.31261
"86",57.59,254.31029
"87",58.27,254.31138
"88",58.94,254.31069
"89",59.62,254.31369
"90",60.3,254.31517
"91",60.98,254.31422
"92",61.65,254.31341
"93",62.33,254.3145
"94",63.01,254.31638
"95",63.69,254.31842
"96",64.36,254.32155
"97",65.04,254.31708
"98",65.72,254.31925
"99",66.4,254.31992
