"","Position_um","Intensity_mean"
"1",0,216.50929
"2",0.67,216.55719
"3",1.34,215.79861
"4",2.01,215.88434
"5",2.68,215.59527
"6",3.35,215.67911
"7",4.02,215.99179
"8",4.69,215.96713
"9",5.35,214.9175
"10",6.02,214.81923
"11",6.69,213.89598
"12",7.36,214.50759
"13",8.03,215.03339
"14",8.7,215.66631
"15",9.37,215.80308
"16",10.04,216.05328
"17",10.71,216.22928
"18",11.38,215.91275
"19",12.05,214.96641
"20",12.72,215.2755
"21",13.39,214.54537
"22",14.06,214.84531
"23",14.73,214.70999
"24",15.39,215.02071
"25",16.06,214.408
"26",16.73,214.68123
"27",17.4,215.19665
"28",18.07,215.29885
"29",18.74,215.38733
"30",19.41,215.28648
"31",20.08,215.19621
"32",20.75,215.56805
"33",21.42,215.07596
"34",22.09,215.03396
"35",22.76,214.59165
"36",23.43,214.68456
"37",24.1,214.09321
"38",24.77,214.43391
"39",25.44,214.87152
"40",26.1,215.88149
"41",26.77,216.43272
"42",27.44,216.30025
"43",28.11,216.59076
"44",28.78,217.2215
"45",29.45,217.58077
"46",30.12,217.8352
"47",30.79,218.11264
"48",31.46,218.89005
"49",32.13,218.00758
"50",32.8,218.27346
"51",33.47,217.43824
"52",34.14,217.81727
"53",34.81,217.90191
"54",35.48,217.74258
"55",36.14,217.04601
"56",36.81,217.27386
"57",37.48,217.14617
"58",38.15,217.61487
"59",38.82,218.44553
"60",39.49,219.33814
"61",40.16,220.04404
"62",40.83,220.52534
"63",41.5,221.78979
"64",42.17,222.04954
"65",42.84,222.588
"66",43.51,222.97243
"67",44.18,222.84087
"68",44.85,223.14568
"69",45.52,223.40165
"70",46.18,223.82441
"71",46.85,223.1822
"72",47.52,223.45368
"73",48.19,223.68305
"74",48.86,223.40335
"75",49.53,222.7786
"76",50.2,222.7113
"77",50.87,222.22877
"78",51.54,222.50758
"79",52.21,222.13458
"80",52.88,221.90365
"81",53.55,221.04886
"82",54.22,220.99486
"83",54.89,220.8656
"84",55.56,221.20034
"85",56.22,221.65765
"86",56.89,221.76131
"87",57.56,222.16728
"88",58.23,221.99919
"89",58.9,221.56756
"90",59.57,221.31375
"91",60.24,221.25614
"92",60.91,221.18028
"93",61.58,221.30393
"94",62.25,221.9752
"95",62.92,221.90682
"96",63.59,221.84543
"97",64.26,222.46804
"98",64.93,222.72601
"99",65.6,222.52543
"100",66.27,222.51438
"101",66.93,222.20491
"102",67.6,222.13147
"103",68.27,222.21357
"104",68.94,222.49075
"105",69.61,222.06484
"106",70.28,222.06268
"107",70.95,221.93511
"108",71.62,221.98603
"109",72.29,221.71637
"110",72.96,221.39741
"111",73.63,221.19594
"112",74.3,221.08175
"113",74.97,220.79299
"114",75.64,221.50139
"115",76.31,221.91031
"116",76.97,222.14098
"117",77.64,222.59803
"118",78.31,223.05697
"119",78.98,223.59359
"120",79.65,224.09233
"121",80.32,224.59073
"122",80.99,224.74903
"123",81.66,224.84435
"124",82.33,224.9224
"125",83,225.37755
"126",83.67,225.21389
"127",84.34,224.90759
"128",85.01,224.92289
"129",85.68,224.99939
"130",86.35,224.83539
"131",87.01,224.33315
"132",87.68,224.22713
"133",88.35,223.1126
"134",89.02,223.14655
"135",89.69,222.80476
"136",90.36,223.10826
"137",91.03,222.41075
"138",91.7,222.66708
"139",92.37,222.68772
"140",93.04,223.22745
"141",93.71,223.83913
"142",94.38,224.88792
"143",95.05,225.76041
"144",95.72,226.22507
"145",96.39,226.66274
"146",97.05,227.07548
"147",97.72,227.44432
"148",98.39,227.71977
"149",99.06,227.51704
"150",99.73,227.79251
"151",100.4,227.34249
"152",101.07,226.91012
"153",101.74,225.72446
"154",102.41,225.24285
"155",103.08,224.14364
"156",103.75,223.78983
"157",104.42,222.27381
"158",105.09,221.71111
"159",105.76,220.91088
"160",106.43,220.81735
"161",107.1,220.50874
"162",107.76,221.11943
"163",108.43,221.43489
"164",109.1,221.89706
"165",109.77,222.42245
"166",110.44,223.01017
"167",111.11,223.18988
"168",111.78,223.60901
"169",112.45,223.81611
"170",113.12,223.99488
"171",113.79,224.11864
"172",114.46,224.36938
"173",115.13,223.9278
"174",115.8,223.95243
"175",116.47,223.88912
"176",117.14,223.27363
"177",117.8,222.83574
"178",118.47,222.77979
"179",119.14,222.10197
"180",119.81,221.66239
"181",120.48,220.89586
"182",121.15,220.7498
"183",121.82,220.1183
"184",122.49,220.24952
"185",123.16,220.06073
"186",123.83,219.87439
"187",124.5,218.84791
"188",125.17,218.96814
"189",125.84,218.63301
"190",126.51,218.783
"191",127.18,217.71634
"192",127.84,217.14556
"193",128.51,216.93031
"194",129.18,217.82846
"195",129.85,217.67274
"196",130.52,217.52107
"197",131.19,216.79416
"198",131.86,216.74854
"199",132.53,216.76546
"200",133.2,216.5062
"201",133.87,217.02895
"202",134.54,217.65362
"203",135.21,217.92311
"204",135.88,218.3174
