"","Position_um","Intensity_mean"
"1",0,222.35804
"2",0.67,222.56103
"3",1.34,222.45576
"4",2.01,222.53069
"5",2.68,222.82519
"6",3.35,223.15835
"7",4.02,223.42082
"8",4.69,223.56188
"9",5.36,223.46099
"10",6.03,223.33571
"11",6.7,223.58076
"12",7.37,224.03308
"13",8.04,224.23404
"14",8.71,224.23793
"15",9.38,224.1782
"16",10.05,224.30553
"17",10.72,224.30964
"18",11.39,224.14112
"19",12.06,224.00097
"20",12.73,223.67649
"21",13.4,223.55059
"22",14.07,223.36376
"23",14.75,223.36778
"24",15.42,223.3824
"25",16.09,223.38304
"26",16.76,223.5806
"27",17.43,223.7285
"28",18.1,223.44282
"29",18.77,223.2962
"30",19.44,223.58086
"31",20.11,223.57754
"32",20.78,223.7026
"33",21.45,223.87865
"34",22.12,224.05019
"35",22.79,224.226
"36",23.46,224.43896
"37",24.13,224.71864
"38",24.8,224.84964
"39",25.47,225.13388
"40",26.14,225.3063
"41",26.81,225.38364
"42",27.48,225.53928
"43",28.15,225.80716
"44",28.82,225.89894
"45",29.49,226.07912
"46",30.16,226.16569
"47",30.83,226.06827
"48",31.5,225.83022
"49",32.17,225.9004
"50",32.84,226.0815
"51",33.51,226.34419
"52",34.18,226.72542
"53",34.85,226.91966
"54",35.52,227.07332
"55",36.19,227.33427
"56",36.86,227.50278
"57",37.53,227.59022
"58",38.2,227.7605
"59",38.87,227.86329
"60",39.54,227.781
"61",40.21,227.87783
"62",40.88,227.98042
"63",41.55,227.91443
"64",42.22,227.80084
"65",42.89,227.51904
"66",43.57,227.29348
"67",44.24,227.31241
"68",44.91,226.99959
"69",45.58,226.58301
"70",46.25,226.26788
"71",46.92,226.07908
"72",47.59,226.1105
"73",48.26,226.01265
"74",48.93,226.12229
"75",49.6,226.32553
"76",50.27,226.38927
"77",50.94,226.24595
"78",51.61,225.90318
"79",52.28,225.56416
"80",52.95,225.09352
"81",53.62,225.01448
"82",54.29,225.16344
"83",54.96,225.49496
"84",55.63,225.43252
"85",56.3,225.52288
"86",56.97,225.93356
"87",57.64,226.27096
"88",58.31,226.65031
"89",58.98,227.09069
"90",59.65,227.64312
"91",60.32,228.31855
"92",60.99,228.87199
"93",61.66,229.0992
"94",62.33,229.37597
"95",63,229.64912
"96",63.67,229.82176
"97",64.34,229.79178
"98",65.01,229.7877
"99",65.68,229.66569
"100",66.35,229.65433
"101",67.02,229.39308
"102",67.69,229.00262
"103",68.36,228.74473
"104",69.03,228.35192
"105",69.7,227.80429
"106",70.37,227.132
"107",71.04,226.56868
"108",71.71,226.2349
"109",72.39,226.16871
"110",73.06,226.31466
"111",73.73,226.75089
"112",74.4,227.20059
"113",75.07,227.51979
"114",75.74,227.95161
"115",76.41,228.07719
"116",77.08,228.1269
"117",77.75,228.40787
"118",78.42,228.72122
"119",79.09,228.85597
