"","Position_um","Intensity_mean"
"1",0,210.47044
"2",0.68,210.30248
"3",1.35,210.21332
"4",2.03,209.97009
"5",2.7,209.21076
"6",3.38,208.96823
"7",4.05,208.94555
"8",4.73,208.89537
"9",5.41,208.98737
"10",6.08,209.02468
"11",6.76,209.1268
"12",7.43,209.13247
"13",8.11,209.15762
"14",8.78,209.1086
"15",9.46,209.285
"16",10.13,209.25381
"17",10.81,209.61855
"18",11.49,209.98834
"19",12.16,210.55339
"20",12.84,210.84775
"21",13.51,210.87956
"22",14.19,210.49199
"23",14.86,210.44283
"24",15.54,210.38342
"25",16.22,210.35378
"26",16.89,210.40397
"27",17.57,210.31712
"28",18.24,210.55056
"29",18.92,210.57589
"30",19.59,210.78761
"31",20.27,210.8833
"32",20.95,210.71594
"33",21.62,210.50146
"34",22.3,210.29395
"35",22.97,210.39276
"36",23.65,210.03703
"37",24.32,209.9961
"38",25,210.02801
"39",25.67,210.5585
"40",26.35,210.6864
"41",27.03,211.20776
"42",27.7,211.09784
"43",28.38,211.7475
"44",29.05,211.96339
"45",29.73,212.38788
"46",30.4,212.55049
"47",31.08,212.67275
"48",31.76,212.83306
"49",32.43,212.58243
"50",33.11,212.45574
"51",33.78,211.9808
"52",34.46,211.64648
"53",35.13,211.50952
"54",35.81,211.55474
"55",36.49,211.71109
"56",37.16,211.70112
"57",37.84,211.84379
"58",38.51,211.51933
"59",39.19,211.96189
"60",39.86,211.7918
"61",40.54,211.74175
"62",41.21,211.52271
"63",41.89,211.38541
"64",42.57,211.33522
"65",43.24,211.59337
"66",43.92,211.56508
"67",44.59,211.9874
"68",45.27,212.03929
"69",45.94,211.9841
"70",46.62,211.79637
"71",47.3,211.92851
"72",47.97,212.12252
"73",48.65,212.67794
"74",49.32,212.74308
"75",50,212.68126
"76",50.67,212.40111
"77",51.35,212.06977
"78",52.03,211.84798
"79",52.7,211.60333
"80",53.38,211.61467
"81",54.05,211.89797
"82",54.73,212.06774
"83",55.4,212.31188
"84",56.08,212.26393
"85",56.75,212.55084
"86",57.43,212.64195
"87",58.11,212.8451
"88",58.78,213.11621
"89",59.46,213.49963
"90",60.13,213.62726
"91",60.81,213.63725
"92",61.48,213.5996
