"","Position_um","Intensity_mean"
"1",0,218.7481
"2",0.68,218.67519
"3",1.36,218.57699
"4",2.04,218.41544
"5",2.72,218.20391
"6",3.39,218.002
"7",4.07,217.81987
"8",4.75,217.69859
"9",5.43,217.63445
"10",6.11,217.6529
"11",6.79,217.73541
"12",7.47,217.8523
"13",8.15,217.95884
"14",8.83,218.08564
"15",9.5,218.23257
"16",10.18,218.30016
"17",10.86,218.24558
"18",11.54,218.12365
"19",12.22,217.94165
"20",12.9,217.76041
"21",13.58,217.60253
"22",14.26,217.45671
"23",14.94,217.40653
"24",15.61,217.42835
"25",16.29,217.46944
"26",16.97,217.51346
"27",17.65,217.59705
"28",18.33,217.63854
"29",19.01,217.63297
"30",19.69,217.63749
"31",20.37,217.70381
"32",21.05,217.83328
"33",21.72,217.99936
"34",22.4,218.07932
"35",23.08,218.0859
"36",23.76,218.02836
"37",24.44,217.96577
"38",25.12,217.94951
"39",25.8,217.9468
"40",26.48,217.88823
"41",27.16,217.78283
"42",27.83,217.71359
"43",28.51,217.70942
"44",29.19,217.73936
"45",29.87,217.73669
"46",30.55,217.68535
"47",31.23,217.59362
"48",31.91,217.54643
"49",32.59,217.49257
"50",33.27,217.47835
"51",33.94,217.41531
"52",34.62,217.27082
"53",35.3,217.09574
"54",35.98,216.84547
"55",36.66,216.58895
"56",37.34,216.36898
"57",38.02,216.13773
"58",38.7,215.98619
"59",39.38,215.87722
"60",40.05,215.77731
"61",40.73,215.63864
"62",41.41,215.42839
"63",42.09,215.27744
"64",42.77,215.20811
"65",43.45,215.23103
"66",44.13,215.32076
"67",44.81,215.39148
"68",45.49,215.4706
"69",46.16,215.50226
"70",46.84,215.54849
"71",47.52,215.50056
"72",48.2,215.42033
"73",48.88,215.35245
"74",49.56,215.30424
"75",50.24,215.25938
"76",50.92,215.14781
"77",51.6,215.04152
"78",52.27,214.951
"79",52.95,214.90729
"80",53.63,214.92177
"81",54.31,214.97898
"82",54.99,215.009
"83",55.67,214.95645
"84",56.35,214.85872
"85",57.03,214.73478
"86",57.71,214.61909
"87",58.38,214.49003
"88",59.06,214.31798
"89",59.74,214.12392
"90",60.42,213.91725
"91",61.1,213.75692
"92",61.78,213.60221
"93",62.46,213.4035
"94",63.14,213.20839
"95",63.82,213.10313
"96",64.49,213.0856
"97",65.17,213.12228
"98",65.85,213.11679
"99",66.53,213.09955
"100",67.21,213.06283
"101",67.89,212.99765
"102",68.57,212.94736
"103",69.25,212.91272
"104",69.93,212.86686
"105",70.6,212.85318
"106",71.28,212.88212
"107",71.96,212.91717
"108",72.64,212.91052
"109",73.32,212.89124
"110",74,212.84933
"111",74.68,212.81273
"112",75.36,212.79145
"113",76.04,212.81304
"114",76.71,212.78519
"115",77.39,212.77661
"116",78.07,212.71617
"117",78.75,212.69918
"118",79.43,212.69053
"119",80.11,212.67106
"120",80.79,212.71092
"121",81.47,212.77863
"122",82.15,212.90235
"123",82.82,213.03274
"124",83.5,213.16047
"125",84.18,213.30684
"126",84.86,213.45318
"127",85.54,213.63986
"128",86.22,213.79081
"129",86.9,213.96435
"130",87.58,214.15249
"131",88.26,214.32277
"132",88.93,214.4898
"133",89.61,214.57641
"134",90.29,214.63064
"135",90.97,214.63908
"136",91.65,214.64411
"137",92.33,214.65729
"138",93.01,214.73629
"139",93.69,214.82027
"140",94.37,214.84465
"141",95.04,214.79756
"142",95.72,214.75407
"143",96.4,214.74211
"144",97.08,214.73269
"145",97.76,214.76385
"146",98.44,214.76192
"147",99.12,214.68137
"148",99.8,214.49715
"149",100.48,214.21072
"150",101.15,213.81275
"151",101.83,213.40285
"152",102.51,213.02568
"153",103.19,212.75009
"154",103.87,212.51344
"155",104.55,212.33667
"156",105.23,212.22233
"157",105.91,212.24054
"158",106.59,212.31092
"159",107.26,212.36155
"160",107.94,212.44705
"161",108.62,212.4822
"162",109.3,212.42513
"163",109.98,212.29484
"164",110.66,212.12378
"165",111.34,211.90353
"166",112.02,211.63543
"167",112.7,211.3928
"168",113.37,211.21717
"169",114.05,211.15875
"170",114.73,211.16309
"171",115.41,211.19271
"172",116.09,211.19755
"173",116.77,211.19469
"174",117.45,211.21327
"175",118.13,211.24156
"176",118.81,211.2587
"177",119.48,211.28949
"178",120.16,211.34906
"179",120.84,211.4105
"180",121.52,211.50784
"181",122.2,211.60403
"182",122.88,211.68097
"183",123.56,211.74831
"184",124.24,211.80886
"185",124.92,211.8702
"186",125.59,211.89552
"187",126.27,211.89797
"188",126.95,211.87019
"189",127.63,211.84747
"190",128.31,211.82165
"191",128.99,211.79884
"192",129.67,211.82409
"193",130.35,211.89451
"194",131.03,211.96981
"195",131.7,211.94475
"196",132.38,211.8135
"197",133.06,211.62668
"198",133.74,211.42116
"199",134.42,211.17396
"200",135.1,210.99366
"201",135.78,210.8085
"202",136.46,210.64515
"203",137.14,210.51028
"204",137.81,210.40165
"205",138.49,210.32324
"206",139.17,210.27015
"207",139.85,210.27568
"208",140.53,210.29031
"209",141.21,210.31749
"210",141.89,210.34474
"211",142.57,210.40816
"212",143.25,210.39012
"213",143.92,210.2953
"214",144.6,210.14978
"215",145.28,209.9769
"216",145.96,209.81658
"217",146.64,209.68645
"218",147.32,209.58224
"219",148,209.50416
"220",148.68,209.44576
"221",149.36,209.42083
"222",150.03,209.44497
"223",150.71,209.49352
"224",151.39,209.52391
"225",152.07,209.59256
"226",152.75,209.65501
"227",153.43,209.69235
"228",154.11,209.70938
"229",154.79,209.70756
"230",155.47,209.7326
"231",156.14,209.77492
"232",156.82,209.76544
"233",157.5,209.8516
"234",158.18,210.05461
"235",158.86,210.35319
"236",159.54,210.65825
"237",160.22,210.91337
"238",160.9,211.12247
"239",161.58,211.26136
"240",162.25,211.3634
"241",162.93,211.41131
"242",163.61,211.47486
"243",164.29,211.53124
"244",164.97,211.5709
"245",165.65,211.58572
"246",166.33,211.64814
"247",167.01,211.76929
"248",167.69,211.837
"249",168.36,211.85741
"250",169.04,211.87753
"251",169.72,211.99279
"252",170.4,212.20114
"253",171.08,212.48397
"254",171.76,212.7698
"255",172.44,212.97675
"256",173.12,213.10502
"257",173.8,213.21585
"258",174.47,213.33478
"259",175.15,213.38746
"260",175.83,213.39605
"261",176.51,213.34982
"262",177.19,213.30909
"263",177.87,213.23538
"264",178.55,213.11412
"265",179.23,212.94533
"266",179.91,212.80335
"267",180.58,212.72686
"268",181.26,212.70843
"269",181.94,212.71191
"270",182.62,212.78899
"271",183.3,212.8563
"272",183.98,212.81848
"273",184.66,212.66409
"274",185.34,212.55199
"275",186.02,212.4875
"276",186.69,212.47647
"277",187.37,212.47512
"278",188.05,212.48899
"279",188.73,212.42989
"280",189.41,212.34306
"281",190.09,212.30262
"282",190.77,212.28216
"283",191.45,212.23868
"284",192.13,212.14457
"285",192.8,212.02327
"286",193.48,211.93276
"287",194.16,211.83818
"288",194.84,211.73052
"289",195.52,211.68863
"290",196.2,211.62182
"291",196.88,211.54225
"292",197.56,211.51011
"293",198.24,211.45557
"294",198.91,211.36946
"295",199.59,211.2927
