"","Position_um","Intensity_mean"
"1",0,212.39811
"2",0.67,213.00725
"3",1.33,213.67188
"4",2,213.956
"5",2.67,214.33276
"6",3.33,214.98777
"7",4,214.62627
"8",4.67,214.7897
"9",5.33,214.81604
"10",6,215.56383
"11",6.67,215.66
"12",7.33,216.38556
"13",8,216.30877
"14",8.67,216.57054
"15",9.33,216.97397
"16",10,217.45015
"17",10.67,217.01547
"18",11.33,217.57525
"19",12,217.36098
"20",12.67,217.81351
"21",13.33,217.43721
"22",14,217.8976
"23",14.67,217.49492
"24",15.33,217.32835
"25",16,216.93596
"26",16.67,217.23493
"27",17.33,216.74862
"28",18,215.93177
"29",18.67,215.46757
"30",19.33,215.43697
"31",20,215.19818
"32",20.67,215.73303
"33",21.33,216.25569
"34",22,216.61257
"35",22.67,216.23859
"36",23.33,216.6132
"37",24,215.87303
"38",24.67,216.3515
"39",25.33,216.33063
"40",26,217.10646
"41",26.67,217.88817
"42",27.33,218.29343
"43",28,218.40133
"44",28.67,219.16662
"45",29.33,219.1444
"46",30,219.76751
"47",30.67,219.21591
"48",31.33,219.36996
"49",32,219.2098
"50",32.67,219.77194
"51",33.33,219.66947
"52",34,220.3175
"53",34.67,220.66285
"54",35.33,221.01401
"55",36,221.21808
"56",36.67,221.96783
"57",37.33,222.05435
"58",38,222.29732
"59",38.67,221.86506
"60",39.33,222.13867
"61",40,221.91168
"62",40.67,221.68093
"63",41.33,220.99881
"64",42,220.90707
"65",42.67,219.86938
"66",43.33,220.38089
"67",44,220.06497
"68",44.67,221.20704
"69",45.33,221.30916
"70",46,222.06013
"71",46.67,222.17933
"72",47.33,222.46722
"73",48,222.1439
"74",48.67,222.37026
"75",49.33,221.90995
"76",50,222.60699
"77",50.67,222.63161
"78",51.33,223.42533
"79",52,223.6243
"80",52.67,224.47804
"81",53.33,224.09106
"82",54,225.29025
"83",54.67,225.59293
"84",55.33,226.89343
"85",56,227.58018
"86",56.67,228.31889
"87",57.33,228.44463
"88",58,229.51098
"89",58.67,230.07436
"90",59.33,230.96662
"91",60,231.1016
"92",60.67,231.54732
"93",61.33,231.77546
"94",62,232.34523
"95",62.67,232.8944
"96",63.33,233.65982
"97",64,233.8344
"98",64.67,234.42804
"99",65.33,235.09813
"100",66,235.73675
"101",66.67,236.24062
"102",67.33,237.05151
"103",68,237.30697
"104",68.67,237.96804
"105",69.33,238.00881
"106",70,238.67933
"107",70.67,239.03156
"108",71.33,239.49653
"109",72,239.75119
"110",72.67,240.09835
"111",73.33,240.49223
"112",74,240.93924
"113",74.67,241.38485
"114",75.33,241.73718
"115",76,241.6224
"116",76.67,241.89626
"117",77.33,241.79835
"118",78,242.25956
"119",78.67,242.43425
"120",79.33,242.88244
"121",80,243.27146
"122",80.67,243.38583
"123",81.33,243.59557
"124",82,243.80808
"125",82.67,244.26552
"126",83.33,244.39662
"127",84,244.5509
"128",84.67,244.94209
"129",85.33,245.21053
"130",86,245.42988
"131",86.67,245.68185
"132",87.33,246.02525
"133",88,246.40183
"134",88.67,246.60995
"135",89.33,246.85974
"136",90,247.0717
"137",90.67,247.05698
"138",91.33,247.26182
"139",92,247.23009
"140",92.67,247.47615
"141",93.33,247.47142
"142",94,247.6787
"143",94.67,247.91921
"144",95.33,248.1265
"145",96,248.19606
"146",96.67,248.31951
"147",97.33,248.22546
"148",98,248.14506
"149",98.67,248.04729
"150",99.33,247.97422
"151",100,247.87565
"152",100.67,247.74068
"153",101.33,247.7345
"154",102,247.73036
"155",102.67,247.8289
"156",103.33,247.96033
"157",104,247.9588
"158",104.67,247.9691
"159",105.33,247.69875
"160",106,247.8364
"161",106.67,247.77782
"162",107.33,247.86708
"163",108,247.88698
"164",108.67,248.00533
"165",109.33,248.04005
"166",110,248.13831
"167",110.67,248.02711
"168",111.33,248.02244
"169",112,248.02484
"170",112.67,248.12852
"171",113.33,248.19399
"172",114,248.35485
"173",114.67,248.4172
"174",115.33,248.42084
"175",116,248.59854
"176",116.67,248.72835
"177",117.33,248.89298
"178",118,248.92917
"179",118.67,248.78293
"180",119.33,248.70827
"181",120,248.68579
"182",120.67,248.78092
"183",121.33,248.60947
"184",122,248.7141
"185",122.67,248.6425
"186",123.33,248.70648
"187",124,248.74756
"188",124.67,248.76854
"189",125.33,248.39832
"190",126,248.47403
"191",126.67,248.28386
"192",127.33,248.5032
"193",128,248.42395
"194",128.67,248.80775
"195",129.33,248.3953
"196",130,248.4157
"197",130.67,248.4551
"198",131.33,248.45911
"199",132,248.37942
"200",132.67,248.27515
"201",133.33,248.24356
"202",134,248.17479
"203",134.67,247.95099
"204",135.33,247.91347
"205",136,247.80693
"206",136.67,247.72339
"207",137.33,247.55898
"208",138,247.75816
"209",138.67,247.83098
"210",139.33,247.9962
"211",140,248.13529
"212",140.67,248.26649
"213",141.33,248.49319
"214",142,248.57003
"215",142.67,248.52928
"216",143.33,248.47573
"217",144,248.21396
"218",144.67,248.27543
"219",145.33,248.22183
"220",146,248.12574
"221",146.67,247.96176
"222",147.33,247.99654
"223",148,247.85364
"224",148.67,247.94988
"225",149.33,247.86738
"226",150,247.92915
"227",150.67,247.97751
"228",151.33,247.92479
"229",152,247.89449
"230",152.67,247.93386
"231",153.33,247.84955
"232",154,247.96266
"233",154.67,247.71876
"234",155.33,247.42077
"235",156,247.09955
"236",156.67,246.98507
"237",157.33,246.95222
"238",158,247.20142
"239",158.67,246.96024
"240",159.33,247.05719
"241",160,246.93821
"242",160.67,247.26232
"243",161.33,247.20524
"244",162,247.31131
"245",162.67,247.0195
"246",163.33,247.14311
"247",164,246.89467
"248",164.67,247.04418
"249",165.33,246.76018
"250",166,246.86766
"251",166.67,246.70164
"252",167.33,246.63382
"253",168,246.90928
"254",168.67,247.11099
"255",169.33,247.23168
"256",170,247.44231
"257",170.67,247.62889
"258",171.33,247.6923
"259",172,247.72475
"260",172.67,247.82297
"261",173.33,247.67872
"262",174,247.78702
"263",174.67,247.48773
"264",175.33,247.47712
"265",176,247.20561
"266",176.67,247.13453
"267",177.33,246.71008
"268",178,246.46085
"269",178.67,245.73481
"270",179.33,245.748
"271",180,245.41402
"272",180.67,245.42488
"273",181.33,245.0476
"274",182,244.9555
"275",182.67,244.5307
"276",183.33,244.27525
"277",184,244.26755
"278",184.67,244.66049
"279",185.33,245.14194
"280",186,245.11236
"281",186.67,244.62307
"282",187.33,244.66779
"283",188,244.79186
"284",188.67,245.20898
"285",189.33,245.04121
"286",190,245.47434
"287",190.67,245.26137
"288",191.33,245.36044
"289",192,244.97186
"290",192.67,245.04915
"291",193.33,244.62825
"292",194,244.5143
"293",194.67,243.95173
"294",195.33,243.84603
"295",196,243.17658
"296",196.67,243.00533
"297",197.33,242.81723
"298",198,242.81204
"299",198.67,242.25487
"300",199.33,242.35595
"301",200,242.16012
"302",200.67,242.04886
"303",201.33,241.68427
"304",202,241.58987
"305",202.67,241.36383
"306",203.33,241.83317
"307",204,241.53703
"308",204.67,241.98974
"309",205.33,241.9388
"310",206,241.84066
"311",206.67,241.79421
"312",207.33,242.07702
"313",208,241.99019
"314",208.67,242.19746
"315",209.33,242.08374
"316",210,241.9236
"317",210.67,241.76515
"318",211.33,241.8783
"319",212,241.44149
"320",212.67,241.40053
"321",213.33,240.96555
"322",214,240.95155
"323",214.67,240.33699
"324",215.33,240.53551
"325",216,240.28597
"326",216.67,240.19213
"327",217.33,240.13204
"328",218,240.2836
"329",218.67,239.97818
"330",219.33,239.87858
"331",220,239.04249
"332",220.67,238.53977
"333",221.33,238.18339
"334",222,237.82856
"335",222.67,237.46186
"336",223.33,237.45502
"337",224,236.76103
"338",224.67,236.58809
"339",225.33,236.36899
"340",226,236.84652
"341",226.67,236.67458
"342",227.33,236.79734
"343",228,236.43977
"344",228.67,236.16773
"345",229.33,235.38259
"346",230,235.18433
"347",230.67,235.09833
"348",231.33,234.89338
"349",232,234.59506
"350",232.67,234.59316
"351",233.33,233.76836
"352",234,233.2797
"353",234.67,232.27377
"354",235.33,232.10133
"355",236,231.56493
"356",236.67,231.46462
"357",237.33,230.80329
"358",238,230.85009
"359",238.67,230.89686
"360",239.33,230.18009
