"","Position_um","Intensity_mean"
"1",0,236.07464
"2",0.67,236.2516
"3",1.34,236.77501
"4",2.01,236.7255
"5",2.67,236.93606
"6",3.34,236.86483
"7",4.01,237.01221
"8",4.68,236.6849
"9",5.35,237.16492
"10",6.02,237.03694
"11",6.68,237.51297
"12",7.35,237.2733
"13",8.02,237.26222
"14",8.69,236.75031
"15",9.36,236.72648
"16",10.03,236.41185
"17",10.69,236.52664
"18",11.36,236.16646
"19",12.03,236.14526
"20",12.7,235.47879
"21",13.37,235.20129
"22",14.04,234.46395
"23",14.71,234.80655
"24",15.37,234.70605
"25",16.04,234.93913
"26",16.71,234.45877
"27",17.38,234.23027
"28",18.05,233.96274
"29",18.72,233.94537
"30",19.38,233.54875
"31",20.05,233.87994
"32",20.72,233.68161
"33",21.39,233.6279
"34",22.06,232.96083
"35",22.73,233.00251
"36",23.39,232.75974
"37",24.06,232.85879
"38",24.73,232.44644
"39",25.4,232.80285
"40",26.07,232.25278
"41",26.74,232.23297
"42",27.41,232.29086
"43",28.07,232.71599
"44",28.74,232.38998
"45",29.41,232.90255
"46",30.08,232.54315
"47",30.75,232.4231
"48",31.42,231.70376
"49",32.08,231.77853
"50",32.75,230.80058
"51",33.42,231.93156
"52",34.09,231.8156
"53",34.76,232.17514
"54",35.43,232.36871
"55",36.1,233.19457
"56",36.76,233.22785
"57",37.43,233.35107
"58",38.1,233.38502
"59",38.77,233.10112
"60",39.44,233.21425
"61",40.11,233.62677
"62",40.77,233.60179
"63",41.44,233.52406
"64",42.11,232.89702
"65",42.78,233.33624
"66",43.45,233.70935
"67",44.12,233.83538
"68",44.78,233.25575
"69",45.45,233.61984
"70",46.12,233.69453
"71",46.79,234.6553
"72",47.46,234.92674
"73",48.13,235.79064
"74",48.8,235.71045
"75",49.46,235.81668
"76",50.13,235.57977
"77",50.8,236.00698
"78",51.47,235.32703
"79",52.14,235.30536
"80",52.81,235.16796
"81",53.47,235.44804
"82",54.14,234.79658
"83",54.81,234.69166
"84",55.48,234.67886
"85",56.15,234.9463
"86",56.82,234.74046
"87",57.48,234.91913
"88",58.15,234.50471
"89",58.82,235.17585
"90",59.49,234.97966
"91",60.16,234.84483
"92",60.83,234.50161
"93",61.5,234.74492
"94",62.16,234.332
"95",62.83,234.10981
"96",63.5,233.60531
"97",64.17,233.55895
"98",64.84,233.45615
"99",65.51,233.89159
"100",66.17,233.47227
"101",66.84,233.2573
"102",67.51,232.69259
"103",68.18,233.39233
"104",68.85,232.57304
"105",69.52,232.51398
"106",70.18,231.80858
"107",70.85,232.12654
"108",71.52,230.89611
"109",72.19,231.00232
"110",72.86,230.45205
"111",73.53,230.69902
"112",74.2,230.5623
"113",74.86,231.13429
"114",75.53,231.00825
"115",76.2,231.39986
"116",76.87,231.16257
"117",77.54,231.6364
"118",78.21,231.30343
"119",78.87,231.54954
"120",79.54,231.32731
"121",80.21,231.54916
"122",80.88,230.66739
"123",81.55,230.49911
"124",82.22,229.88699
"125",82.89,229.74804
"126",83.55,228.68048
"127",84.22,228.1848
"128",84.89,227.18856
"129",85.56,227.17697
"130",86.23,226.10352
"131",86.9,225.60817
"132",87.56,224.71637
"133",88.23,225.17799
"134",88.9,224.70049
"135",89.57,225.25935
"136",90.24,224.2258
"137",90.91,224.97644
"138",91.57,224.88792
"139",92.24,225.76159
"140",92.91,225.63877
"141",93.58,226.04869
"142",94.25,225.36549
"143",94.92,226.49318
"144",95.59,225.83623
"145",96.25,226.53952
"146",96.92,226.25674
"147",97.59,227.28884
"148",98.26,227.07973
"149",98.93,227.52081
"150",99.6,226.95378
"151",100.26,227.09053
"152",100.93,226.35073
"153",101.6,226.29578
"154",102.27,225.74421
"155",102.94,226.03218
"156",103.61,225.41894
"157",104.27,226.05295
"158",104.94,224.74786
"159",105.61,225.02381
"160",106.28,224.0267
"161",106.95,224.33499
"162",107.62,224.02009
"163",108.29,224.82855
"164",108.95,224.31331
"165",109.62,224.28482
"166",110.29,224.02834
"167",110.96,224.41311
"168",111.63,223.82116
"169",112.3,223.68109
"170",112.96,222.88351
"171",113.63,222.85916
"172",114.3,222.00638
"173",114.97,222.08298
"174",115.64,221.75516
"175",116.31,222.48292
"176",116.97,221.34657
"177",117.64,222.15347
"178",118.31,221.97215
"179",118.98,222.62812
"180",119.65,222.9647
"181",120.32,223.76733
"182",120.99,222.86118
"183",121.65,222.97326
"184",122.32,222.21331
"185",122.99,222.32393
"186",123.66,221.78873
"187",124.33,222.2167
"188",125,221.83704
"189",125.66,222.34894
"190",126.33,221.67264
"191",127,222.24781
"192",127.67,221.42723
"193",128.34,221.64572
"194",129.01,221.36243
"195",129.67,222.01189
"196",130.34,221.59732
"197",131.01,222.14798
"198",131.68,222.30874
"199",132.35,222.56707
"200",133.02,222.05843
"201",133.69,222.63523
"202",134.35,222.87064
"203",135.02,223.34237
"204",135.69,223.00334
"205",136.36,223.9418
"206",137.03,224.00134
"207",137.7,224.68298
"208",138.36,224.4558
"209",139.03,224.60282
"210",139.7,223.73459
"211",140.37,223.96453
"212",141.04,222.52771
"213",141.71,222.54611
"214",142.38,222.27874
"215",143.04,223.14055
"216",143.71,223.42611
"217",144.38,224.04469
"218",145.05,223.63204
"219",145.72,224.32571
"220",146.39,223.91519
"221",147.05,224.63249
"222",147.72,224.55284
"223",148.39,224.80392
"224",149.06,224.21421
"225",149.73,224.54335
"226",150.4,223.55878
"227",151.06,223.80931
"228",151.73,223.6196
"229",152.4,224.59736
"230",153.07,224.41505
"231",153.74,225.17216
"232",154.41,224.96648
"233",155.08,225.7116
"234",155.74,226.01923
"235",156.41,227.24237
"236",157.08,226.99657
"237",157.75,227.45629
"238",158.42,227.21907
"239",159.09,227.23776
"240",159.75,226.3296
"241",160.42,226.18605
"242",161.09,225.91791
"243",161.76,226.45637
"244",162.43,225.90579
"245",163.1,225.65201
"246",163.76,225.26533
"247",164.43,225.40534
"248",165.1,225.07398
"249",165.77,225.41855
"250",166.44,224.9751
"251",167.11,225.60686
"252",167.78,226.06697
"253",168.44,226.74822
"254",169.11,226.81337
"255",169.78,227.59051
"256",170.45,227.63895
"257",171.12,227.60093
"258",171.79,226.55289
"259",172.45,226.78667
"260",173.12,226.30393
"261",173.79,226.51605
"262",174.46,225.85172
"263",175.13,226.31943
"264",175.8,226.10851
"265",176.46,226.59269
"266",177.13,226.80494
"267",177.8,226.90646
"268",178.47,226.45981
"269",179.14,227.05589
"270",179.81,227.1455
"271",180.48,227.64555
"272",181.14,227.4608
"273",181.81,227.54437
"274",182.48,227.71364
"275",183.15,227.95072
"276",183.82,228.05708
"277",184.49,228.16479
"278",185.15,227.69497
"279",185.82,227.82586
"280",186.49,227.83106
"281",187.16,227.75629
"282",187.83,227.66946
"283",188.5,228.22776
"284",189.17,228.46391
"285",189.83,228.9256
"286",190.5,228.65455
"287",191.17,228.77408
"288",191.84,228.81457
"289",192.51,228.98373
"290",193.18,228.36284
"291",193.84,228.34848
"292",194.51,228.355
"293",195.18,228.71855
"294",195.85,228.48267
"295",196.52,228.87844
"296",197.19,229.45477
"297",197.85,230.11725
"298",198.52,230.61102
"299",199.19,230.97546
"300",199.86,230.82733
"301",200.53,230.62856
"302",201.2,230.25338
"303",201.87,230.21672
"304",202.53,230.04679
"305",203.2,229.76901
"306",203.87,229.04893
"307",204.54,228.46318
"308",205.21,228.26382
"309",205.88,228.06604
"310",206.54,227.57029
"311",207.21,227.19064
"312",207.88,226.71028
"313",208.55,226.9398
"314",209.22,226.71057
"315",209.89,226.86016
"316",210.55,226.70936
"317",211.22,226.64304
"318",211.89,226.3569
"319",212.56,226.25227
"320",213.23,226.19986
"321",213.9,226.43871
"322",214.57,226.10357
"323",215.23,226.14211
"324",215.9,225.75393
"325",216.57,225.4795
"326",217.24,224.86789
"327",217.91,224.84621
"328",218.58,224.43778
"329",219.24,223.79577
"330",219.91,223.13913
"331",220.58,222.96443
"332",221.25,222.29416
"333",221.92,222.57572
"334",222.59,222.28248
"335",223.25,222.14582
"336",223.92,222.2807
"337",224.59,222.54594
"338",225.26,221.87986
"339",225.93,221.53266
"340",226.6,221.24144
"341",227.27,221.20039
"342",227.93,221.46541
"343",228.6,222.44359
"344",229.27,223.21745
"345",229.94,223.77058
"346",230.61,223.80445
"347",231.28,223.94792
"348",231.94,224.11198
"349",232.61,224.76939
"350",233.28,225.13065
"351",233.95,225.74671
"352",234.62,225.61011
"353",235.29,225.88489
"354",235.95,225.69964
"355",236.62,226.49377
"356",237.29,226.88093
"357",237.96,227.23021
"358",238.63,226.61013
"359",239.3,226.42719
"360",239.97,225.90909
"361",240.63,225.87203
"362",241.3,225.33868
"363",241.97,224.81037
"364",242.64,224.17825
"365",243.31,223.39309
"366",243.98,222.49523
"367",244.64,222.45302
"368",245.31,222.24527
"369",245.98,222.19046
"370",246.65,221.63329
"371",247.32,221.71162
"372",247.99,221.14527
"373",248.66,221.73345
"374",249.32,222.1869
"375",249.99,222.8462
"376",250.66,222.63462
"377",251.33,222.83075
"378",252,222.67736
"379",252.67,222.73864
"380",253.33,222.31645
"381",254,222.6355
"382",254.67,222.4184
"383",255.34,222.61845
"384",256.01,222.49375
"385",256.68,222.83606
"386",257.34,222.38248
"387",258.01,223.39514
"388",258.68,223.38003
"389",259.35,223.21779
"390",260.02,222.90647
"391",260.69,223.01982
"392",261.36,223.18409
"393",262.02,223.429
"394",262.69,223.46247
"395",263.36,223.97082
"396",264.03,223.63815
"397",264.7,224.04478
"398",265.37,223.53863
"399",266.03,223.71122
"400",266.7,223.71022
"401",267.37,224.00103
"402",268.04,223.80362
"403",268.71,223.37013
"404",269.38,223.23102
"405",270.04,223.04959
"406",270.71,222.80258
"407",271.38,222.84186
"408",272.05,222.84229
"409",272.72,222.76405
"410",273.39,222.85407
"411",274.06,223.45592
"412",274.72,222.96956
"413",275.39,222.61599
"414",276.06,222.52781
"415",276.73,222.84416
"416",277.4,222.93744
"417",278.07,223.21413
"418",278.73,223.08203
"419",279.4,223.06191
"420",280.07,223.22344
"421",280.74,223.18012
"422",281.41,222.97064
"423",282.08,223.12847
"424",282.74,223.40654
"425",283.41,223.63218
"426",284.08,223.46984
"427",284.75,223.65764
"428",285.42,223.93824
"429",286.09,224.3079
"430",286.76,224.54353
"431",287.42,225.4015
"432",288.09,225.89907
"433",288.76,226.3172
"434",289.43,226.6447
"435",290.1,227.1674
"436",290.77,227.58231
"437",291.43,227.91017
"438",292.1,228.287
"439",292.77,228.47384
"440",293.44,228.2245
"441",294.11,228.31943
"442",294.78,228.27576
"443",295.45,228.62736
"444",296.11,228.67692
"445",296.78,229.16943
"446",297.45,229.53552
"447",298.12,229.81357
"448",298.79,229.98249
"449",299.46,229.88289
"450",300.12,229.87853
"451",300.79,229.69733
"452",301.46,229.44397
"453",302.13,228.65867
"454",302.8,228.0601
"455",303.47,227.18521
"456",304.13,226.33271
"457",304.8,225.40672
"458",305.47,224.5492
"459",306.14,224.03562
"460",306.81,223.12812
"461",307.48,223.26498
"462",308.15,223.0796
"463",308.81,223.00358
"464",309.48,222.77134
"465",310.15,222.79598
"466",310.82,222.97612
"467",311.49,223.19211
"468",312.16,223.06913
"469",312.82,223.33448
"470",313.49,223.37617
"471",314.16,223.5234
"472",314.83,223.46199
"473",315.5,223.18553
"474",316.17,222.75588
"475",316.83,222.46153
"476",317.5,222.3864
"477",318.17,222.63124
"478",318.84,222.45298
"479",319.51,222.48074
"480",320.18,222.29733
"481",320.85,222.42077
"482",321.51,222.42644
"483",322.18,222.93922
"484",322.85,223.42127
"485",323.52,223.85469
"486",324.19,224.15802
"487",324.86,224.46031
"488",325.52,224.94492
"489",326.19,225.18463
"490",326.86,225.65789
"491",327.53,225.76631
