"","Position_um","Intensity_mean"
"1",0,220.31246
"2",0.67,220.23549
"3",1.34,219.82291
"4",2.01,219.95218
"5",2.68,219.20477
"6",3.35,219.57091
"7",4.02,219.31858
"8",4.69,219.16797
"9",5.35,218.69826
"10",6.02,218.92892
"11",6.69,218.72039
"12",7.36,218.61623
"13",8.03,217.5315
"14",8.7,216.98335
"15",9.37,216.74048
"16",10.04,217.03578
"17",10.71,216.60156
"18",11.38,216.77367
"19",12.05,216.56019
"20",12.72,216.58
"21",13.39,216.61428
"22",14.06,216.70289
"23",14.73,216.43852
"24",15.39,216.92274
"25",16.06,216.54279
"26",16.73,216.39679
"27",17.4,215.90138
"28",18.07,215.99856
"29",18.74,215.48752
"30",19.41,215.62847
"31",20.08,214.51539
"32",20.75,214.55466
"33",21.42,214.03122
"34",22.09,213.61932
"35",22.76,213.39165
"36",23.43,213.72508
"37",24.1,213.17173
"38",24.77,213.27225
"39",25.44,212.91081
"40",26.1,212.47395
"41",26.77,211.3975
"42",27.44,212.20089
"43",28.11,211.85849
"44",28.78,212.12293
"45",29.45,211.44636
"46",30.12,211.79241
"47",30.79,211.99066
"48",31.46,212.64141
"49",32.13,211.89014
"50",32.8,211.87076
"51",33.47,211.54157
"52",34.14,211.69459
"53",34.81,211.44382
"54",35.48,212.40965
"55",36.14,212.53704
"56",36.81,212.46917
"57",37.48,212.09429
"58",38.15,211.83043
"59",38.82,210.63793
"60",39.49,210.68585
"61",40.16,209.6771
"62",40.83,209.35824
"63",41.5,208.76805
"64",42.17,208.78219
"65",42.84,208.33533
"66",43.51,208.3249
"67",44.18,208.22563
"68",44.85,208.38679
"69",45.52,207.66684
"70",46.18,207.41213
"71",46.85,207.18532
"72",47.52,207.59929
"73",48.19,207.36702
"74",48.86,208.3601
"75",49.53,208.58809
"76",50.2,209.20836
"77",50.87,208.77913
"78",51.54,209.43539
"79",52.21,210.06893
"80",52.88,210.12106
"81",53.55,208.96983
"82",54.22,208.85381
"83",54.89,208.77623
"84",55.56,209.67099
"85",56.22,209.59062
"86",56.89,209.79985
"87",57.56,209.56827
"88",58.23,210.27747
"89",58.9,210.56563
"90",59.57,211.29934
"91",60.24,210.99914
"92",60.91,212.08045
"93",61.58,212.52669
"94",62.25,212.86338
"95",62.92,213.40215
"96",63.59,213.94654
"97",64.26,214.70637
"98",64.93,215.68608
"99",65.6,215.95748
"100",66.27,216.64672
"101",66.93,216.86608
"102",67.6,216.92961
"103",68.27,216.51003
"104",68.94,216.12768
"105",69.61,216.14578
"106",70.28,216.76786
"107",70.95,217.00134
"108",71.62,216.83829
"109",72.29,216.46479
"110",72.96,216.6706
"111",73.63,216.86211
"112",74.3,217.30749
"113",74.97,217.1116
"114",75.64,217.5806
"115",76.31,217.26856
"116",76.97,217.41049
"117",77.64,217.6345
"118",78.31,217.85565
"119",78.98,217.88024
"120",79.65,217.26956
"121",80.32,216.63614
"122",80.99,216.71732
"123",81.66,216.27488
"124",82.33,216.54509
"125",83,216.15569
"126",83.67,216.00885
"127",84.34,216.00736
"128",85.01,216.134
"129",85.68,215.51887
"130",86.35,215.79955
"131",87.01,215.873
"132",87.68,216.51882
"133",88.35,216.61986
"134",89.02,217.23383
"135",89.69,217.52137
"136",90.36,217.90175
"137",91.03,218.03132
"138",91.7,218.50469
"139",92.37,217.78759
"140",93.04,217.94488
"141",93.71,217.42161
"142",94.38,217.65437
"143",95.05,217.64842
"144",95.72,217.80085
"145",96.39,217.46492
"146",97.05,217.91726
"147",97.72,217.28756
"148",98.39,217.28054
"149",99.06,216.86012
"150",99.73,216.64503
"151",100.4,216.33601
"152",101.07,216.81709
"153",101.74,216.78193
"154",102.41,216.60041
"155",103.08,216.71607
"156",103.75,216.73717
"157",104.42,216.05638
"158",105.09,216.11628
"159",105.76,215.61387
"160",106.43,215.57393
"161",107.1,215.20558
"162",107.76,215.36849
"163",108.43,214.90045
"164",109.1,215.12313
"165",109.77,214.79491
"166",110.44,215.30464
"167",111.11,215.52956
"168",111.78,215.56443
"169",112.45,215.03682
"170",113.12,215.66885
"171",113.79,215.4146
"172",114.46,215.59558
"173",115.13,215.42464
"174",115.8,214.89495
"175",116.47,214.20891
"176",117.14,213.8353
"177",117.8,213.09938
"178",118.47,213.39255
"179",119.14,213.24194
"180",119.81,213.07882
"181",120.48,212.86555
"182",121.15,212.85588
"183",121.82,212.58693
"184",122.49,213.08041
"185",123.16,212.58586
"186",123.83,212.12668
"187",124.5,212.03615
"188",125.17,211.82105
"189",125.84,211.63092
"190",126.51,212.10494
"191",127.18,212.77827
"192",127.84,213.10875
"193",128.51,213.36965
"194",129.18,213.43003
"195",129.85,213.19928
"196",130.52,212.87366
"197",131.19,212.62824
"198",131.86,212.32522
"199",132.53,211.95685
"200",133.2,211.40295
"201",133.87,210.84694
"202",134.54,211.48443
"203",135.21,211.73627
"204",135.88,211.68027
"205",136.55,211.09237
"206",137.22,210.78001
"207",137.88,210.97662
"208",138.55,210.82294
"209",139.22,210.75868
"210",139.89,210.89474
"211",140.56,210.81731
"212",141.23,211.01418
"213",141.9,210.81557
"214",142.57,212.19941
"215",143.24,212.55992
"216",143.91,212.86525
"217",144.58,212.3341
"218",145.25,212.38352
"219",145.92,211.92869
"220",146.59,212.20549
"221",147.26,211.89651
"222",147.93,212.23114
"223",148.59,212.56764
"224",149.26,212.79916
"225",149.93,212.64086
"226",150.6,212.46373
"227",151.27,212.68915
"228",151.94,213.15078
"229",152.61,213.04048
"230",153.28,213.17571
"231",153.95,212.8033
"232",154.62,213.00429
"233",155.29,212.55949
"234",155.96,212.28086
"235",156.63,212.08082
"236",157.3,212.2279
"237",157.97,212.67751
"238",158.63,212.71303
"239",159.3,213.1602
"240",159.97,213.73039
"241",160.64,213.74529
"242",161.31,214.00089
"243",161.98,213.75662
"244",162.65,213.52682
"245",163.32,213.38242
"246",163.99,213.55627
"247",164.66,213.85626
"248",165.33,213.94217
"249",166,213.86134
"250",166.67,213.68385
"251",167.34,213.54538
"252",168.01,213.91737
"253",168.67,213.90616
"254",169.34,214.11612
"255",170.01,213.78166
"256",170.68,214.11669
"257",171.35,213.64573
"258",172.02,214.06413
"259",172.69,213.49675
"260",173.36,213.23656
"261",174.03,213.19915
"262",174.7,214.43507
"263",175.37,213.66648
"264",176.04,213.90763
"265",176.71,213.8013
"266",177.38,214.08272
"267",178.05,213.71396
"268",178.71,213.95843
"269",179.38,213.63079
"270",180.05,213.64185
"271",180.72,213.90683
"272",181.39,213.65404
"273",182.06,213.24426
"274",182.73,213.28019
"275",183.4,212.74176
"276",184.07,213.06024
"277",184.74,212.55032
"278",185.41,212.12404
"279",186.08,211.52944
"280",186.75,211.86996
"281",187.42,211.07652
"282",188.09,211.26528
"283",188.76,210.39224
"284",189.42,210.02841
"285",190.09,210.05037
"286",190.76,210.19535
"287",191.43,210.38314
"288",192.1,210.52066
"289",192.77,210.42268
"290",193.44,211.26042
"291",194.11,210.16462
"292",194.78,210.20174
"293",195.45,209.71437
"294",196.12,211.04707
"295",196.79,210.92231
"296",197.46,211.14311
"297",198.13,210.78805
"298",198.8,211.49888
"299",199.46,212.02887
"300",200.13,212.37086
"301",200.8,211.30238
"302",201.47,211.9117
"303",202.14,211.62919
"304",202.81,211.83557
"305",203.48,210.84526
"306",204.15,211.22869
"307",204.82,211.22422
"308",205.49,212.02049
"309",206.16,211.67394
"310",206.83,212.18635
"311",207.5,212.16112
"312",208.17,213.34342
"313",208.84,213.50702
"314",209.5,214.11521
"315",210.17,213.48394
"316",210.84,213.83458
"317",211.51,214.06761
"318",212.18,214.22413
"319",212.85,213.34007
"320",213.52,213.2746
"321",214.19,213.44858
"322",214.86,214.30534
"323",215.53,213.6597
"324",216.2,213.77541
"325",216.87,214.60277
"326",217.54,216.07872
"327",218.21,216.27542
"328",218.88,217.00461
"329",219.54,216.84861
"330",220.21,216.97971
"331",220.88,217.26034
"332",221.55,217.58693
"333",222.22,216.95766
"334",222.89,217.07952
"335",223.56,217.15816
"336",224.23,217.25053
"337",224.9,217.3447
"338",225.57,217.36082
"339",226.24,216.65716
"340",226.91,217.72949
"341",227.58,216.94974
"342",228.25,217.48457
"343",228.92,216.78693
"344",229.59,216.53355
"345",230.25,216.10448
"346",230.92,216.49023
"347",231.59,216.11052
"348",232.26,216.57964
"349",232.93,216.41734
"350",233.6,217.26529
"351",234.27,217.18866
"352",234.94,217.69155
"353",235.61,217.45998
"354",236.28,217.73816
"355",236.95,217.24645
"356",237.62,218.36421
"357",238.29,217.81929
"358",238.96,218.73842
"359",239.63,218.92677
"360",240.29,219.43936
"361",240.96,219.52638
"362",241.63,220.15452
"363",242.3,220.30031
"364",242.97,221.01405
"365",243.64,221.25832
"366",244.31,221.81829
"367",244.98,221.17691
"368",245.65,221.22178
"369",246.32,220.37974
"370",246.99,220.50164
"371",247.66,220.30044
"372",248.33,221.04084
"373",249,220.30543
"374",249.67,219.9892
"375",250.33,219.34173
"376",251,219.72543
"377",251.67,219.28692
"378",252.34,219.39245
"379",253.01,219.00234
"380",253.68,219.45292
"381",254.35,218.77582
"382",255.02,219.18399
"383",255.69,218.72326
"384",256.36,219.21579
"385",257.03,219.37559
"386",257.7,220.03565
"387",258.37,219.15886
"388",259.04,219.72058
"389",259.71,219.25858
"390",260.37,219.60326
"391",261.04,219.80928
"392",261.71,220.21433
"393",262.38,220.39209
"394",263.05,220.80776
"395",263.72,220.61597
"396",264.39,221.14256
"397",265.06,220.17286
"398",265.73,221.16963
"399",266.4,221.58647
"400",267.07,222.44328
"401",267.74,221.6361
"402",268.41,221.92146
"403",269.08,221.62085
"404",269.75,222.5608
"405",270.41,221.82606
"406",271.08,222.27894
"407",271.75,222.39179
"408",272.42,222.89109
"409",273.09,222.18612
"410",273.76,222.69701
"411",274.43,222.46234
"412",275.1,222.56175
"413",275.77,222.10454
"414",276.44,222.53963
"415",277.11,222.6389
"416",277.78,223.11027
"417",278.45,222.66537
"418",279.12,222.95265
"419",279.79,222.13159
"420",280.46,222.43181
"421",281.12,221.59845
"422",281.79,221.21329
"423",282.46,221.29402
"424",283.13,221.90705
"425",283.8,222.07327
"426",284.47,221.9797
"427",285.14,221.41414
"428",285.81,222.16837
"429",286.48,222.07831
"430",287.15,223.20383
"431",287.82,223.73435
"432",288.49,224.04287
"433",289.16,223.11762
"434",289.83,222.9377
"435",290.5,223.13892
"436",291.16,223.57385
"437",291.83,223.84863
"438",292.5,224.38924
"439",293.17,224.7514
"440",293.84,224.83142
"441",294.51,224.34722
"442",295.18,224.38451
"443",295.85,224.48224
"444",296.52,224.21012
"445",297.19,224.0605
"446",297.86,224.57082
"447",298.53,225.40447
"448",299.2,226.11643
"449",299.87,226.26804
"450",300.54,226.85904
"451",301.2,226.63852
"452",301.87,227.1958
"453",302.54,226.8842
"454",303.21,227.56122
"455",303.88,226.77268
"456",304.55,226.90291
"457",305.22,225.25654
"458",305.89,225.21887
"459",306.56,224.66033
"460",307.23,224.43601
"461",307.9,223.95216
"462",308.57,224.11516
"463",309.24,223.88201
"464",309.91,223.23943
"465",310.58,223.16604
"466",311.24,223.1407
"467",311.91,223.0518
"468",312.58,222.70129
"469",313.25,222.15097
"470",313.92,222.18112
"471",314.59,221.77899
"472",315.26,222.02625
"473",315.93,221.40067
"474",316.6,222.46287
"475",317.27,222.29891
"476",317.94,222.97812
"477",318.61,222.49816
"478",319.28,223.19432
"479",319.95,223.04503
"480",320.62,224.41464
"481",321.29,224.42548
"482",321.95,224.17162
"483",322.62,223.55565
"484",323.29,223.51478
"485",323.96,223.11954
"486",324.63,224.0709
"487",325.3,223.88322
"488",325.97,223.75512
"489",326.64,224.18435
"490",327.31,225.18666
"491",327.98,225.08584
"492",328.65,225.37827
"493",329.32,224.98282
"494",329.99,225.25761
"495",330.66,224.89878
"496",331.33,225.01143
"497",331.99,224.63912
"498",332.66,224.98378
"499",333.33,224.26502
"500",334,224.09014
"501",334.67,223.09263
"502",335.34,223.2531
"503",336.01,222.94854
"504",336.68,222.48183
"505",337.35,221.75959
"506",338.02,221.09967
"507",338.69,221.28977
"508",339.36,221.52984
"509",340.03,220.7573
"510",340.7,221.55774
"511",341.37,221.30096
"512",342.03,221.58897
"513",342.7,221.37499
"514",343.37,221.64321
"515",344.04,221.17927
"516",344.71,221.73388
"517",345.38,220.57475
"518",346.05,220.98451
"519",346.72,221.02784
"520",347.39,221.03757
"521",348.06,219.9195
"522",348.73,219.79933
"523",349.4,219.01945
"524",350.07,219.23026
"525",350.74,218.09348
"526",351.41,218.6473
"527",352.07,218.28486
"528",352.74,217.86229
"529",353.41,217.22048
"530",354.08,217.54466
"531",354.75,216.85564
"532",355.42,216.72685
"533",356.09,216.70491
"534",356.76,217.30204
"535",357.43,217.04135
"536",358.1,217.34542
"537",358.77,217.36166
"538",359.44,218.03241
"539",360.11,218.34204
"540",360.78,218.58446
"541",361.45,218.42612
"542",362.12,218.59509
"543",362.78,218.13467
"544",363.45,218.00968
"545",364.12,216.82347
"546",364.79,216.84182
"547",365.46,216.57328
"548",366.13,217.61937
"549",366.8,216.81824
"550",367.47,216.54132
"551",368.14,216.49129
"552",368.81,217.11057
"553",369.48,216.83569
"554",370.15,216.31348
"555",370.82,215.6075
"556",371.49,215.39879
"557",372.16,214.87105
"558",372.82,215.41353
"559",373.49,215.14976
"560",374.16,214.68332
"561",374.83,215.11686
"562",375.5,215.47197
"563",376.17,215.69676
"564",376.84,216.24674
"565",377.51,216.88113
"566",378.18,217.28594
"567",378.85,217.10062
"568",379.52,218.19218
"569",380.19,219.25153
"570",380.86,219.81185
"571",381.53,220.39318
"572",382.2,220.37243
"573",382.86,220.80684
"574",383.53,221.62288
"575",384.2,221.81384
"576",384.87,221.64925
"577",385.54,221.8692
"578",386.21,222.23236
"579",386.88,222.24685
"580",387.55,222.13843
"581",388.22,221.49777
"582",388.89,221.91652
"583",389.56,220.61245
"584",390.23,220.06037
"585",390.9,220.08827
"586",391.57,220.70119
"587",392.24,220.34873
"588",392.9,219.8772
"589",393.57,218.9867
"590",394.24,218.53435
"591",394.91,218.33663
"592",395.58,218.77384
"593",396.25,218.58224
"594",396.92,218.66109
"595",397.59,219.2846
"596",398.26,219.85632
"597",398.93,219.75309
"598",399.6,220.47456
"599",400.27,220.94744
"600",400.94,221.8126
"601",401.61,222.18746
"602",402.28,223.16573
"603",402.95,222.88434
"604",403.61,222.56639
"605",404.28,223.12686
"606",404.95,223.65795
"607",405.62,223.86378
"608",406.29,223.82767
"609",406.96,223.26413
"610",407.63,223.45979
"611",408.3,222.91624
"612",408.97,223.05644
"613",409.64,222.43811
"614",410.31,222.63602
"615",410.98,223.14409
"616",411.65,223.4532
"617",412.32,223.36447
"618",412.99,223.72352
"619",413.65,223.86668
"620",414.32,224.0701
"621",414.99,223.73183
"622",415.66,223.5465
"623",416.33,223.03387
"624",417,223.4302
"625",417.67,223.39991
"626",418.34,223.94659
"627",419.01,223.1764
"628",419.68,222.64917
"629",420.35,222.33185
"630",421.02,222.57052
"631",421.69,222.5029
"632",422.36,222.20929
"633",423.03,221.76229
"634",423.69,222.63
"635",424.36,223.11854
"636",425.03,224.2483
"637",425.7,224.21137
"638",426.37,224.42757
"639",427.04,224.9714
"640",427.71,224.94778
"641",428.38,224.18533
"642",429.05,224.00518
"643",429.72,223.48148
"644",430.39,223.49071
"645",431.06,222.41188
"646",431.73,222.91699
"647",432.4,222.72284
"648",433.07,222.59751
"649",433.73,221.90058
"650",434.4,222.0971
"651",435.07,221.52233
"652",435.74,221.46028
"653",436.41,220.84667
"654",437.08,220.51857
"655",437.75,219.68455
"656",438.42,219.77349
"657",439.09,219.2689
"658",439.76,219.44462
"659",440.43,218.25368
"660",441.1,218.1239
"661",441.77,217.28884
"662",442.44,217.45376
"663",443.11,217.7655
"664",443.78,218.79355
"665",444.44,218.24656
"666",445.11,218.85801
"667",445.78,218.75413
"668",446.45,219.12596
"669",447.12,218.80928
"670",447.79,219.18343
"671",448.46,219.68884
"672",449.13,219.73298
"673",449.8,218.30616
"674",450.47,218.17434
"675",451.14,217.7207
"676",451.81,217.3867
"677",452.48,216.65833
"678",453.15,216.90154
"679",453.82,215.94601
"680",454.48,216.84481
"681",455.15,216.48255
"682",455.82,216.30357
"683",456.49,216.36671
"684",457.16,216.68037
"685",457.83,216.14808
"686",458.5,216.42686
"687",459.17,216.03717
"688",459.84,216.31821
"689",460.51,215.62143
"690",461.18,215.97376
"691",461.85,215.65511
"692",462.52,216.16163
"693",463.19,216.23973
"694",463.86,216.917
"695",464.52,216.8908
"696",465.19,216.81527
"697",465.86,216.37853
"698",466.53,216.8058
"699",467.2,216.95253
"700",467.87,217.91837
"701",468.54,217.62346
"702",469.21,217.84439
"703",469.88,217.9619
"704",470.55,219.08256
"705",471.22,218.35962
"706",471.89,218.86444
"707",472.56,218.30861
"708",473.23,219.00541
"709",473.9,218.01623
"710",474.56,218.42422
"711",475.23,217.45381
"712",475.9,218.05873
"713",476.57,218.22063
"714",477.24,218.82199
"715",477.91,218.04578
"716",478.58,218.71485
"717",479.25,218.00213
"718",479.92,218.01173
"719",480.59,217.55786
"720",481.26,217.71545
"721",481.93,217.3755
"722",482.6,217.70655
"723",483.27,216.95958
"724",483.94,217.59964
"725",484.61,216.12167
"726",485.27,215.94641
"727",485.94,215.40177
"728",486.61,216.35909
"729",487.28,216.01063
"730",487.95,216.27545
"731",488.62,215.76577
"732",489.29,216.54899
"733",489.96,217.38171
"734",490.63,218.34935
"735",491.3,218.44408
"736",491.97,218.71107
"737",492.64,218.26184
"738",493.31,218.24284
"739",493.98,217.89448
"740",494.65,217.50661
"741",495.31,217.15074
"742",495.98,217.66609
"743",496.65,216.92699
"744",497.32,217.24596
"745",497.99,217.08108
"746",498.66,217.53707
"747",499.33,216.54444
"748",500,216.87645
"749",500.67,216.01374
"750",501.34,216.78778
"751",502.01,216.65047
"752",502.68,217.82512
"753",503.35,218.59951
"754",504.02,219.62745
"755",504.69,220.3049
"756",505.35,220.77332
"757",506.02,220.77581
"758",506.69,221.45254
"759",507.36,221.05573
"760",508.03,221.75886
"761",508.7,221.42074
"762",509.37,221.5767
"763",510.04,220.73284
"764",510.71,220.9169
"765",511.38,220.69527
"766",512.05,220.67429
"767",512.72,220.21905
"768",513.39,219.85883
"769",514.06,219.65907
"770",514.73,220.27599
"771",515.39,219.48956
"772",516.06,219.22062
"773",516.73,219.33592
"774",517.4,219.49098
"775",518.07,219.4026
"776",518.74,220.0043
"777",519.41,219.80923
"778",520.08,219.8602
"779",520.75,220.24169
"780",521.42,220.8282
"781",522.09,220.49501
"782",522.76,221.72192
"783",523.43,222.05154
"784",524.1,222.13651
"785",524.77,221.67134
"786",525.44,221.59142
"787",526.1,220.63083
"788",526.77,219.77955
"789",527.44,218.94681
"790",528.11,218.78489
"791",528.78,217.37381
"792",529.45,217.22637
"793",530.12,216.2204
"794",530.79,216.13096
"795",531.46,215.64258
"796",532.13,215.72507
"797",532.8,215.29969
"798",533.47,215.25479
"799",534.14,215.20499
"800",534.81,215.52856
"801",535.48,215.54751
"802",536.14,215.45011
"803",536.81,215.41259
"804",537.48,215.78705
"805",538.15,215.66716
"806",538.82,216.06059
"807",539.49,215.90315
"808",540.16,216.5652
"809",540.83,216.93976
"810",541.5,217.19528
"811",542.17,217.1378
"812",542.84,216.88697
"813",543.51,216.6323
"814",544.18,216.193
"815",544.85,215.43225
"816",545.52,214.99755
"817",546.18,214.28434
"818",546.85,214.24956
"819",547.52,214.14922
"820",548.19,214.49339
"821",548.86,214.60425
"822",549.53,214.66274
"823",550.2,214.81656
"824",550.87,214.78567
"825",551.54,215.73547
"826",552.21,216.71417
"827",552.88,217.18338
"828",553.55,217.21449
"829",554.22,216.77609
"830",554.89,216.91999
"831",555.56,217.22048
"832",556.22,217.28019
"833",556.89,216.57398
"834",557.56,216.5398
"835",558.23,216.64346
"836",558.9,216.85551
"837",559.57,216.85305
"838",560.24,217.63413
"839",560.91,217.73754
"840",561.58,217.98068
"841",562.25,217.91741
"842",562.92,218.04891
"843",563.59,217.74234
"844",564.26,217.60255
"845",564.93,217.31532
"846",565.6,217.13021
"847",566.27,216.69924
"848",566.93,216.17863
"849",567.6,216.22825
"850",568.27,216.26472
"851",568.94,215.61996
"852",569.61,215.5336
"853",570.28,216.33008
"854",570.95,216.53695
"855",571.62,216.36812
"856",572.29,216.41829
"857",572.96,215.37983
"858",573.63,215.27336
"859",574.3,215.34119
"860",574.97,215.23402
"861",575.64,214.41018
"862",576.31,214.08755
"863",576.97,213.61833
"864",577.64,213.99866
"865",578.31,214.18349
"866",578.98,214.59571
"867",579.65,214.32231
"868",580.32,214.34609
"869",580.99,214.74651
"870",581.66,214.82699
"871",582.33,214.33547
"872",583,214.50023
"873",583.67,214.66449
"874",584.34,215.38452
"875",585.01,215.15277
"876",585.68,214.95212
"877",586.35,214.48698
"878",587.01,213.9249
"879",587.68,213.38977
"880",588.35,213.31638
"881",589.02,213.56263
"882",589.69,214.1662
"883",590.36,214.02473
"884",591.03,214.16451
"885",591.7,213.68425
"886",592.37,213.56993
"887",593.04,213.7951
"888",593.71,214.47626
"889",594.38,213.87005
"890",595.05,213.77077
"891",595.72,212.91019
"892",596.39,212.40052
"893",597.05,212.10907
"894",597.72,212.42401
"895",598.39,212.16752
"896",599.06,212.15127
"897",599.73,212.26519
"898",600.4,212.44143
"899",601.07,212.53098
"900",601.74,213.176
"901",602.41,213.24359
"902",603.08,213.41749
"903",603.75,213.44271
"904",604.42,213.9017
"905",605.09,213.97502
"906",605.76,214.80341
"907",606.43,214.95155
"908",607.1,214.88435
"909",607.76,215.0171
"910",608.43,214.98091
"911",609.1,214.80339
"912",609.77,214.48234
"913",610.44,215.02303
"914",611.11,215.45739
"915",611.78,216.30201
"916",612.45,216.88283
"917",613.12,217.54127
"918",613.79,218.06953
"919",614.46,217.97564
"920",615.13,218.19122
"921",615.8,218.85033
"922",616.47,219.34267
"923",617.14,219.02271
"924",617.8,218.70727
"925",618.47,218.85277
"926",619.14,219.05356
"927",619.81,219.09285
"928",620.48,219.66257
"929",621.15,219.09244
"930",621.82,218.96644
"931",622.49,217.98255
"932",623.16,218.21477
"933",623.83,218.21148
"934",624.5,218.44175
"935",625.17,218.1391
"936",625.84,217.97488
"937",626.51,217.65248
"938",627.18,217.82406
"939",627.84,217.84196
"940",628.51,218.38947
"941",629.18,218.29366
"942",629.85,218.23296
"943",630.52,217.96837
"944",631.19,218.05877
"945",631.86,218.05476
"946",632.53,218.17225
"947",633.2,218.28399
"948",633.87,218.44561
"949",634.54,218.16149
"950",635.21,217.90574
"951",635.88,217.93582
"952",636.55,218.29419
"953",637.22,217.92656
"954",637.88,217.16247
"955",638.55,216.59198
"956",639.22,216.48011
"957",639.89,216.62629
"958",640.56,216.0526
"959",641.23,215.74922
"960",641.9,215.34986
"961",642.57,215.18394
"962",643.24,215.16131
"963",643.91,215.48134
"964",644.58,215.20472
"965",645.25,214.87717
"966",645.92,215.1891
"967",646.59,215.12897
"968",647.26,215.01677
"969",647.93,214.67872
"970",648.59,214.32245
"971",649.26,214.82574
"972",649.93,214.73722
"973",650.6,214.88468
"974",651.27,215.20065
"975",651.94,215.58821
"976",652.61,215.64044
"977",653.28,215.87465
"978",653.95,215.78751
"979",654.62,215.90143
"980",655.29,215.38648
"981",655.96,214.24158
"982",656.63,212.6826
"983",657.3,211.97291
"984",657.97,210.70245
"985",658.63,209.79876
"986",659.3,209.67814
"987",659.97,209.81661
"988",660.64,209.66818
"989",661.31,209.62227
"990",661.98,209.19251
"991",662.65,209.24824
"992",663.32,208.72025
"993",663.99,208.99656
"994",664.66,208.91518
"995",665.33,209.29896
"996",666,209.82094
"997",666.67,210.0842
"998",667.34,210.44006
"999",668.01,210.68077
"1000",668.67,211.11259
"1001",669.34,211.84118
"1002",670.01,212.45649
"1003",670.68,212.66804
"1004",671.35,213.24721
"1005",672.02,213.99915
"1006",672.69,214.64046
"1007",673.36,214.92726
"1008",674.03,215.20798
"1009",674.7,215.23339
"1010",675.37,215.89088
"1011",676.04,215.60736
"1012",676.71,214.99121
"1013",677.38,214.84761
"1014",678.05,214.53013
"1015",678.71,214.56627
"1016",679.38,214.26416
"1017",680.05,214.02046
"1018",680.72,213.97069
"1019",681.39,213.72239
"1020",682.06,213.48773
"1021",682.73,212.87569
"1022",683.4,212.17488
"1023",684.07,211.58049
"1024",684.74,211.11588
"1025",685.41,210.93227
"1026",686.08,211.0178
"1027",686.75,211.15093
"1028",687.42,210.76711
"1029",688.09,209.80495
"1030",688.76,209.125
"1031",689.42,209.14591
"1032",690.09,208.64355
"1033",690.76,208.04301
"1034",691.43,207.82582
"1035",692.1,207.70218
"1036",692.77,207.63301
"1037",693.44,208.19407
"1038",694.11,208.14124
"1039",694.78,208.20673
"1040",695.45,207.45586
"1041",696.12,207.71085
"1042",696.79,207.67407
"1043",697.46,207.75219
"1044",698.13,206.88572
"1045",698.8,206.37173
"1046",699.46,205.70711
"1047",700.13,205.27122
"1048",700.8,204.74298
"1049",701.47,204.38078
"1050",702.14,204.4133
"1051",702.81,204.57666
"1052",703.48,204.17073
"1053",704.15,203.86767
"1054",704.82,203.76131
"1055",705.49,203.79469
"1056",706.16,203.17349
"1057",706.83,202.89842
"1058",707.5,202.25863
"1059",708.17,201.52508
"1060",708.84,201.07248
"1061",709.5,200.56314
"1062",710.17,199.71414
"1063",710.84,198.77096
"1064",711.51,198.07969
"1065",712.18,198.03583
"1066",712.85,197.85261
"1067",713.52,197.66483
"1068",714.19,196.94488
"1069",714.86,197.23121
"1070",715.53,197.94364
"1071",716.2,198.66538
"1072",716.87,198.47901
"1073",717.54,197.34285
"1074",718.21,196.44265
"1075",718.88,196.28897
"1076",719.54,196.92924
"1077",720.21,197.71268
"1078",720.88,197.20648
"1079",721.55,196.77214
"1080",722.22,196.31464
"1081",722.89,196.70415
"1082",723.56,197.07765
"1083",724.23,197.96391
"1084",724.9,198.16589
"1085",725.57,199.00891
"1086",726.24,198.52317
"1087",726.91,198.48665
"1088",727.58,197.91093
"1089",728.25,198.88707
"1090",728.92,200.94213
"1091",729.59,203.03347
"1092",730.25,203.64729
"1093",730.92,203.62589
"1094",731.59,203.77113
"1095",732.26,204.08184
"1096",732.93,203.61853
"1097",733.6,203.00169
"1098",734.27,202.17703
"1099",734.94,202.10608
"1100",735.61,201.96595
"1101",736.28,201.73225
"1102",736.95,200.78859
"1103",737.62,200.08693
"1104",738.29,200.45578
"1105",738.96,201.12259
"1106",739.63,200.55948
"1107",740.29,200.34603
"1108",740.96,199.95199
"1109",741.63,199.14016
"1110",742.3,198.24517
"1111",742.97,198.07961
"1112",743.64,197.22739
"1113",744.31,197.11317
"1114",744.98,197.28398
"1115",745.65,197.73589
"1116",746.32,197.95672
"1117",746.99,198.0547
"1118",747.66,197.35834
"1119",748.33,197.26649
"1120",749,196.76144
"1121",749.67,196.41271
"1122",750.33,196.54832
"1123",751,196.79843
"1124",751.67,196.54377
"1125",752.34,196.92765
"1126",753.01,196.10058
"1127",753.68,195.5821
"1128",754.35,195.57524
"1129",755.02,196.55253
"1130",755.69,196.10483
"1131",756.36,196.29491
"1132",757.03,195.39996
"1133",757.7,195.35252
"1134",758.37,195.35826
