"","Position_um","Intensity_mean"
"1",0,225.86932
"2",0.67,225.64989
"3",1.33,225.45253
"4",2,225.29317
"5",2.67,224.91298
"6",3.33,224.50871
"7",4,224.04987
"8",4.67,223.41551
"9",5.33,223.09911
"10",6,223.39666
"11",6.67,223.48187
"12",7.33,223.16856
"13",8,222.69493
"14",8.67,222.29179
"15",9.33,221.8668
"16",10,221.24493
"17",10.67,220.87681
"18",11.33,220.72894
"19",12,220.77701
"20",12.67,221.04336
"21",13.33,221.0539
"22",14,220.58858
"23",14.67,220.11823
"24",15.33,219.98165
"25",16,219.91134
"26",16.67,219.91726
"27",17.33,220.24782
"28",18,220.88784
"29",18.67,221.63523
"30",19.33,222.04263
"31",20,222.43516
"32",20.67,222.8933
"33",21.33,223.19556
"34",22,223.41768
"35",22.67,223.55524
"36",23.33,223.55187
"37",24,223.38501
"38",24.67,223.09617
"39",25.33,222.65921
"40",26,222.35141
"41",26.67,222.32795
"42",27.33,222.0415
"43",28,221.68951
"44",28.67,221.25622
"45",29.33,220.94871
"46",30,220.55333
"47",30.67,220.37448
"48",31.33,220.75857
"49",32,221.17041
"50",32.67,221.42837
"51",33.33,221.24685
"52",34,221.09877
"53",34.67,221.02253
"54",35.33,220.94724
"55",36,220.46258
"56",36.67,220.03832
"57",37.33,219.84765
"58",38,219.79243
"59",38.67,219.60548
"60",39.33,219.39422
"61",40,219.2019
"62",40.67,218.93741
"63",41.33,218.84804
"64",42,218.97463
"65",42.67,219.10457
"66",43.33,219.33641
"67",44,219.32383
"68",44.67,218.97209
"69",45.33,218.63241
"70",46,218.63187
"71",46.67,218.40054
"72",47.33,218.21974
"73",48,218.35071
"74",48.67,218.62702
"75",49.33,218.77343
"76",50,218.88569
"77",50.67,218.76094
"78",51.33,218.36493
"79",52,217.91185
"80",52.67,217.63396
"81",53.33,217.77711
"82",54,218.29363
"83",54.67,218.80671
"84",55.33,219.08013
"85",56,219.57654
"86",56.67,219.9289
"87",57.33,220.10195
"88",58,220.2941
"89",58.67,220.26201
"90",59.33,220.01401
"91",60,219.71326
"92",60.67,219.3199
"93",61.33,219.17002
"94",62,218.99666
"95",62.67,218.92359
"96",63.33,218.77387
"97",64,218.44908
"98",64.67,218.02387
"99",65.33,217.90502
"100",66,218.14476
"101",66.67,218.57014
"102",67.33,218.79559
"103",68,218.93827
"104",68.67,219.11613
"105",69.33,219.444
"106",70,219.9852
"107",70.67,220.53815
"108",71.33,220.77834
"109",72,220.86796
"110",72.67,220.83284
"111",73.33,220.69233
"112",74,220.51763
"113",74.67,220.23426
"114",75.33,219.98766
"115",76,219.7851
"116",76.67,219.89436
"117",77.33,220.2705
"118",78,220.82418
"119",78.67,221.31298
"120",79.33,221.84014
"121",80,222.3907
"122",80.67,222.80432
"123",81.33,223.01704
"124",82,223.05875
"125",82.67,222.98193
"126",83.33,222.95458
"127",84,222.88343
"128",84.67,222.88062
"129",85.33,223.00207
"130",86,223.35902
"131",86.67,223.56369
