"","Position_um","Intensity_mean"
"1",0,196.89214
"2",0.67,196.38107
"3",1.34,195.9269
"4",2.01,195.14422
"5",2.68,194.14705
"6",3.35,193.43722
"7",4.02,193.18537
"8",4.69,193.43361
"9",5.35,193.30327
"10",6.02,192.33112
"11",6.69,192.00608
"12",7.36,192.603
"13",8.03,193.6331
"14",8.7,193.86819
"15",9.37,193.66671
"16",10.04,193.40535
"17",10.71,193.12123
"18",11.38,192.908
"19",12.05,193.03736
"20",12.72,193.8679
"21",13.39,194.58632
"22",14.06,194.45713
"23",14.73,194.08644
"24",15.39,193.80968
"25",16.06,193.55559
"26",16.73,193.207
"27",17.4,193.19642
"28",18.07,193.27997
"29",18.74,193.2436
"30",19.41,192.79714
"31",20.08,192.52125
"32",20.75,192.29563
"33",21.42,192.10183
"34",22.09,191.66718
"35",22.76,191.58145
"36",23.43,191.72909
"37",24.1,191.90498
"38",24.77,192.40129
"39",25.44,192.46261
"40",26.1,192.64035
"41",26.77,193.10888
"42",27.44,193.29081
"43",28.11,192.99135
"44",28.78,192.83865
"45",29.45,193.35172
"46",30.12,193.94793
"47",30.79,194.87774
"48",31.46,195.58326
"49",32.13,195.52645
"50",32.8,195.42036
"51",33.47,195.70968
"52",34.14,196.19508
"53",34.81,196.08389
"54",35.48,195.77819
"55",36.14,195.62036
"56",36.81,195.64916
"57",37.48,195.39206
"58",38.15,195.17493
"59",38.82,194.73187
"60",39.49,194.4352
"61",40.16,193.86645
"62",40.83,193.28134
"63",41.5,193.25899
"64",42.17,193.67694
"65",42.84,193.73359
"66",43.51,194.18263
"67",44.18,194.25129
"68",44.85,194.33101
"69",45.52,194.33624
"70",46.18,194.48946
"71",46.85,194.49821
"72",47.52,194.80296
"73",48.19,195.18907
"74",48.86,196.07642
"75",49.53,196.65331
"76",50.2,197.07793
"77",50.87,197.23718
"78",51.54,197.2788
"79",52.21,197.16197
"80",52.88,197.85797
"81",53.55,198.00343
"82",54.22,198.11088
"83",54.89,198.68576
"84",55.56,198.94582
"85",56.22,198.8958
"86",56.89,198.53548
"87",57.56,198.21843
"88",58.23,198.85444
"89",58.9,198.78152
"90",59.57,198.57743
"91",60.24,198.3888
"92",60.91,198.63512
"93",61.58,198.80468
"94",62.25,198.84444
"95",62.92,198.4116
"96",63.59,198.24556
"97",64.26,198.74551
"98",64.93,199.26052
"99",65.6,199.4996
"100",66.26,199.81187
"101",66.93,199.58996
"102",67.6,199.20375
"103",68.27,199.55596
"104",68.94,199.83637
"105",69.61,199.8141
"106",70.28,199.9742
"107",70.95,199.96546
"108",71.62,200.17001
"109",72.29,199.93141
"110",72.96,199.73698
"111",73.63,199.50948
"112",74.3,199.69469
"113",74.97,199.86181
"114",75.64,199.78154
"115",76.31,199.62775
"116",76.97,199.03323
"117",77.64,198.3721
"118",78.31,198.18871
"119",78.98,198.22316
"120",79.65,198.41486
"121",80.32,198.45699
"122",80.99,198.61013
"123",81.66,198.75832
"124",82.33,199.08072
"125",83,199.39168
"126",83.67,199.12473
"127",84.34,198.93535
"128",85.01,198.90692
"129",85.68,198.87685
"130",86.35,198.66582
"131",87.01,198.09984
"132",87.68,197.44779
"133",88.35,197.24649
"134",89.02,197.26792
"135",89.69,196.9497
"136",90.36,196.93267
"137",91.03,196.88754
"138",91.7,197.15224
"139",92.37,197.96002
"140",93.04,198.29549
"141",93.71,197.55908
"142",94.38,197.36267
"143",95.05,197.65677
"144",95.72,197.91445
"145",96.39,197.92249
"146",97.05,198.15231
"147",97.72,198.4203
"148",98.39,198.78451
"149",99.06,198.95462
"150",99.73,199.09353
"151",100.4,199.45122
"152",101.07,199.38237
"153",101.74,199.06214
"154",102.41,198.67211
"155",103.08,198.42954
"156",103.75,198.81389
"157",104.42,199.48415
"158",105.09,199.82364
"159",105.76,199.44823
"160",106.43,198.43044
"161",107.09,198.14075
"162",107.76,198.40333
"163",108.43,198.78596
"164",109.1,198.61226
"165",109.77,198.18527
"166",110.44,198.03908
"167",111.11,197.40576
"168",111.78,196.61923
"169",112.45,196.42339
"170",113.12,196.20389
"171",113.79,195.96666
"172",114.46,195.75301
"173",115.13,195.39054
"174",115.8,195.00772
"175",116.47,194.80512
"176",117.13,194.72535
"177",117.8,194.90098
"178",118.47,194.94918
"179",119.14,195.08702
"180",119.81,194.9298
"181",120.48,194.81273
"182",121.15,194.54533
"183",121.82,194.41806
"184",122.49,194.2128
"185",123.16,194.03687
"186",123.83,193.80004
"187",124.5,193.78193
"188",125.17,193.19889
"189",125.84,192.52227
"190",126.51,192.2755
"191",127.18,192.12619
"192",127.84,191.89562
"193",128.51,192.04669
"194",129.18,192.41324
"195",129.85,192.56002
"196",130.52,192.41414
"197",131.19,192.44878
"198",131.86,192.32325
"199",132.53,192.91428
"200",133.2,193.34015
"201",133.87,193.40288
"202",134.54,192.99211
"203",135.21,192.44623
"204",135.88,191.83203
"205",136.55,191.52026
"206",137.22,190.90517
"207",137.88,190.7319
"208",138.55,190.72602
"209",139.22,190.6295
"210",139.89,190.36251
"211",140.56,190.08233
"212",141.23,189.79688
"213",141.9,190.08305
"214",142.57,189.83761
"215",143.24,189.7972
"216",143.91,189.69335
"217",144.58,189.90526
"218",145.25,189.80571
"219",145.92,189.45434
"220",146.59,189.23529
"221",147.26,189.19317
"222",147.92,189.20138
"223",148.59,188.9034
"224",149.26,188.30209
"225",149.93,188.34143
"226",150.6,188.38237
"227",151.27,188.57973
"228",151.94,188.69612
"229",152.61,188.55087
"230",153.28,188.15317
"231",153.95,188.51477
"232",154.62,188.31807
"233",155.29,187.83088
"234",155.96,187.43793
"235",156.63,188.10999
"236",157.3,188.51352
"237",157.96,188.48541
"238",158.63,187.85854
"239",159.3,187.14123
"240",159.97,186.92459
"241",160.64,187.48817
"242",161.31,187.38068
"243",161.98,187.07025
"244",162.65,186.86582
"245",163.32,187.17705
"246",163.99,187.02489
"247",164.66,186.87952
"248",165.33,186.8572
"249",166,186.87957
"250",166.67,186.65609
"251",167.34,186.39334
"252",168.01,185.95413
"253",168.67,185.98848
"254",169.34,186.18616
"255",170.01,186.2581
"256",170.68,186.25058
"257",171.35,186.16403
"258",172.02,186.31469
"259",172.69,186.1
"260",173.36,185.62246
"261",174.03,185.51437
"262",174.7,185.41094
"263",175.37,185.61549
"264",176.04,185.7217
"265",176.71,185.81762
"266",177.38,185.82365
"267",178.05,186.07154
"268",178.71,186.1224
"269",179.38,185.66681
"270",180.05,185.13865
"271",180.72,184.77511
"272",181.39,184.2851
"273",182.06,184.2584
"274",182.73,184.45488
"275",183.4,185.26637
"276",184.07,185.83333
"277",184.74,185.88912
"278",185.41,186.06725
"279",186.08,185.88438
"280",186.75,185.83021
"281",187.42,185.8821
"282",188.09,185.72267
"283",188.75,185.73223
"284",189.42,185.98448
"285",190.09,186.20923
"286",190.76,186.34739
"287",191.43,186.00699
"288",192.1,185.21602
"289",192.77,184.68291
"290",193.44,184.45077
"291",194.11,183.8329
"292",194.78,182.98095
"293",195.45,182.13619
"294",196.12,181.72525
"295",196.79,180.89741
"296",197.46,180.35498
"297",198.13,179.52901
"298",198.79,178.68448
"299",199.46,177.71258
"300",200.13,177.02146
"301",200.8,176.3574
"302",201.47,176.15248
"303",202.14,176.16179
"304",202.81,175.68513
"305",203.48,174.61143
"306",204.15,173.2776
"307",204.82,172.09125
"308",205.49,171.64084
"309",206.16,171.55185
"310",206.83,171.69848
"311",207.5,171.75787
"312",208.17,172.00308
"313",208.83,171.73562
"314",209.5,171.42683
"315",210.17,171.06617
"316",210.84,171.36465
"317",211.51,172.02814
"318",212.18,172.20532
"319",212.85,172.24557
"320",213.52,171.95379
"321",214.19,171.5452
"322",214.86,171.31436
"323",215.53,170.27841
"324",216.2,169.43612
"325",216.87,168.74195
"326",217.54,168.74062
"327",218.21,168.4542
"328",218.88,168.30951
"329",219.54,167.88942
"330",220.21,167.50629
"331",220.88,166.71235
"332",221.55,165.99252
"333",222.22,165.58675
"334",222.89,165.71044
"335",223.56,165.87963
"336",224.23,166.5079
"337",224.9,167.11435
"338",225.57,167.58742
"339",226.24,167.574
"340",226.91,168.34653
"341",227.58,167.82169
"342",228.25,167.11129
"343",228.92,166.68348
"344",229.58,167.36427
"345",230.25,166.78514
"346",230.92,166.94494
"347",231.59,166.70064
"348",232.26,167.21463
"349",232.93,167.44204
"350",233.6,167.97269
"351",234.27,168.65154
"352",234.94,169.17098
"353",235.61,169.26983
"354",236.28,169.53801
"355",236.95,170.03806
"356",237.62,170.83038
"357",238.29,170.9062
"358",238.96,171.60375
"359",239.62,172.11819
"360",240.29,173.02741
"361",240.96,173.60775
"362",241.63,174.11191
"363",242.3,173.90696
"364",242.97,173.71869
"365",243.64,173.8897
"366",244.31,174.72294
"367",244.98,174.81232
"368",245.65,175.181
"369",246.32,175.0229
"370",246.99,174.83971
"371",247.66,174.83106
"372",248.33,175.27305
"373",249,174.85488
"374",249.66,174.12204
"375",250.33,173.55024
"376",251,174.17198
"377",251.67,174.17817
"378",252.34,173.53838
"379",253.01,172.74958
"380",253.68,172.45374
"381",254.35,171.92387
"382",255.02,172.02128
"383",255.69,172.46903
"384",256.36,173.33531
"385",257.03,173.70704
"386",257.7,174.43264
"387",258.37,175.72848
"388",259.04,176.41195
"389",259.7,176.07034
"390",260.37,176.1046
"391",261.04,176.42727
"392",261.71,177.05176
"393",262.38,177.31954
