"","Position_um","Intensity_mean"
"1",0,243.57181
"2",0.67,243.64554
"3",1.33,243.53688
"4",2,243.42706
"5",2.67,243.37418
"6",3.33,243.35718
"7",4,243.29531
"8",4.67,243.23462
"9",5.33,243.12992
"10",6,243.01145
"11",6.67,242.76778
"12",7.33,242.70433
"13",8,242.518
"14",8.67,242.47765
"15",9.33,242.38303
"16",10,242.38435
"17",10.67,242.24833
"18",11.33,242.08984
"19",12,241.91001
"20",12.67,241.88535
"21",13.33,241.78088
"22",14,241.70168
"23",14.67,241.59283
"24",15.33,241.5067
"25",16,241.49486
"26",16.67,241.33309
"27",17.33,241.33214
"28",18,241.24534
"29",18.67,241.26489
"30",19.33,241.2248
"31",20,241.24174
"32",20.67,241.12596
"33",21.33,241.01218
"34",22,241.01079
"35",22.67,240.90038
"36",23.33,240.82567
"37",24,240.70233
"38",24.67,240.64983
"39",25.33,240.65461
"40",26,240.58218
"41",26.67,240.39612
"42",27.33,240.21581
"43",28,239.9915
"44",28.67,239.83361
"45",29.33,239.68503
"46",30,239.34747
"47",30.67,238.92198
"48",31.33,238.36688
"49",32,237.98142
"50",32.67,237.48052
"51",33.33,237.04675
"52",34,236.51417
"53",34.67,235.91186
"54",35.33,235.36738
"55",36,235.0928
"56",36.67,234.22572
"57",37.33,233.82354
"58",38,232.48882
"59",38.67,232.3457
"60",39.33,231.26063
"61",40,231.01737
"62",40.67,230.06996
"63",41.33,229.48707
"64",42,229.01555
"65",42.67,228.71582
"66",43.33,227.99044
"67",44,227.97614
"68",44.67,227.24431
"69",45.33,227.11199
"70",46,226.75801
"71",46.67,226.91865
"72",47.33,226.30573
"73",48,226.55002
"74",48.67,226.37391
"75",49.33,226.47148
"76",50,226.09387
"77",50.67,226.3076
"78",51.33,225.74714
"79",52,226.19111
"80",52.67,225.89017
"81",53.33,226.23556
"82",54,226.15233
"83",54.67,226.2969
"84",55.33,225.83863
"85",56,225.82343
"86",56.67,226.25489
"87",57.33,226.1249
"88",58,225.64191
"89",58.67,225.73405
"90",59.33,225.88777
"91",60,225.61584
"92",60.67,225.96433
"93",61.33,225.97141
"94",62,225.93875
"95",62.67,226.16526
"96",63.33,225.85175
"97",64,225.77994
"98",64.67,225.60391
"99",65.33,225.49658
"100",66,224.94312
"101",66.67,224.61947
"102",67.33,224.55543
"103",68,224.2489
