archivo;tramo;inicio_um;fin_um;pendiente
Dmic_edge_75241_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;973.1715762;-0.0021222
Dmic_edge_75241_aug2022_03_1_TodosPerfiles_mean;Tramo_2;973.1715762;2669.998183;-0.0046626
Dmic_edge_75241_aug2022_03_1_TodosPerfiles_mean;Tramo_3;2669.998183;2996.67;-0.021232
Dmic_edge_75244_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;1843.332572;-0.0041236
Dmic_edge_75244_aug2022_03_1_TodosPerfiles_mean;Tramo_2;1843.332572;2383.545707;0.016658
Dmic_edge_75244_aug2022_03_1_TodosPerfiles_mean;Tramo_3;2383.545707;2996.67;-0.022756
Dmic_edge_75251_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;213.1379907;-0.086259
Dmic_edge_75251_aug2022_03_1_TodosPerfiles_mean;Tramo_2;213.1379907;569.9988628;0.0091753
Dmic_edge_75251_aug2022_03_1_TodosPerfiles_mean;Tramo_3;569.9988628;2996.67;-0.0037928
Dmic_edge_75252_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;243.3072752;0.012339
Dmic_edge_75252_aug2022_03_1_TodosPerfiles_mean;Tramo_2;243.3072752;910.0013401;-0.026623
Dmic_edge_75252_aug2022_03_1_TodosPerfiles_mean;Tramo_3;910.0013401;2996.67;-0.0024932
Dmic_edge_75254_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;149.8335;-0.097857
Dmic_edge_75254_aug2022_03_1_TodosPerfiles_mean;Tramo_2;149.8335;2829.999553;-0.00093751
Dmic_edge_75254_aug2022_03_1_TodosPerfiles_mean;Tramo_3;2829.999553;2996.67;0.086058
Dmic_edge_75258_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;426.6691504;-0.01305
Dmic_edge_75258_aug2022_03_1_TodosPerfiles_mean;Tramo_2;426.6691504;632.2720737;-0.021612
Dmic_edge_75258_aug2022_03_1_TodosPerfiles_mean;Tramo_3;632.2720737;2996.67;-0.00035258
Dmic_edge_75268_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;2006.588049;-0.011367
Dmic_edge_75268_aug2022_03_1_TodosPerfiles_mean;Tramo_2;2006.588049;2536.67003;0.038851
Dmic_edge_75268_aug2022_03_1_TodosPerfiles_mean;Tramo_3;2536.67003;2996.67;0.018714
Dmic_edge_75269_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;1356.848756;-0.013263
Dmic_edge_75269_aug2022_03_1_TodosPerfiles_mean;Tramo_2;1356.848756;1526.669621;-0.069334
Dmic_edge_75269_aug2022_03_1_TodosPerfiles_mean;Tramo_3;1526.669621;2770;0.0086663
Dmic_edge_75270_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;351.3446038;-0.10646
Dmic_edge_75270_aug2022_03_1_TodosPerfiles_mean;Tramo_2;351.3446038;610.339825;0.056615
Dmic_edge_75270_aug2022_03_1_TodosPerfiles_mean;Tramo_3;610.339825;2996.67;-0.0058776
Dmic_edge_81376_aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;1466.670081;-0.018773
Dmic_edge_81376_aug2022_03_1_TodosPerfiles_mean;Tramo_2;1466.670081;1509.504766;-0.087725
Dmic_edge_81376_aug2022_03_1_TodosPerfiles_mean;Tramo_3;1509.504766;2996.67;0.0033204
Dmic_int_25624_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;617.9108042;0.016228
Dmic_int_25624_Aug22_03_1_TodosPerfiles_mean;Tramo_2;617.9108042;674.4103095;-0.15002
Dmic_int_25624_Aug22_03_1_TodosPerfiles_mean;Tramo_3;674.4103095;2996.67;-0.00056279
Dmic_int_25633_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;189.9998408;0.0016531
