archivo;tramo;inicio_um;fin_um;pendiente
Oacu_edge_75245-2_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;476.4596258;0.0043139
Oacu_edge_75245-2_Aug22_03_1_TodosPerfiles_mean;Tramo_2;476.4596258;568.94596;-0.12222
Oacu_edge_75245-2_Aug22_03_1_TodosPerfiles_mean;Tramo_3;568.94596;2996.67;-0.0014825
Oacu_edge_75245_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;1080.0004;-0.020662
Oacu_edge_75245_Aug22_03_1_TodosPerfiles_mean;Tramo_2;1080.0004;2155.478238;0.011492
Oacu_edge_75245_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2155.478238;2996.67;-0.0037085
Oacu_edge_75246_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;186.6695883;-0.098836
Oacu_edge_75246_Aug22_03_1_TodosPerfiles_mean;Tramo_2;186.6695883;879.7324198;0.015767
Oacu_edge_75246_Aug22_03_1_TodosPerfiles_mean;Tramo_3;879.7324198;2996.67;-0.0012242
Oacu_edge_75257-1_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;2414.833759;-0.001617
Oacu_edge_75257-1_Aug22_03_1_TodosPerfiles_mean;Tramo_2;2414.833759;2786.568603;0.032663
Oacu_edge_75257-1_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2786.568603;2996.67;-0.058932
Oacu_edge_75261_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;1500.023874;-0.00070693
Oacu_edge_75261_Aug22_03_1_TodosPerfiles_mean;Tramo_2;1500.023874;1973.329908;0.014479
Oacu_edge_75261_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1973.329908;2996.67;-0.0036652
Oacu_edge_75262_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;211.0946489;-0.010567
Oacu_edge_75262_Aug22_03_1_TodosPerfiles_mean;Tramo_2;211.0946489;596.6512349;0.028288
Oacu_edge_75262_Aug22_03_1_TodosPerfiles_mean;Tramo_3;596.6512349;2996.67;-0.0033864
Oacu_edge_75263_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;1067.867926;0.01584
Oacu_edge_75263_Aug22_03_1_TodosPerfiles_mean;Tramo_2;1067.867926;2846.8365;-0.0078194
Oacu_edge_75263_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2846.8365;2996.67;0.067629
Oacu_edge_75264_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;586.6697888;0.0051734
Oacu_edge_75264_Aug22_03_1_TodosPerfiles_mean;Tramo_2;586.6697888;773.2772566;-0.035827
Oacu_edge_75264_Aug22_03_1_TodosPerfiles_mean;Tramo_3;773.2772566;2996.67;0.0058817
Oacu_edge_75265_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;488.7912151;-0.052114
Oacu_edge_75265_Aug22_03_1_TodosPerfiles_mean;Tramo_2;488.7912151;903.3309613;0.009126
Oacu_edge_75265_Aug22_03_1_TodosPerfiles_mean;Tramo_3;903.3309613;2996.67;-7.46E-05
Oacu_edge_75266_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;236.670248;-0.0027647
Oacu_edge_75266_Aug22_03_1_TodosPerfiles_mean;Tramo_2;236.670248;593.893439;0.02114
Oacu_edge_75266_Aug22_03_1_TodosPerfiles_mean;Tramo_3;593.893439;2996.67;-9.33E-05
Oacu_edge_75267_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;270.325904;0.063982
Oacu_edge_75267_Aug22_03_1_TodosPerfiles_mean;Tramo_2;270.325904;2526.669147;-0.0027354
Oacu_edge_75267_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2526.669147;2996.67;-0.011623
Oacu_interior_25501_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;2446.670154;-0.010035
Oacu_interior_25501_Aug22_03_1_TodosPerfiles_mean;Tramo_2;2446.670154;2584.836388;0.075312
Oacu_interior_25501_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2584.836388;2996.67;-0.020176
Oacu_interior_25642_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;2576.376523;0.002573
Oacu_interior_25642_Aug22_03_1_TodosPerfiles_mean;Tramo_2;2576.376523;2636.669961;-0.25175
Oacu_interior_25642_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2636.669961;2996.67;0.031103
Oacu_interior_31507_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;525.1773878;-0.001067
Oacu_interior_31507_Aug22_03_1_TodosPerfiles_mean;Tramo_2;525.1773878;561.8664254;-0.19161
Oacu_interior_31507_Aug22_03_1_TodosPerfiles_mean;Tramo_3;561.8664254;2996.67;0.0031223
Oacu_interior_34067_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;740.0000791;0.0090934
Oacu_interior_34067_Aug22_03_1_TodosPerfiles_mean;Tramo_2;740.0000791;927.6340188;-0.043529
Oacu_interior_34067_Aug22_03_1_TodosPerfiles_mean;Tramo_3;927.6340188;2996.67;-0.00039706
Oacu_interior_34108_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;963.028915;-0.013428
Oacu_interior_34108_Aug22_03_1_TodosPerfiles_mean;Tramo_2;963.028915;2846.8365;0.0049288
Oacu_interior_34108_Aug22_03_1_TodosPerfiles_mean;Tramo_3;2846.8365;2996.67;-0.067608
Oacu_interior_75271_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;288.3976016;-0.06731
Oacu_interior_75271_Aug22_03_1_TodosPerfiles_mean;Tramo_2;288.3976016;1086.670224;0.0058883
Oacu_interior_75271_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1086.670224;2996.67;-0.0064536
Oacu_interior_75272_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;393.4534916;0.0077431
Oacu_interior_75272_Aug22_03_1_TodosPerfiles_mean;Tramo_2;393.4534916;1109.999566;-0.01195
Oacu_interior_75272_Aug22_03_1_TodosPerfiles_mean;Tramo_3;1109.999566;2996.67;0.00013795
Oacu_interior_75273_Aug22_03_1_TodosPerfiles_mean;Tramo_1;0;2052.251813;-0.00080046
Oacu_interior_75273_Aug22_03_1_TodosPerfiles_mean;Tramo_2;2052.251813;2075.555924;-0.51211
