archivo;tramo;inicio_um;fin_um;pendiente
Sgui_edge_75242_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;2472.295755;0.00078972
Sgui_edge_75242_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;2472.295755;2669.28671;-0.026142
Sgui_edge_75242_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;2669.28671;2996.67;0.03048
Sgui_edge_75243_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;1793.47695;-0.0008137
Sgui_edge_75243_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;1793.47695;2296.402805;0.014037
Sgui_edge_75243_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;2296.402805;2996.67;0.0016938
Sgui_edge_75247_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;1133.330054;0.00303
Sgui_edge_75247_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;1133.330054;2834.817591;-0.0021753
Sgui_edge_75247_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;2834.817591;2996.67;0.074971
Sgui_edge_75248_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;690.4437201;-0.025799
Sgui_edge_75248_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;690.4437201;1990.000539;0.0046739
Sgui_edge_75248_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;1990.000539;2996.67;-0.0069684
Sgui_edge_75249_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;422.0282985;-0.026708
Sgui_edge_75249_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;422.0282985;437.8467218;0.71948
Sgui_edge_75249_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;437.8467218;2996.67;-0.0029577
Sgui_edge_75253_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;149.8378156;0.12954
Sgui_edge_75253_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;149.8378156;214.5875562;-0.16565
Sgui_edge_75253_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;214.5875562;2996.67;-0.00077752
Sgui_edge_75255_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;562.9758744;-0.044717
Sgui_edge_75255_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;562.9758744;810.9408106;0.043832
Sgui_edge_75255_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;810.9408106;2996.67;-0.0016298
Sgui_edge_75256_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;328.8071734;0.043027
Sgui_edge_75256_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;328.8071734;772.790104;-0.021596
Sgui_edge_75256_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;772.790104;2996.67;-0.0029691
Sgui_edge_75259_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;536.3881223;0.031456
Sgui_edge_75259_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;536.3881223;916.6700176;-0.016354
Sgui_edge_75259_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;916.6700176;2996.67;0.00038434
Sgui_edge_75260_Aug2022_03_1_TodosPerfiles_mean;Tramo_1;0;2239.999943;0.0010906
Sgui_edge_75260_Aug2022_03_1_TodosPerfiles_mean;Tramo_2;2239.999943;2474.864051;-0.012473
Sgui_edge_75260_Aug2022_03_1_TodosPerfiles_mean;Tramo_3;2474.864051;2996.67;0.0072994
