archivo;tramo;inicio_um;fin_um;pendiente
Dac_edge_75241_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;309.7081202;0.011018
Dac_edge_75241_mar22_03_1_TodosPerfiles_mean;Tramo_2;309.7081202;617.5130805;-0.1159
Dac_edge_75241_mar22_03_1_TodosPerfiles_mean;Tramo_3;617.5130805;2996.67;-0.0023141
Dac_edge_75244_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;472.1576399;-0.21558
Dac_edge_75244_mar22_03_1_TodosPerfiles_mean;Tramo_2;472.1576399;2266.670644;-0.00053802
Dac_edge_75244_mar22_03_1_TodosPerfiles_mean;Tramo_3;2266.670644;2996.67;-0.038151
Dac_edge_75250_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;293.7900654;0.028447
Dac_edge_75250_mar22_03_1_TodosPerfiles_mean;Tramo_2;293.7900654;372.7456916;-0.10286
Dac_edge_75250_mar22_03_1_TodosPerfiles_mean;Tramo_3;372.7456916;2996.67;-0.0015817
Dac_edge_75251_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;829.0328604;-0.00011751
Dac_edge_75251_mar22_03_1_TodosPerfiles_mean;Tramo_2;829.0328604;1826.672055;-0.016575
Dac_edge_75251_mar22_03_1_TodosPerfiles_mean;Tramo_3;1826.672055;2996.67;0.0053933
Dac_edge_75252_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;411.7915054;-0.17627
Dac_edge_75252_mar22_03_1_TodosPerfiles_mean;Tramo_2;411.7915054;733.3299025;0.01749
Dac_edge_75252_mar22_03_1_TodosPerfiles_mean;Tramo_3;733.3299025;2996.67;-0.0017008
Dac_edge_75254_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;549.2484364;-0.096419
Dac_edge_75254_mar22_03_1_TodosPerfiles_mean;Tramo_2;549.2484364;2237.799036;0.010266
Dac_edge_75254_mar22_03_1_TodosPerfiles_mean;Tramo_3;2237.799036;2996.67;-0.011889
Dac_edge_75258_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;952.1293062;0.0073929
Dac_edge_75258_mar22_03_1_TodosPerfiles_mean;Tramo_2;952.1293062;2756.672752;-0.0096533
Dac_edge_75258_mar22_03_1_TodosPerfiles_mean;Tramo_3;2756.672752;2996.67;0.014782
Dac_edge_75268_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1700.052595;-0.010871
Dac_edge_75268_mar22_03_1_TodosPerfiles_mean;Tramo_2;1700.052595;2008.016809;-0.038052
Dac_edge_75268_mar22_03_1_TodosPerfiles_mean;Tramo_3;2008.016809;2996.67;0.005813
Dac_edge_75269_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;567.4883021;-0.13571
Dac_edge_75269_mar22_03_1_TodosPerfiles_mean;Tramo_2;567.4883021;625.8362177;0.25701
Dac_edge_75269_mar22_03_1_TodosPerfiles_mean;Tramo_3;625.8362177;2996.67;-0.0081636
Dac_edge_75270_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;510.4654244;0.02144
Dac_edge_75270_mar22_03_1_TodosPerfiles_mean;Tramo_2;510.4654244;550.1623247;-0.16853
Dac_edge_75270_mar22_03_1_TodosPerfiles_mean;Tramo_3;550.1623247;2996.67;-0.0029687
Dac_int_25633_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;506.6699916;0.014483
Dac_int_25633_mar22_03_1_TodosPerfiles_mean;Tramo_2;506.6699916;531.9118406;-0.6431
Dac_int_25633_mar22_03_1_TodosPerfiles_mean;Tramo_3;531.9118406;2996.67;0.018416
Dac_int_26220_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;581.4234696;-0.15352
Dac_int_26220_mar22_03_1_TodosPerfiles_mean;Tramo_2;581.4234696;1748.144436;0.015428
Dac_int_26220_mar22_03_1_TodosPerfiles_mean;Tramo_3;1748.144436;2996.67;-0.017511
Dac_int_27200_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;249.1382467;0.0047399
Dac_int_27200_mar22_03_1_TodosPerfiles_mean;Tramo_2;249.1382467;938.3597884;-0.098159
Dac_int_27200_mar22_03_1_TodosPerfiles_mean;Tramo_3;938.3597884;2996.67;-0.0025903
Dac_int_27803_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;313.3299941;-0.071476
Dac_int_27803_mar22_03_1_TodosPerfiles_mean;Tramo_2;313.3299941;1870.034948;-0.023438
Dac_int_27803_mar22_03_1_TodosPerfiles_mean;Tramo_3;1870.034948;2996.67;0.0012316
Dac_int_27924_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;411.0590205;-0.019499
Dac_int_27924_mar22_03_1_TodosPerfiles_mean;Tramo_2;411.0590205;923.3293828;-0.051426
Dac_int_27924_mar22_03_1_TodosPerfiles_mean;Tramo_3;923.3293828;2996.67;0.00079143
Dac_int_27944_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;358.4328289;0.058544
Dac_int_27944_mar22_03_1_TodosPerfiles_mean;Tramo_2;358.4328289;856.6694678;-0.09501
Dac_int_27944_mar22_03_1_TodosPerfiles_mean;Tramo_3;856.6694678;2996.67;0.0036001
Dac_int_29896_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;264.2362072;-0.027694
Dac_int_29896_mar22_03_1_TodosPerfiles_mean;Tramo_2;264.2362072;694.0464171;-0.12172
Dac_int_29896_mar22_03_1_TodosPerfiles_mean;Tramo_3;694.0464171;2996.67;-0.0053893
Dac_int_29900_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;406.0015842;-0.06917
Dac_int_29900_mar22_03_1_TodosPerfiles_mean;Tramo_2;406.0015842;1053.32981;-0.013625
Dac_int_29900_mar22_03_1_TodosPerfiles_mean;Tramo_3;1053.32981;2996.67;0.00447
Dac_int_31492_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;718.1838818;-0.018146
Dac_int_31492_mar22_03_1_TodosPerfiles_mean;Tramo_2;718.1838818;928.2290968;-0.26311
Dac_int_31492_mar22_03_1_TodosPerfiles_mean;Tramo_3;928.2290968;2293.33;-0.0019861
Dac_int_32001_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;578.0065558;-0.10562
Dac_int_32001_mar22_03_1_TodosPerfiles_mean;Tramo_2;578.0065558;1549.999981;0.0074681
Dac_int_32001_mar22_03_1_TodosPerfiles_mean;Tramo_3;1549.999981;2996.67;-0.011619
Dac_int_37967_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;367.6681628;-0.16733
Dac_int_37967_mar22_03_1_TodosPerfiles_mean;Tramo_2;367.6681628;494.3382854;0.1214
Dac_int_37967_mar22_03_1_TodosPerfiles_mean;Tramo_3;494.3382854;2996.67;0.0044909
