archivo;tramo;inicio_um;fin_um;pendiente
Oacu_edge_75245_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;210.0092266;-0.0086992
Oacu_edge_75245_mar22_03_1_TodosPerfiles_mean;Tramo_2;210.0092266;410.000298;0.058325
Oacu_edge_75245_mar22_03_1_TodosPerfiles_mean;Tramo_3;410.000298;1996.67;-0.0051327
Oacu_edge_75246_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;402.0674423;-0.036498
Oacu_edge_75246_mar22_03_1_TodosPerfiles_mean;Tramo_2;402.0674423;1423.329771;-0.013638
Oacu_edge_75246_mar22_03_1_TodosPerfiles_mean;Tramo_3;1423.329771;2996.67;0.0067353
Oacu_edge_75257_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;723.3304467;-0.029769
Oacu_edge_75257_mar22_03_1_TodosPerfiles_mean;Tramo_2;723.3304467;2259.997883;-0.0059372
Oacu_edge_75257_mar22_03_1_TodosPerfiles_mean;Tramo_3;2259.997883;2996.67;0.0043878
Oacu_edge_75261_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;930.0020283;-0.02137
Oacu_edge_75261_mar22_03_1_TodosPerfiles_mean;Tramo_2;930.0020283;2618.764562;-0.00019974
Oacu_edge_75261_mar22_03_1_TodosPerfiles_mean;Tramo_3;2618.764562;2996.67;0.022431
Oacu_edge_75262_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;2484.62536;-0.0083292
Oacu_edge_75262_mar22_03_1_TodosPerfiles_mean;Tramo_2;2484.62536;2688.574984;0.074919
Oacu_edge_75262_mar22_03_1_TodosPerfiles_mean;Tramo_3;2688.574984;2996.67;-0.044675
Oacu_edge_75263-2_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;596.6689948;0.0043529
Oacu_edge_75263-2_mar22_03_1_TodosPerfiles_mean;Tramo_2;596.6689948;909.9935648;-0.042786
Oacu_edge_75263-2_mar22_03_1_TodosPerfiles_mean;Tramo_3;909.9935648;2996.67;0.0011924
Oacu_edge_75263_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1774.569612;-0.029086
Oacu_edge_75263_mar22_03_1_TodosPerfiles_mean;Tramo_2;1774.569612;1901.444343;0.17663
Oacu_edge_75263_mar22_03_1_TodosPerfiles_mean;Tramo_3;1901.444343;2996.67;0.0013581
Oacu_edge_75264_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;2464.529982;0.00036297
Oacu_edge_75264_mar22_03_1_TodosPerfiles_mean;Tramo_2;2464.529982;2494.424677;0.16985
Oacu_edge_75264_mar22_03_1_TodosPerfiles_mean;Tramo_3;2494.424677;2996.67;-0.035901
Oacu_edge_75265_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;680.0019277;-0.059268
Oacu_edge_75265_mar22_03_1_TodosPerfiles_mean;Tramo_2;680.0019277;1699.975062;0.0049049
Oacu_edge_75265_mar22_03_1_TodosPerfiles_mean;Tramo_3;1699.975062;2996.67;-0.018162
Oacu_edge_75266_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;890.7150525;-0.01532
Oacu_edge_75266_mar22_03_1_TodosPerfiles_mean;Tramo_2;890.7150525;966.3855303;0.16693
Oacu_edge_75266_mar22_03_1_TodosPerfiles_mean;Tramo_3;966.3855303;1326.67;-0.041475
Oacu_edge_75267_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;586.3657749;-0.053081
Oacu_edge_75267_mar22_03_1_TodosPerfiles_mean;Tramo_2;586.3657749;840.0002803;0.044376
Oacu_edge_75267_mar22_03_1_TodosPerfiles_mean;Tramo_3;840.0002803;2996.67;-0.0042593
Oacu_interior_25501_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1449.836672;-0.0041561
Oacu_interior_25501_mar22_03_1_TodosPerfiles_mean;Tramo_2;1449.836672;1482.778323;-0.36616
Oacu_interior_25501_mar22_03_1_TodosPerfiles_mean;Tramo_3;1482.778323;2996.67;0.0036766
Oacu_interior_25642_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;149.8335;0.24261
Oacu_interior_25642_mar22_03_1_TodosPerfiles_mean;Tramo_2;149.8335;212.8109044;-0.23262
Oacu_interior_25642_mar22_03_1_TodosPerfiles_mean;Tramo_3;212.8109044;2996.67;0.0020691
Oacu_interior_31507_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;154.7333099;0.060838
Oacu_interior_31507_mar22_03_1_TodosPerfiles_mean;Tramo_2;154.7333099;1440.001297;-0.00747
Oacu_interior_31507_mar22_03_1_TodosPerfiles_mean;Tramo_3;1440.001297;2996.67;0.0076293
Oacu_interior_34067_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;285.8648196;-0.07626
Oacu_interior_34067_mar22_03_1_TodosPerfiles_mean;Tramo_2;285.8648196;1532.865432;-0.0094766
Oacu_interior_34067_mar22_03_1_TodosPerfiles_mean;Tramo_3;1532.865432;2996.67;0.0018728
Oacu_interior_34108_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1215.011355;-0.033034
Oacu_interior_34108_mar22_03_1_TodosPerfiles_mean;Tramo_2;1215.011355;1376.669981;0.064195
Oacu_interior_34108_mar22_03_1_TodosPerfiles_mean;Tramo_3;1376.669981;2996.67;-0.00023989
Oacu_interior_75271_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;501.1791981;-0.040154
Oacu_interior_75271_mar22_03_1_TodosPerfiles_mean;Tramo_2;501.1791981;856.6706665;0.0059123
Oacu_interior_75271_mar22_03_1_TodosPerfiles_mean;Tramo_3;856.6706665;2996.67;-0.0075908
Oacu_interior_75272_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;149.8335;-0.20057
Oacu_interior_75272_mar22_03_1_TodosPerfiles_mean;Tramo_2;149.8335;281.848621;0.082332
Oacu_interior_75272_mar22_03_1_TodosPerfiles_mean;Tramo_3;281.848621;2996.67;-0.0045553
Oacu_interior_75273_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;811.4863345;-0.027105
Oacu_interior_75273_mar22_03_1_TodosPerfiles_mean;Tramo_2;811.4863345;2846.836486;0.002436
Oacu_interior_75273_mar22_03_1_TodosPerfiles_mean;Tramo_3;2846.836486;2996.67;-0.11587
Oacu_interior_75274_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;454.9676006;0.011715
Oacu_interior_75274_mar22_03_1_TodosPerfiles_mean;Tramo_2;454.9676006;504.199732;-0.21637
Oacu_interior_75274_mar22_03_1_TodosPerfiles_mean;Tramo_3;504.199732;2996.67;0.00015688
Oacu_interior_75275_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;186.9780326;-0.071471
Oacu_interior_75275_mar22_03_1_TodosPerfiles_mean;Tramo_2;186.9780326;1306.671537;-0.005673
Oacu_interior_75275_mar22_03_1_TodosPerfiles_mean;Tramo_3;1306.671537;2996.67;-0.0015379
