archivo;tramo;inicio_um;fin_um;pendiente
Sac_edge_75242_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;215.5847527;-0.2465
Sac_edge_75242_mar22_03_1_TodosPerfiles_mean;Tramo_2;215.5847527;1410.002759;-0.0085585
Sac_edge_75242_mar22_03_1_TodosPerfiles_mean;Tramo_3;1410.002759;2996.67;0.0085224
Sac_edge_75243_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;146.002;0.17501
Sac_edge_75243_mar22_03_1_TodosPerfiles_mean;Tramo_2;146.002;326.6792069;-0.033233
Sac_edge_75243_mar22_03_1_TodosPerfiles_mean;Tramo_3;326.6792069;2920;0.0013203
Sac_edge_75247_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;2388.86119;-0.0026889
Sac_edge_75247_mar22_03_1_TodosPerfiles_mean;Tramo_2;2388.86119;2846.786703;-0.017645
Sac_edge_75247_mar22_03_1_TodosPerfiles_mean;Tramo_3;2846.786703;2996.67;0.11153
Sac_edge_75248_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;696.4061467;-0.076706
Sac_edge_75248_mar22_03_1_TodosPerfiles_mean;Tramo_2;696.4061467;2313.327106;0.0053731
Sac_edge_75248_mar22_03_1_TodosPerfiles_mean;Tramo_3;2313.327106;2996.67;-0.01021
Sac_edge_75249_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;2339.865603;0.0010515
Sac_edge_75249_mar22_03_1_TodosPerfiles_mean;Tramo_2;2339.865603;2846.83228;-0.037615
Sac_edge_75249_mar22_03_1_TodosPerfiles_mean;Tramo_3;2846.83228;2996.67;-0.012195
Sac_edge_75253_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1036.670073;-0.0054893
Sac_edge_75253_mar22_03_1_TodosPerfiles_mean;Tramo_2;1036.670073;1203.326494;-0.055158
Sac_edge_75253_mar22_03_1_TodosPerfiles_mean;Tramo_3;1203.326494;2996.67;0.0045315
Sac_edge_75255_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;746.6686586;-0.037005
Sac_edge_75255_mar22_03_1_TodosPerfiles_mean;Tramo_2;746.6686586;1571.015206;-0.018356
Sac_edge_75255_mar22_03_1_TodosPerfiles_mean;Tramo_3;1571.015206;2046.67;0.030472
Sac_edge_75256_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;553.6837593;-0.081532
Sac_edge_75256_mar22_03_1_TodosPerfiles_mean;Tramo_2;553.6837593;2789.99985;-0.0087438
Sac_edge_75256_mar22_03_1_TodosPerfiles_mean;Tramo_3;2789.99985;2996.67;0.094117
Sac_edge_75259_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;430.0187653;-0.016453
Sac_edge_75259_mar22_03_1_TodosPerfiles_mean;Tramo_2;430.0187653;1256.669869;-0.0027597
Sac_edge_75259_mar22_03_1_TodosPerfiles_mean;Tramo_3;1256.669869;2296.67;-0.017277
Sac_edge_75260_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;2016.670037;-0.0068925
Sac_edge_75260_mar22_03_1_TodosPerfiles_mean;Tramo_2;2016.670037;2082.953603;-0.24009
Sac_edge_75260_mar22_03_1_TodosPerfiles_mean;Tramo_3;2082.953603;2996.67;0.029081
Sac_int_25030_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;2350.604512;0.00050693
Sac_int_25030_mar22_03_1_TodosPerfiles_mean;Tramo_2;2350.604512;2845.079215;0.022118
Sac_int_25030_mar22_03_1_TodosPerfiles_mean;Tramo_3;2845.079215;2996.67;-0.22812
Sac_int_25211_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;516.6697368;-0.10887
Sac_int_25211_mar22_03_1_TodosPerfiles_mean;Tramo_2;516.6697368;1393.816223;-0.0287
Sac_int_25211_mar22_03_1_TodosPerfiles_mean;Tramo_3;1393.816223;2996.67;0.009563
Sac_int_25376_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1509.303639;-0.0048109
Sac_int_25376_mar22_03_1_TodosPerfiles_mean;Tramo_2;1509.303639;1784.166297;0.060439
Sac_int_25376_mar22_03_1_TodosPerfiles_mean;Tramo_3;1784.166297;2996.67;-0.011745
Sac_int_27638_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;195.634832;0.065338
Sac_int_27638_mar22_03_1_TodosPerfiles_mean;Tramo_2;195.634832;1223.330011;-0.047991
Sac_int_27638_mar22_03_1_TodosPerfiles_mean;Tramo_3;1223.330011;1323.33;0.085567
Sac_int_27639_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;445.0895422;-0.15711
Sac_int_27639_mar22_03_1_TodosPerfiles_mean;Tramo_2;445.0895422;686.5174678;0.19849
Sac_int_27639_mar22_03_1_TodosPerfiles_mean;Tramo_3;686.5174678;2996.67;-0.023321
Sac_int_27640_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;601.6691937;-0.12077
Sac_int_27640_mar22_03_1_TodosPerfiles_mean;Tramo_2;601.6691937;790.0015658;0.11041
Sac_int_27640_mar22_03_1_TodosPerfiles_mean;Tramo_3;790.0015658;2996.67;-0.0053697
Sac_int_31494_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1549.213781;-0.047675
Sac_int_31494_mar22_03_1_TodosPerfiles_mean;Tramo_2;1549.213781;2783.328893;-0.0086921
Sac_int_31494_mar22_03_1_TodosPerfiles_mean;Tramo_3;2783.328893;2996.67;-0.077887
Sac_int_31769_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;1370.186322;0.012015
Sac_int_31769_mar22_03_1_TodosPerfiles_mean;Tramo_2;1370.186322;2833.329892;-0.038809
Sac_int_31769_mar22_03_1_TodosPerfiles_mean;Tramo_3;2833.329892;2996.67;0.37766
Sac_int_34446_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;843.1078917;-0.023083
Sac_int_34446_mar22_03_1_TodosPerfiles_mean;Tramo_2;843.1078917;1255.12419;-0.11007
Sac_int_34446_mar22_03_1_TodosPerfiles_mean;Tramo_3;1255.12419;2996.67;-0.015674
Sac_int_40244_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;209.1223291;0.068106
Sac_int_40244_mar22_03_1_TodosPerfiles_mean;Tramo_2;209.1223291;875.961345;-0.10029
Sac_int_40244_mar22_03_1_TodosPerfiles_mean;Tramo_3;875.961345;2996.67;0.001792
Sac_int_42589_mar22_03_1_TodosPerfiles_mean;Tramo_1;0;384.5991663;0.005531
Sac_int_42589_mar22_03_1_TodosPerfiles_mean;Tramo_2;384.5991663;1099.999378;-0.066076
Sac_int_42589_mar22_03_1_TodosPerfiles_mean;Tramo_3;1099.999378;2896.67;-0.0025727
