 ,Area,Mean,Min,Max,Angle,Length
1,0.020290799,203.339054862,179.322586060,222.559127808,-0.924045353,1.937752000
2,0.028103299,214.942084706,168.000000000,250.333328247,0.000000000,2.687500000
3,0.028428819,212.485259602,136.137924194,248.084289551,1.316912406,2.719468296
4,0.037543403,216.480732074,174.333328247,252.000000000,0.000000000,3.593750000
5,0.043402778,236.065169106,182.175430298,253.466171265,-1.292166886,4.157307196
6,0.042100694,232.956844644,186.255813599,253.713180542,-0.888235495,4.031734467
7,0.040473090,211.585344453,182.591400146,237.451614380,-0.462052721,3.875126006
8,0.044053819,208.828899515,170.474075317,237.948150635,-0.424405419,4.218865739
9,0.053493924,222.004976129,187.847564697,252.000000000,1.047976646,5.125857398
10,0.057074653,236.984610003,172.714279175,253.382858276,0.982117163,5.469553512
11,0.052842882,226.576026102,96.969131470,253.000000000,1.060911690,5.063367981
12,0.054796007,223.514851123,178.333328247,254.000000000,0.000000000,5.250000000
13,0.050998264,219.195897431,146.408248901,254.000000000,4.033411073,4.887104364
14,0.047960069,246.956331521,204.492065430,255.000000000,2.726310994,4.598955384
15,0.057074653,214.121672975,186.666671753,249.000000000,0.000000000,5.468750000
16,0.062608507,219.368530802,182.538192749,253.000000000,2.087983833,6.003986306
17,0.071723090,225.632897866,184.815155029,253.336364746,0.520856375,6.875284085
18,0.063259549,218.092871821,87.828178406,253.000000000,-1.771469740,6.065398792
19,0.035264757,236.598936580,197.827163696,253.814819336,-2.121096397,3.377314022
20,0.060329861,221.872075307,191.747741699,253.675674438,-1.548157699,5.783361101
21,0.051974826,218.888582106,188.769714355,253.000000000,-4.316027520,4.982880850
22,0.049587674,230.902050260,181.125000000,253.000000000,2.636758426,4.755034339
23,0.076280382,236.700777643,191.666671753,254.393157959,1.713465317,7.315771170
24,0.066514757,233.318891317,193.215698242,255.000000000,-0.842524261,6.375689301
25,0.069010417,229.352315843,183.934768677,254.000000000,4.066318775,6.610390732
26,0.058376736,230.671976338,190.981369019,254.000000000,1.919810130,5.596891576
27,0.058593750,229.354082856,188.335235596,253.673171997,4.790130722,5.613356004
28,0.062500000,224.651866555,90.333335876,253.000000000,4.788466550,5.989655797
29,0.064127604,219.042888299,183.423843384,253.000000000,5.247138902,6.150774850
30,0.035264757,229.297783015,196.000000000,253.000000000,7.980113745,3.376446449
31,0.051866319,219.540858345,190.079666138,251.408798218,-1.801160516,4.971206154
32,0.051866319,225.183951406,194.308181763,253.320755005,-1.801160516,4.971206154
33,0.051866319,223.167276390,191.591201782,253.257858276,-1.801160516,4.971206154
34,0.051866319,231.444229445,192.830184937,253.000000000,-1.801160516,4.971206154
35,0.078884549,230.312894882,185.776870728,253.000000000,-1.262512530,7.564336324
36,0.078884549,236.723665691,115.892562866,254.000000000,-1.262512530,7.564336324
37,0.078884549,229.564795073,147.976119995,255.000000000,-1.262512530,7.564336324
38,0.069118924,229.556223631,165.144653320,255.000000000,-0.270261106,6.625073702
39,0.069118924,232.369906511,182.040878296,255.000000000,-0.270261106,6.625073702
40,0.069118924,225.749805061,187.377349854,254.000000000,-0.270261106,6.625073702
41,0.069118924,224.106770179,186.232711792,253.262573242,-0.270261106,6.625073702
42,0.069118924,217.966225976,193.066040039,253.514144897,-0.270261106,6.625073702
43,0.069118924,228.641205529,191.069183350,254.000000000,-0.270261106,6.625073702
44,0.063802083,223.973757608,122.270095825,253.315673828,7.633330587,6.116703565
45,0.063802083,212.986393805,185.277404785,246.648773193,7.633330587,6.116703565
46,0.063802083,217.693979899,187.303466797,253.000000000,7.633330587,6.116703565
47,0.063802083,229.819876379,151.050781250,254.428512573,7.633330587,6.116703565
48,0.063802083,233.673633965,134.032806396,255.000000000,7.633330587,6.116703565
49,0.063802083,234.406040140,189.967697144,255.000000000,7.633330587,6.116703565
50,0.063802083,230.555299019,182.528411865,253.589477539,7.633330587,6.116703565
51,0.063802083,219.395298510,72.769065857,253.942077637,7.633330587,6.116703565
52,0.029730903,208.123071712,150.666671753,239.860794067,-1.259045207,2.844436730
53,0.029730903,215.127656923,185.230773926,245.164840698,-1.259045207,2.844436730
54,0.029730903,217.989799165,182.465194702,252.395599365,-1.259045207,2.844436730
55,0.029730903,242.651199341,192.831497192,253.439559937,-1.259045207,2.844436730
56,0.029730903,240.645316744,194.395599365,253.175827026,-1.259045207,2.844436730
57,0.029730903,210.626199708,193.758239746,228.904754639,-1.259045207,2.844436730
58,0.029730903,214.104743456,137.571426392,253.307693481,-1.259045207,2.844436730
59,0.029730903,211.111882231,176.809524536,253.000000000,-1.259045207,2.844436730
60,0.029730903,208.608633389,171.765579224,235.421234131,-1.259045207,2.844436730
