 ,Area,Mean,Min,Max,Angle,Length
1,367.555555556,200.462092288,108.885406494,254.385086060,-177.917434720,550.363516233
2,367.111111111,209.589595767,147.296966553,255.000000000,-178.958373324,550.090901579
3,304.444444444,216.734306681,140.666671753,255.000000000,180.000000000,456.000000000
4,276.444444444,200.016613166,144.333328247,254.000000000,180.000000000,414.000000000
5,177.333333333,202.528672794,159.587509155,249.355941772,-173.945808106,265.480696097
6,187.111111111,206.330302132,67.933334351,254.000000000,-178.363422958,280.114262400
7,157.777777778,207.984832850,148.265533447,254.000000000,-178.058513609,236.135554290
8,111.111111111,191.282072205,133.333328247,240.867477417,177.929969347,166.108398343
9,191.111111111,212.939556565,158.790206909,253.209793091,178.798166936,286.062930140
10,184.444444444,214.132285575,162.507247925,253.898544312,177.510447078,276.260746397
11,179.111111111,198.713245023,152.557220459,254.773635864,-179.572427493,268.007462583
12,302.222222222,193.933968028,63.171684265,254.819320679,177.466441112,452.442261510
13,269.333333333,194.269653421,159.634017944,253.488342285,175.165593694,403.435248832
14,247.555555556,193.299124891,153.153701782,245.365097046,177.214833578,370.437579087
15,227.111111111,190.861306177,97.372550964,242.970581055,-178.315315682,340.147027034
16,277.777777778,190.493384766,149.480758667,249.038467407,-179.449096021,416.019230325
17,295.111111111,186.662682338,128.600311279,222.669692993,179.740744848,442.004524864
18,293.777777778,200.314587545,141.584838867,251.221221924,179.218742338,440.040907189
19,301.777777778,212.788496790,102.492630005,254.570800781,-179.239481223,452.039821255
20,220.888888889,234.546269192,159.101501465,254.421035767,-176.185925166,330.732520324
21,233.777777778,231.958323199,160.561904907,255.000000000,-179.017882837,350.051424794
22,229.777777778,230.527956463,130.379837036,255.000000000,-178.667780146,344.093010682
23,240.444444444,223.106797590,133.000000000,255.000000000,-178.408859729,360.138862107
24,239.111111111,214.417028562,127.338920593,255.000000000,179.039825433,358.050275799
25,259.111111111,195.516784328,120.000000000,253.865982056,178.818811087,388.082465463
26,257.777777778,202.882427558,155.010360718,254.170974731,-177.922825235,386.253802570
27,227.111111111,215.249576218,152.396087646,254.764709473,-178.652112720,340.094104624
28,237.777777778,221.548700051,85.567413330,253.359558105,-178.390991094,356.140421744
29,220.444444444,223.920312143,155.727279663,253.939392090,-178.264295411,330.151480384
30,200.444444444,219.960946060,124.768890381,254.866668701,179.236101539,300.026665482
31,195.111111111,210.982166829,57.351596832,254.684936523,-178.822855114,292.061637330
32,188.444444444,207.579770178,154.340423584,254.539016724,-178.781124765,282.063822565
33,200.444444444,171.886292214,60.586666107,236.504440308,-179.618033795,300.006666593
34,183.111111111,195.510517602,159.000000000,253.333328247,180.000000000,274.000000000
35,161.777777778,199.760754680,139.578506470,253.677688599,178.106614154,242.132195298
36,195.111111111,211.283645804,134.168945312,255.000000000,-178.430645195,292.109568484
37,242.222222222,198.900266483,159.290878296,253.010406494,176.206935718,362.794707789
38,241.777777778,199.129133659,119.626152039,254.027618408,-178.417646077,362.138095207
39,257.777777778,211.084839709,100.010360718,254.777206421,179.703133333,386.005181312
40,249.777777778,201.202351730,62.336898804,255.000000000,177.856239135,374.261940357
41,264.444444444,199.248179242,40.666667938,255.000000000,180.000000000,396.000000000
42,251.111111111,211.580926784,133.528366089,254.336883545,179.085783240,376.047869293
43,227.555555556,191.628572434,146.565887451,250.796630859,177.305715710,340.376262392
44,199.111111111,187.180528879,139.756149292,237.691268921,-179.615470340,298.006711334
45,172.888888889,201.828152262,141.000000000,253.233810425,175.567331531,258.774032700
46,160.888888889,188.719658636,94.820968628,253.000000000,176.661529456,240.407986556
47,178.222222222,189.577586452,160.470077515,223.427078247,175.700137180,266.750820055
48,203.111111111,222.735805620,122.083335876,253.684204102,179.246151667,304.026314651
49,212.444444444,225.771435694,159.463302612,255.000000000,-179.279336377,318.025156238
50,200.888888889,205.837414953,62.727272034,253.439025879,176.947117485,300.426363690
51,173.777777778,202.313692605,142.782058716,253.002563477,179.559271927,260.007692194
52,199.111111111,216.621859210,142.532440186,254.167785645,-179.230975317,298.026844428
53,244.444444444,218.190571012,148.502731323,255.000000000,-179.686911425,366.005464440
54,221.777777778,197.527198990,131.062240601,255.000000000,178.964646813,332.054212441
55,181.777777778,205.429419445,161.401962280,249.911773682,179.578715096,272.007352842
56,175.111111111,215.596446662,124.333335876,255.000000000,180.000000000,262.000000000
57,167.111111111,208.844184084,124.013336182,254.000000000,178.625165219,250.071989635
58,166.666666667,193.917374349,77.278007507,255.000000000,174.472459848,249.158584038
59,196.444444444,204.839905234,149.489791870,253.877548218,177.662694141,294.244796046
60,355.555555556,221.824961300,150.203002930,253.725906372,177.416979331,532.541078228
