 ,Area,Mean,Min,Max,Angle,Length
1,206.666115557,248.970609357,88.666664124,255.000000000,180.000000000,309.332920889
2,226.221618964,245.107708135,108.706512451,255.000000000,172.763077974,338.697709668
3,210.666104890,249.507905276,192.646972656,255.000000000,177.089162174,315.072763641
4,199.555023408,249.427272159,236.738098145,255.000000000,-178.976969811,298.713883634
5,197.332807112,243.582806630,200.333328247,255.000000000,173.774170936,295.073232033
6,189.332828445,251.113712293,225.214019775,255.000000000,176.760299704,283.118757228
7,217.777197038,251.194860061,208.577987671,254.606872559,176.248270929,326.031601890
8,225.332732446,244.225745297,138.824569702,254.399444580,175.462227492,337.056090524
9,207.110558816,246.265888820,195.969665527,254.179733276,176.054813771,310.067679456
10,195.999477334,249.084230211,222.733337402,255.000000000,178.958373324,293.381423000
11,199.999466668,250.193754171,170.793670654,255.000000000,-176.933514499,299.094532254
12,206.666115557,252.619910816,129.206893921,255.000000000,179.012239600,309.378894423
13,214.666094223,245.564604718,100.799011230,255.000000000,-174.289406863,321.595591082
14,195.999477334,246.919123159,154.333328247,255.000000000,180.000000000,293.332942223
15,192.888374520,243.269636567,121.008705139,254.697540283,176.820169880,288.443717445
16,210.221661631,248.527859968,83.000000000,254.983047485,-178.058513609,314.846985924
17,210.221661631,237.873723536,87.689270020,254.333328247,179.028978069,314.711441546
18,192.443931260,245.242579119,184.543212891,254.037033081,177.878903603,288.197078907
19,171.999541334,240.348119061,140.468627930,254.000000000,174.053136946,257.384798410
20,135.555194075,246.605062166,206.438598633,254.526321411,-178.492564241,202.736559645
21,97.333073778,245.878936141,218.241424561,255.000000000,171.573030979,145.571475920
22,92.888641186,254.170653859,247.000000000,255.000000000,180.000000000,138.666481778
23,107.555268741,229.992001999,98.556060791,255.000000000,174.289406863,160.797795541
24,110.666371556,250.342704068,219.333328247,255.000000000,180.000000000,165.333112889
25,110.666371556,241.581983513,212.655914307,254.000000000,178.152389734,165.419111913
26,115.110804149,238.599554467,187.418792725,254.648574829,-172.874983651,171.994602638
27,124.888555853,244.308523375,161.523803711,255.000000000,-176.729512077,186.970930897
28,122.221896297,242.842347967,200.318252563,255.000000000,-173.290163192,182.583679420
29,117.777463704,238.731770526,189.353530884,254.696975708,176.531770741,176.322700954
30,107.110825482,239.521438092,198.000000000,250.333328247,180.000000000,159.999786667
31,110.666371556,233.563803615,185.612899780,254.000000000,-178.152389734,165.419111913
32,107.110825482,230.053941909,100.666664124,250.666671753,180.000000000,159.999786667
33,82.222002963,233.500900021,193.333328247,243.333328247,180.000000000,122.666503111
34,67.999818667,227.550509783,174.315795898,240.245605469,-176.987212496,101.473451851
35,67.999818667,213.514504875,122.473686218,243.175430298,-176.987212496,101.473451851
36,96.444187260,220.734596920,115.765434265,249.407409668,-177.878903603,144.098539454
37,107.110825482,217.132917475,78.222221375,250.866668701,178.090847567,160.088650760
38,60.888726519,229.167883100,178.666671753,238.333328247,180.000000000,90.666545778
39,110.666371556,241.387700705,208.666671753,254.000000000,-178.152389734,165.419111913
40,96.444187260,252.135404244,224.518524170,255.000000000,-177.878903603,144.098539454
41,85.777549037,252.144933750,236.333328247,255.000000000,177.614055970,128.110892113
42,110.666371556,248.231679342,114.473114014,255.000000000,178.152389734,165.419111913
43,111.110814815,244.851476501,139.589630127,255.000000000,176.308614014,165.676841146
44,110.666371556,251.954786737,239.505386353,255.000000000,178.152389734,165.419111913
45,192.443931260,233.741653249,122.209877014,254.666671753,-177.878903603,288.197078907
46,224.443845927,243.583193940,163.962951660,254.000000000,-179.090619551,336.041877321
47,188.888385186,239.803329504,139.597473145,255.000000000,178.919075813,282.716599699
48,175.555087408,253.315153909,235.464935303,255.000000000,174.173657970,262.690004009
49,199.555023408,252.337045325,112.434524536,255.000000000,178.976969811,298.713883634
50,203.110569483,245.032182756,133.853805542,255.000000000,177.990446187,304.186671359
51,185.332839112,247.231014920,108.358970642,255.000000000,-178.898293885,277.384240799
52,210.221661631,248.749286031,215.101684570,253.830505371,-178.058513609,314.846985924
53,192.443931260,247.094730474,224.950622559,254.851852417,178.939088310,288.048994418
54,195.999477334,251.005029795,232.703033447,255.000000000,-178.958373324,293.381423000
55,193.332817779,250.399136738,222.499938965,255.000000000,174.709918795,289.231547434
56,213.777207705,252.237087131,130.577789307,255.000000000,179.045158746,320.044014633
57,196.443920594,247.629987794,226.331161499,254.954650879,176.877869538,293.768981192
58,196.443920594,243.095459554,126.253059387,254.619049072,176.877869538,293.768981192
59,192.443931260,243.905097574,112.154319763,254.888885498,-178.939088310,288.048994418
60,206.666115557,246.107353653,151.241378784,255.000000000,-178.025065989,309.516774053
