 ,Area,Mean,Min,Max,Angle,Length
1,260.998435436,249.868221736,214.022994995,254.655166626,-178.025065989,388.970734699
2,246.623306462,248.768452907,187.418487549,254.000000000,178.327605639,367.448498281
3,244.826415340,245.698228161,192.470581055,254.000000000,179.157475739,364.650439477
4,243.029524218,244.355240207,203.511123657,254.000000000,178.726969980,362.019406741
5,246.623306462,244.821458021,205.788330078,254.751831055,179.581790059,367.301763434
6,243.478746999,231.205741882,201.649871826,252.000000000,175.763605201,362.921643368
7,293.342475628,249.685606695,218.380371094,254.116561890,178.243011690,437.202573150
8,311.311386845,247.102566784,205.427749634,254.000000000,-179.668814212,463.814408031
9,305.920713480,246.742045958,199.333328247,255.000000000,180.000000000,455.763769595
10,316.702060211,248.247318544,212.106063843,255.000000000,179.674459301,471.857166010
11,293.342475628,249.163430230,183.801635742,255.000000000,178.945595496,437.071034200
12,293.342475628,244.138335644,178.666671753,255.000000000,180.000000000,436.997026141
13,300.530040115,240.179771777,198.101791382,255.000000000,179.656915600,447.728906308
14,325.686515819,249.339769961,184.666671753,255.000000000,180.000000000,485.254366451
15,304.123822358,248.191003706,187.218933105,254.556213379,-178.983021969,453.154187220
16,311.311386845,244.927763285,176.637756348,255.000000000,179.668814212,463.814408031
17,293.342475628,248.149659558,198.601226807,254.000000000,178.945595496,437.071034200
18,300.530040115,236.998505232,179.666671753,254.000000000,180.000000000,447.720879544
19,243.029524218,235.685465617,164.503707886,253.185180664,179.575594581,361.939981683
20,238.088073634,245.613183363,163.174911499,254.373107910,177.397437798,354.252559545
21,252.463202608,249.009862173,187.730331421,254.705368042,175.914383220,376.291137811
22,262.346103777,243.310939136,212.265319824,254.243499756,174.093858886,390.814208224
23,266.838331582,240.712467566,158.372589111,254.000000000,176.134538830,397.687275347
24,262.795326558,244.813105135,147.333328247,255.000000000,180.000000000,391.420649182
25,260.998435436,247.333333053,160.666671753,255.000000000,180.000000000,388.739685831
26,265.041440460,249.233750864,164.437438965,255.000000000,176.496468355,394.839554407
27,257.853875973,247.974301142,186.805557251,255.000000000,177.197548480,383.836810188
28,248.420197584,245.904945249,200.949279785,255.000000000,178.754635733,370.060354769
29,250.217088705,242.983243247,177.333328247,255.000000000,180.000000000,372.653905728
30,264.592217680,244.845200155,183.904754639,255.000000000,177.662694141,394.429757146
31,257.404653192,246.215229134,208.575759888,254.083923340,178.397738654,383.527713767
32,257.404653192,242.960250801,199.331008911,254.000000000,179.198712670,383.415253288
33,254.260093729,249.225759661,228.620086670,254.000000000,-177.157862116,378.481386896
34,266.389108801,249.472737279,226.666671753,254.000000000,180.000000000,396.782575883
35,273.576673288,251.090167567,232.263153076,254.842102051,-179.246151667,407.541703592
36,260.998435436,248.126907401,218.868972778,254.195404053,179.604862957,388.748930423
37,264.592217680,250.376859500,215.156463623,254.000000000,-179.610238805,394.110731350
38,266.838331582,243.383286576,212.331390381,254.562179565,-177.292082514,397.226136079
39,266.389108801,249.368989452,227.364852905,254.000000000,178.065067690,397.008944026
40,257.404653192,250.150391850,227.454544067,254.531463623,179.198712670,383.415253288
41,248.420197584,251.388587386,225.000000000,254.000000000,179.169684514,370.011794879
42,239.435741975,250.364602552,215.807022095,255.000000000,179.569212783,356.578204292
43,236.740405292,251.887460321,216.292526245,255.000000000,174.766138353,352.676627307
44,239.435741975,248.884654977,188.924804688,255.000000000,177.847037211,356.820006899
45,241.232633097,244.564227170,205.253723145,254.955230713,179.572427493,359.259092430
46,219.669939635,233.929090317,187.663940430,253.994537354,178.591371265,327.176401817
47,189.122790566,243.974029722,206.088882446,254.000000000,179.454342407,281.513918012
48,223.263721879,246.280748640,202.806457520,255.000000000,179.075954647,332.482694002
49,235.841959731,251.461145950,223.666671753,255.000000000,179.125323229,351.247127277
50,236.291182512,249.601410753,224.978179932,254.574691772,176.069824454,352.034070632
51,237.638850853,250.956521335,193.666671753,255.000000000,180.000000000,353.887162274
52,234.943514170,248.309182949,229.935775757,254.013977051,-175.163416554,349.770689358
53,221.466830757,246.328759400,195.826553345,254.186996460,178.137379051,329.932817641
54,198.107246174,247.694838889,194.575759888,254.000000000,177.397437798,295.210466287
55,235.841959731,249.833267648,224.791336060,254.000000000,-179.125323229,351.247127277
56,235.841959731,250.840634795,231.666671753,254.000000000,180.000000000,351.206198923
57,246.623306462,248.504659851,175.136245728,254.000000000,177.909840846,367.536511070
58,229.103618025,247.470493481,194.914916992,254.662353516,176.845157135,340.999147025
59,216.076157392,240.204798455,150.991668701,253.513885498,179.522546223,321.726772554
60,223.263721879,244.840564659,192.787643433,254.000000000,-178.614082149,332.536734261
