 ,Area,Mean,Min,Max,Angle,Length
1,241.210345352,174.653349266,61.379844666,252.705429077,178.889755657,352.520141534
2,216.949343499,192.344024855,79.333335876,236.386489868,-179.753036963,316.938288675
3,236.544768073,191.457593718,101.666664124,245.333328247,180.000000000,345.623457587
4,236.544768073,188.717538461,80.678520203,240.973648071,177.962669303,345.842072539
5,244.009691720,182.386617292,81.212005615,222.992340088,-178.463699871,356.680475017
6,244.009691720,182.386617292,81.212005615,222.992340088,-178.463699871,356.680475017
7,242.143460808,194.899033166,90.692405701,247.135131836,-179.557570342,353.830610207
8,249.608384455,167.372062961,46.330837250,248.344558716,-179.570826158,364.759099127
9,225.347382602,187.988267207,56.333332062,249.000000000,180.000000000,329.230250113
10,205.751958028,175.797429870,80.666664124,244.333328247,180.000000000,300.542137032
11,256.140192647,208.842136821,68.333335876,255.000000000,180.000000000,374.311570667
12,233.745421705,200.679616445,78.160003662,230.973327637,-179.541643542,341.536084349
13,254.273961735,199.354281196,84.372550964,226.588226318,-179.157475739,371.619546680
14,257.073308103,186.200242307,35.333332062,245.000000000,180.000000000,375.677671290
15,226.280498058,199.340529578,70.727272034,236.826446533,-178.579734454,330.697945915
16,202.019496204,198.612425419,161.574081421,228.648147583,-179.204276447,295.106193598
17,180.091282990,216.393888483,128.856994629,249.921417236,-176.126510276,262.891858674
18,237.477883529,207.017895652,163.024932861,251.367446899,-178.421382028,347.121302748
19,242.143460808,188.686073127,95.549552917,238.180191040,-178.451842301,353.949263469
20,224.414267146,210.808038834,104.333335876,246.666671753,180.000000000,327.864149490
21,186.156533454,214.127820008,176.333328247,239.000000000,180.000000000,271.854023952
22,203.885727116,211.225985355,164.458724976,243.000000000,-178.948819250,297.860063701
23,206.218515756,191.674486859,126.825828552,225.953399658,-176.358814742,301.150057929
24,223.481151690,206.798906553,164.105987549,249.652725220,-177.843437325,326.729460896
25,178.691609806,220.166596176,70.605583191,255.000000000,-177.901094067,261.100392969
26,210.417535307,237.253707311,146.133331299,255.000000000,-178.726969980,307.448525258
27,219.748689866,231.354155571,125.411354065,255.000000000,-178.537446781,321.138266823
28,214.149997131,197.183145893,81.606987000,255.000000000,179.749801680,312.840025376
29,197.353918924,157.137067826,65.565559387,223.146926880,-179.728458054,288.250468613
30,188.022764365,206.729141652,155.666671753,231.950256348,-179.429911555,274.599817902
31,177.758494350,220.486365771,165.835083008,255.000000000,179.396908806,259.573497954
32,187.556206637,243.367695064,191.505538940,255.000000000,176.851903900,273.633057968
33,181.490956174,244.227643403,186.666671753,255.000000000,-177.638625342,265.248761308
34,181.490956174,244.269445424,183.216491699,255.000000000,179.409342785,265.037603975
35,195.487688013,238.490025195,180.347686768,255.000000000,177.534241005,285.779630420
36,189.888995277,221.414414483,118.666664124,255.000000000,180.000000000,277.318426443
37,198.287034380,198.648523703,129.270431519,233.833328247,179.189264781,289.642328017
38,212.750323947,211.092008323,151.951904297,233.908798218,-177.225722689,310.468720800
39,224.414267146,213.494016794,92.704162598,246.569442749,179.761268967,327.866995520
40,223.014593962,185.331826374,40.486850739,251.007217407,-176.393691377,325.777049106
41,184.290302542,228.590108828,188.813873291,255.000000000,-179.127542877,269.153026241
42,220.681805322,222.250722228,144.403961182,252.364410400,-178.786287942,322.472095905
43,216.016228043,206.624189867,128.000000000,255.000000000,180.000000000,315.569243884
44,235.611652617,185.861855490,102.849205017,255.000000000,-178.863328122,344.325113224
45,246.342480360,221.223439592,68.580039978,255.000000000,-177.387555807,359.658258894
46,235.145094889,194.629211456,88.333335876,253.113815308,-176.580016905,343.503006727
47,224.414267146,211.291721368,76.161109924,252.088882446,-178.329346729,328.003575949
48,221.614920778,209.478596440,59.333332062,255.000000000,180.000000000,323.765847621
49,216.016228043,186.177105963,58.535354614,237.040405273,-178.264295411,315.714100097
50,224.414267146,217.266421693,80.266670227,255.000000000,-179.761268967,327.866995520
51,216.949343499,197.364865375,69.804603577,251.666671753,-178.271772350,317.079576624
52,248.675268999,195.214927022,55.852130890,242.944854736,-178.062160235,363.590702714
53,234.678537161,191.922454804,59.881805420,249.827362061,-179.771731170,342.893977646
54,249.608384455,196.301333968,61.689136505,255.000000000,-179.356254286,364.771889748
55,225.347382602,208.994226807,78.666664124,250.333328247,-179.524527268,329.241586852
56,257.073308103,213.820531246,105.825454712,255.000000000,-179.583310768,375.687606436
57,244.009691720,187.680050968,79.666664124,239.000000000,180.000000000,356.552262570
58,260.805769926,203.291716055,86.992835999,250.032257080,178.973303820,381.203274093
59,258.939539014,220.087687683,68.666664124,255.000000000,180.000000000,378.409872536
60,275.735617221,213.421627703,63.189830780,255.000000000,-178.640694214,403.113123596
