 ,Area,Mean,Min,Max,Angle,Length
1,217.758181290,204.613141013,71.000000000,251.471847534,-177.172875422,325.044259598
2,249.440211764,216.535893626,112.586021423,245.666671753,-179.691961143,372.750131067
3,238.730793012,221.599082676,156.333328247,249.000000000,-178.069412559,356.915306557
4,221.327987540,206.906190626,87.026260376,253.175750732,-178.611283410,330.757809557
5,209.279891444,190.173892983,74.730766296,239.273498535,-178.164225259,312.785160024
6,213.295923476,219.712639493,109.693916321,250.182388306,-178.198839484,318.794144553
7,238.284567231,206.686262209,93.331947327,251.716720581,-171.915479004,356.245179957
8,264.611888330,215.627455250,117.682006836,245.080017090,-175.935052692,395.784448163
9,187.414828159,182.594763983,83.538284302,250.733932495,-174.656944241,279.772164990
10,218.204407071,191.758133824,118.454383850,250.560485840,-171.521448026,326.209749627
11,232.037406292,216.879812886,90.453155518,252.365036011,-174.355377794,346.368192667
12,212.403471914,222.607556415,129.686248779,252.000000000,-176.378515296,317.266176656
13,195.000666442,214.313040744,124.337905884,252.619369507,-176.448266645,291.139780977
14,176.259183626,221.480708448,82.339256287,252.000000000,-176.941302426,262.899051483
15,174.474280501,212.450612958,95.112815857,252.000000000,-178.237608976,260.643814147
16,187.861053941,214.822169469,77.400001526,252.000000000,-178.363422958,280.675051152
17,161.087507061,213.028670821,121.500000000,253.000000000,-178.567903816,240.555618410
18,172.243151594,192.731046667,78.870208740,253.000000000,-176.869755138,256.895804523
19,194.554440661,242.929426596,181.689651489,255.000000000,-178.025065989,290.753287640
20,203.032730506,244.109151953,181.560195923,255.000000000,-176.211110122,303.267455498
21,197.678021130,239.460710340,192.401519775,255.000000000,-176.884935240,295.024511235
22,212.403471914,226.955915243,150.000000000,255.000000000,-172.381453512,317.430691148
23,207.941214100,206.824296419,107.890029907,239.614364624,-171.085073043,310.361931118
24,182.506344565,208.673531679,96.953285217,245.897354126,-173.240918873,272.434006657
25,181.613893002,213.631708394,153.654785156,246.626663208,-175.763605201,271.281748347
26,178.044086751,197.770567758,57.903907776,247.333328247,-174.375371959,265.808298476
27,192.769537535,215.475416236,116.450660706,244.921798706,-174.408442244,287.942670162
28,204.371407850,217.901718506,153.721298218,249.802062988,-172.455070961,305.247373738
29,207.494988319,199.185785388,73.101837158,248.751434326,-174.805571092,309.889267237
30,208.833665663,209.699570436,73.131370544,252.000000000,-174.838901967,311.885093980
31,243.193050826,217.073377305,162.365310669,252.000000000,-177.153383084,363.172856908
32,264.611888330,225.142632238,90.581718445,253.000000000,-176.514208817,395.520537699
33,277.552435988,227.101208199,100.864730835,254.086959839,-178.339717631,415.003052629
34,261.934533642,213.634624956,89.936363220,254.067611694,-173.238761490,391.499505109
35,260.149630516,207.087923734,134.045211792,255.000000000,-174.671765218,388.451247311
36,203.032730506,216.468056530,81.740287781,253.970626831,-175.833495114,303.406470328
37,172.689377375,216.089010096,125.980400085,255.000000000,-174.644174957,257.637298202
38,157.517700810,202.078519459,115.623413086,255.000000000,-175.114797432,235.323321600
39,158.410152373,211.343661886,116.333335876,241.000000000,180.000000000,236.472471999
40,173.135603157,209.925457630,84.139533997,240.186050415,-178.667780146,258.586413666
41,171.796925813,214.632034579,117.666664124,246.666671753,180.000000000,256.512511999
42,199.016698474,210.295690802,151.320693970,240.454681396,-176.520082496,297.140478937
43,185.629925034,204.241382287,106.399528503,233.763549805,-169.583971692,277.111076075
44,129.851702367,193.103638901,109.448593140,252.000000000,-174.053136946,193.425319982
45,104.863058613,190.684342989,157.974365234,248.333328247,178.531199286,156.363688274
46,104.863058613,198.893617216,80.666664124,253.000000000,180.000000000,156.312311999
47,136.991314869,228.418024020,148.000000000,254.000000000,180.000000000,204.408407999
48,170.458248469,205.366904893,95.732284546,254.000000000,-178.646808046,254.579506112
49,149.039410965,223.075875334,179.039047241,254.294296265,-178.967755308,222.480549249
50,131.636605493,207.997739682,122.666664124,255.000000000,180.000000000,196.392391999
51,112.895122677,206.382928660,131.666671753,237.190475464,-178.636072468,168.384043620
52,123.604541429,211.885221956,170.028976440,232.000000000,-179.377244313,184.379259004
53,108.879090645,196.375683050,73.666664124,224.333328247,180.000000000,162.324323999
54,100.847026581,217.769911437,155.666671753,237.666671753,180.000000000,150.300299999
55,115.572477365,208.028358960,110.736434937,226.581405640,178.002120144,172.449172793
56,127.620573461,212.539173260,154.894729614,239.178939819,178.191260678,190.475282850
57,126.281896117,209.233277850,91.957443237,252.000000000,179.390493423,188.387035293
58,142.346024245,179.742947151,55.333332062,250.000000000,180.000000000,212.424423999
59,175.812957845,209.160841308,106.615776062,246.122131348,-179.562636132,262.532172758
60,171.796925813,198.949452091,104.635414124,245.174468994,-177.763020937,256.708140917
