ROI,Position_um,Intensity
0,0.00,239.0071

0,0.67,238.9625

0,1.34,240.3012

0,2.01,240.4245

0,2.68,241.6046

0,3.35,241.5214

0,4.02,241.9723

0,4.69,242.2069

0,5.36,242.3365

0,6.03,242.571

0,6.70,242.5657

0,7.37,242.429

0,8.04,242.534

0,8.71,242.3445

0,9.38,242.2172

0,10.05,242.3825

0,10.72,242.0219

0,11.39,242.2887

0,12.06,241.5612

0,12.73,241.7596

0,13.40,241.0652

0,14.08,241.2239

0,14.75,240.6582

0,15.42,241.0201

0,16.09,241.0639

0,16.76,241.055

0,17.43,241.7136

0,18.10,241.9321

0,18.77,242.6032

0,19.44,242.6796

0,20.11,243.0885

0,20.78,243.2122

0,21.45,243.265

0,22.12,243.3592

0,22.79,243.2971

0,23.46,243.3333

0,24.13,243.4316

0,24.80,243.3601

0,25.47,243.1448

0,26.14,243.2721

0,26.81,242.5684

0,27.48,242.773

0,28.15,242.1354

0,28.82,242.3177

0,29.49,241.7391

0,30.16,241.8744

0,30.83,241.3601

0,31.50,241.6573

0,32.17,241.496

0,32.84,241.6108

0,33.51,241.3177

0,34.18,241.3744

0,34.85,241.2484

0,35.52,241.1921

0,36.19,241.2435

0,36.86,241.4084

0,37.53,241.2176

0,38.20,241.5036

0,38.87,241.0273

0,39.54,241.2985

0,40.21,240.5357

0,40.88,240.5751

0,41.55,240.2475

0,42.23,240.3458

0,42.90,239.7265

0,43.57,239.9392

0,44.24,239.4629

0,44.91,239.492

0,45.58,238.9392

0,46.25,239.1104

0,46.92,238.8713

0,47.59,239.055

0,48.26,240.0156

0,48.93,240.1729

0,49.60,241.147

0,50.27,241.1559

0,50.94,242.1953

0,51.61,242.1886

0,52.28,242.3803

0,52.95,242.5402

0,53.62,242.5156

0,54.29,242.6836

0,54.96,242.3686

0,55.63,242.4987

0,56.30,241.7864

0,56.97,241.7596

0,57.64,240.9638

0,58.31,240.9879

0,58.98,240.42

0,59.65,240.4718

0,60.32,239.6649

0,60.99,239.6801

0,61.66,239.3329

0,62.33,239.3548

0,63.00,239.4035

0,63.67,239.4794

0,64.34,239.4553

0,65.01,239.6984

0,65.68,239.5661

0,66.35,239.8802

0,67.02,238.9455

0,67.69,239.2462

0,68.36,238.9209

0,69.03,239.2042

0,69.70,238.9303

0,70.38,238.9455

0,71.05,239.0004

0,71.72,239.2167

0,72.39,239.6716

0,73.06,239.6881

0,73.73,239.7216

0,74.40,239.9062

0,75.07,239.8432

0,75.74,240.0536

0,76.41,239.9272

0,77.08,239.958

0,77.75,239.7391

0,78.42,239.8977

0,79.09,239.3959
