ROI,Position_um,Intensity
0,0.00,224.8782

0,0.67,224.6769

0,1.33,224.5249

0,2.00,224.5956

0,2.67,224.3169

0,3.33,224.2542

0,4.00,223.9267

0,4.67,223.8467

0,5.33,223.6102

0,6.00,223.4729

0,6.67,223.2831

0,7.33,223.2498

0,8.00,223.1498

0,8.67,223.3044

0,9.33,223.9124

0,10.00,224.0782

0,10.67,224.4853

0,11.33,224.3884

0,12.00,224.6369

0,12.67,224.7591

0,13.33,224.8427

0,14.00,224.8209

0,14.67,224.7627

0,15.33,225.0156

0,16.00,224.8493

0,16.67,224.8742

0,17.33,224.8622

0,18.00,224.8489

0,18.67,224.6582

0,19.33,224.6729

0,20.00,224.4053

0,20.67,224.2867

0,21.33,224.2529

0,22.00,224.2596

0,22.67,224.4889

0,23.33,224.5876

0,24.00,225.1142

0,24.67,225.0649

0,25.33,225.3907

0,26.00,225.62

0,26.67,225.7924

0,27.33,226.0218

0,28.00,226.1538

0,28.67,226.2391

0,29.33,226.3244

0,30.00,226.3364

0,30.67,226.5911

0,31.33,226.5898

0,32.00,226.5698

0,32.67,226.424

0,33.33,226.3444

0,34.00,226.2858

0,34.67,226.0831

0,35.33,226.0942

0,36.00,225.9249

0,36.67,225.9222

0,37.33,225.6658

0,38.00,225.5604

0,38.67,225.1978

0,39.33,225.2324

0,40.00,225.0493

0,40.67,224.948

0,41.33,224.8742

0,42.00,224.9196

0,42.67,225.2227

0,43.33,225.2093

0,44.00,225.3751

0,44.67,225.4724

0,45.33,225.4613

0,46.00,225.508

0,46.67,225.4831

0,47.33,225.4462

0,48.00,225.3538

0,48.67,225.2698

0,49.33,225.3804

0,50.00,225.2142

0,50.67,225.7769

0,51.33,225.8102

0,52.00,226.1627

0,52.67,226.1987

0,53.33,226.2551

0,54.00,226.1658

0,54.67,225.8933

0,55.33,225.996

0,56.00,225.5818

0,56.67,225.5573

0,57.33,225.1876

0,58.00,225.2756

0,58.67,225.1013

0,59.33,225.1427

0,60.00,225.0293

0,60.67,225.1387

0,61.33,225.172

0,62.00,225.1187

0,62.67,225.008

0,63.33,225.1987

0,64.00,225.1573

0,64.67,225.088

0,65.33,225.1418

0,66.00,225.1578

0,66.67,225.2036

0,67.33,225.3249

0,68.00,225.252

0,68.67,225.396

0,69.33,225.1773

0,70.00,225.2347

0,70.67,225.1342

0,71.33,225.0916

0,72.00,225.06

0,72.67,225.0018

0,73.33,225.1089

0,74.00,225.0982

0,74.67,225.328

0,75.33,225.5387

0,76.00,225.6271

0,76.67,225.6924

0,77.33,225.5764

0,78.00,225.3871

0,78.67,224.7111

0,79.33,225.0244

0,80.00,224.34

0,80.67,224.248

0,81.33,223.4738

0,82.00,223.5364

0,82.67,223.3

0,83.33,223.2947

0,84.00,223.3093

0,84.67,223.4147

0,85.33,223.88

0,86.00,223.8533

0,86.67,224.5538

0,87.33,224.6578

0,88.00,225.4836

0,88.67,225.6742

0,89.33,226.1729

0,90.00,226.3022

0,90.67,226.5449

0,91.33,226.6982

0,92.00,226.8884

0,92.67,227.0564

0,93.33,227.1204

0,94.00,227.2324

0,94.67,226.9382

0,95.33,227.0929

0,96.00,226.8751

0,96.67,226.9471

0,97.33,227.2249

0,98.00,227.3831

0,98.67,228.0182

0,99.33,227.9902

0,100.00,228.5196

0,100.67,228.6862

0,101.33,228.8591

0,102.00,228.9431

0,102.67,228.9747

0,103.33,228.924

0,104.00,229.0196

0,104.67,229.1596

0,105.33,229.2627

0,106.00,229.3893

0,106.67,229.7053

0,107.33,229.6893

0,108.00,230.2204

0,108.67,230.2538

0,109.33,230.8102

0,110.00,230.8502

0,110.67,231.1764

0,111.33,231.2698

0,112.00,231.2338

0,112.67,231.3964

0,113.33,231.4

0,114.00,231.3267

0,114.67,231.196

0,115.33,231.16

0,116.00,230.8213

0,116.67,230.8453

0,117.33,230.6791

0,118.00,230.6618

0,118.67,230.2809

0,119.33,230.3702

0,120.00,229.992

0,120.67,229.816

0,121.33,229.7267

0,122.00,229.7693

0,122.67,230.2307

0,123.33,230.4947

0,124.00,231.1787

0,124.67,231.1413

0,125.33,231.764

0,126.00,231.7907

0,126.67,232.1849

0,127.33,232.2276

0,128.00,232.6364

0,128.67,232.6711

0,129.33,232.9107

0,130.00,232.9227

0,130.67,232.9564

0,131.33,233.0609

0,132.00,233.0271

0,132.67,233.0644

0,133.33,232.9613

0,134.00,233.0173

0,134.67,233.0902

0,135.33,233.2156

0,136.00,233.0587

0,136.67,233.0662

0,137.33,232.7876

0,138.00,232.7689

0,138.67,232.6209

0,139.33,232.5916

0,140.00,232.5951

0,140.67,232.6151

0,141.33,232.6422

0,142.00,232.8329

0,142.67,232.7587

0,143.33,232.8787

0,144.00,232.6182

0,144.67,232.6929

0,145.33,232.3049

0,146.00,232.4009

0,146.67,232.2631

0,147.33,232.4498

0,148.00,232.2836

0,148.67,232.2742

0,149.33,232.5938

0,150.00,232.3702

0,150.67,232.2804

0,151.33,232.1116

0,152.00,232.6862

0,152.67,232.9169

0,153.33,233.5702

0,154.00,233.8809

0,154.67,234.5249

0,155.33,234.7102

0,156.00,234.5738

0,156.67,234.6053

0,157.33,234.5156

0,158.00,234.6418

0,158.67,234.648

0,159.33,234.684

0,160.00,234.4387

0,160.67,234.5747

0,161.33,234.4049

0,162.00,234.3916

0,162.67,234.0947

0,163.33,234.156
