ROI,Position_um,Intensity
0,0.00,242.5578

0,0.67,241.9947

0,1.33,240.884

0,2.00,240.9884

0,2.67,239.4098

0,3.33,239.0107

0,4.00,238.0671

0,4.67,238.2484

0,5.33,237.5409

0,6.00,237.0267

0,6.67,235.3733

0,7.33,234.4978

0,8.00,233.3969

0,8.67,233.2907

0,9.33,233.196

0,10.00,233.0404

0,10.67,232.0916

0,11.33,232.0307

0,12.00,231.4924

0,12.67,231.1124

0,13.33,229.4142

0,14.00,229.0818

0,14.67,227.12

0,15.33,227.2284

0,16.00,225.5822

0,16.67,225.0813

0,17.33,224.4187

0,18.00,224.1427

0,18.67,221.9302

0,19.33,221.132

0,20.00,219.7573

0,20.67,220.0582

0,21.33,219.9653

0,22.00,220.2809

0,22.67,220.9049

0,23.33,221.248

0,24.00,221.156

0,24.67,220.6684

0,25.33,220.9782

0,26.00,221.8627

0,26.67,221.9191

0,27.33,222.4889

0,28.00,221.2836

0,28.67,221.488

0,29.33,220.2649

0,30.00,219.9742

0,30.67,218.2271

0,31.33,217.7996

0,32.00,216.0502

0,32.67,215.5929

0,33.33,215.0169

0,34.00,215.5018

0,34.67,215.7667

0,35.33,215.8547

0,36.00,215.4

0,36.67,215.7453

0,37.33,215.8071

0,38.00,216.6396

0,38.67,215.9027

0,39.33,216.5556

0,40.00,214.8169

0,40.67,214.6444

0,41.33,211.4698

0,42.00,211.3991

0,42.67,208.7333

0,43.33,208.8969

0,44.00,208.468

0,44.67,209.4498

0,45.33,209.0289

0,46.00,209.2031

0,46.67,208.276

0,47.33,208.8844

0,48.00,208.6111

0,48.67,209.3089

0,49.33,208.4311

0,50.00,209.4604

0,50.67,207.1391

0,51.33,207.1356

0,52.00,206.3742

0,52.67,206.7844

0,53.33,205.1907

0,54.00,205.956

0,54.67,205.0644

0,55.33,205.3889

0,56.00,206.2858

0,56.67,207.2787

0,57.33,208.4578

0,58.00,209.4391

0,58.67,210.3609

0,59.33,211.3511

0,60.00,211.1813

0,60.67,213.0022

0,61.33,212.0751

0,62.00,212.6316

0,62.67,211.5178

0,63.33,211.1996

0,64.00,209.6111

0,64.67,209.6724

0,65.33,207.6147

0,66.00,208.2507

0,66.67,206.6111

0,67.33,207.7004

0,68.00,207.6022

0,68.67,208.1809

0,69.33,208.0787

0,70.00,209.1396

0,70.67,208.5938

0,71.33,208.8

0,72.00,208.6071

0,72.67,209.5133

0,73.33,209.464

0,74.00,209.9813

0,74.67,208.5667

0,75.33,208.5769

0,76.00,207.2862

0,76.67,207.8796

0,77.33,207.0533

0,78.00,207.6618

0,78.67,207.412

0,79.33,207.8258

0,80.00,207.9804

0,80.67,208.7573

0,81.33,208.3907

0,82.00,209.5791

0,82.67,208.6893

0,83.33,209.6573

0,84.00,207.2769

0,84.67,207.4116

0,85.33,206.3396

0,86.00,206.8791

0,86.67,205.8618

0,87.33,206.1036

0,88.00,205.7907

0,88.67,206.38

0,89.33,206.1053

0,90.00,206.9289

0,90.67,207.4507

0,91.33,208.6209

0,92.00,208.9698

0,92.67,208.9458

0,93.33,207.7778

0,94.00,208.4889

0,94.67,207.1378

0,95.33,208.4084

0,96.00,207.3964

0,96.67,208.0973

0,97.33,206.2671

0,98.00,206.6809

0,98.67,205.6227

0,99.33,206.472

0,100.00,206.4218

0,100.67,207.2569

0,101.33,206.3262

0,102.00,207.7009

0,102.67,207.4596

0,103.33,208.4689

0,104.00,207.6369

0,104.67,207.4978

0,105.33,206.524

0,106.00,207.5396

0,106.67,205.8867

0,107.33,206.4827

0,108.00,206.7436

0,108.67,208.4089

0,109.33,208.1747

0,110.00,208.776

0,110.67,207.6049

0,111.33,207.6418

0,112.00,206.6329

0,112.67,206.9173

0,113.33,204.9551

0,114.00,206.5213

0,114.67,204.9791

0,115.33,205.5591

0,116.00,204.2396

0,116.67,204.8156

0,117.33,202.1982

0,118.00,204.2218

0,118.67,205.0116

0,119.33,206.12

0,120.00,204.9942

0,120.67,206.1751

0,121.33,206.7356

0,122.00,208.2582

0,122.67,208.3769

0,123.33,208.3947

0,124.00,207.7924

0,124.67,209.9924

0,125.33,210.5031

0,126.00,211.2489

0,126.67,210.3293

0,127.33,211.4178

0,128.00,208.8604

0,128.67,209.9196

0,129.33,208.0169

0,130.00,209.1329

0,130.67,205.4591

0,131.33,205.1244

0,132.00,202.9804

0,132.67,204.0364

0,133.33,203.3622

0,134.00,204.0702

0,134.67,204.8831

0,135.33,205.8658

0,136.00,205.7489

0,136.67,207.5391

0,137.33,209.7151

0,138.00,210.5684

0,138.67,209.7138

0,139.33,209.9116

0,140.00,208.0449

0,140.67,208.236

0,141.33,206.0067

0,142.00,206.3747

0,142.67,204.288

0,143.33,204.612

0,144.00,202.0671

0,144.67,202.4102

0,145.33,203.1662

0,146.00,204.644

0,146.67,204.2142

0,147.33,205.9751

0,148.00,205.7022

0,148.67,206.1391

0,149.33,206.2382

0,150.00,206.4547

0,150.67,205.2049

0,151.33,205.7542

0,152.00,204.7116

0,152.67,206.3644

0,153.33,206.4942

0,154.00,207.292

0,154.67,205.4018

0,155.33,206.0209

0,156.00,205.3107

0,156.67,205.5804

0,157.33,204.0187

0,158.00,205.6116

0,158.67,203.5653

0,159.33,205.2378

0,160.00,204.452

0,160.67,205.6747

0,161.33,204.5138

0,162.00,206.6889

0,162.67,205.4191

0,163.33,205.0947

0,164.00,204.7071

0,164.67,206.2311

0,165.33,205.5747

0,166.00,206.1902

0,166.67,205.2613

0,167.33,207.0138

0,168.00,205.9884

0,168.67,206.1289

0,169.33,205.0893

0,170.00,205.9787

0,170.67,205.656

0,171.33,206.9702

0,172.00,206.2782

0,172.67,207.1036

0,173.33,206.212

0,174.00,206.692

0,174.67,205.2102

0,175.33,206.3209

0,176.00,204.6129

0,176.67,205.2978

0,177.33,202.4533

0,178.00,203.0884

0,178.67,200.4916

0,179.33,200.8787

0,180.00,199.5627

0,180.67,200.7138

0,181.33,198.988

0,182.00,200.0289

0,182.67,199.6676

0,183.33,200.4182

0,184.00,200.0236

