ROI,Position_um,Intensity
0,0.00,204.5284

0,0.67,201.64

0,1.33,201.6684

0,2.00,202.8387

0,2.67,205.2444

0,3.33,204.6924

0,4.00,204.8236

0,4.67,203.7102

0,5.33,206.2889

0,6.00,207.4031

0,6.67,208.9409

0,7.33,208.6844

0,8.00,208.6644

0,8.67,206.8636

0,9.33,206.4782

0,10.00,204.5929

0,10.67,205.8036

0,11.33,203.7991

0,12.00,202.3724

0,12.67,200.8076

0,13.33,202.5129

0,14.00,201.4431

0,14.67,203.8356

0,15.33,202.9813

0,16.00,204.1653

0,16.67,202.7062

0,17.33,203.5969

0,18.00,204.3227

0,18.67,205.2609

0,19.33,204.0969

0,20.00,204.7693

0,20.67,203.6396

0,21.33,205.0458

0,22.00,206.2924

0,22.67,208.2707

0,23.33,207.6298

0,24.00,208.5204

0,24.67,208.0382

0,25.33,209.536

0,26.00,208.4791

0,26.67,206.668

0,27.33,202.7173

0,28.00,203.3364

0,28.67,202.1591

0,29.33,203.7236

0,30.00,204.9267

0,30.67,208.0324

0,31.33,207.8196

0,32.00,209.4333

0,32.67,208.2631

0,33.33,209.1236

0,34.00,207.3342

0,34.67,206.4858

0,35.33,206.4836

0,36.00,206.3889

0,36.67,203.4373

0,37.33,203.3729

0,38.00,202.2333

0,38.67,201.9702

0,39.33,202.496

0,40.00,203.9116

0,40.67,202.9169

0,41.33,206.3862

0,42.00,206.6142

0,42.67,207.5698

0,43.33,206.6129

0,44.00,207.2907

0,44.67,203.7453

0,45.33,204.4618

0,46.00,203.8084

0,46.67,204.9964

0,47.33,201.6596

0,48.00,202.0396

0,48.67,200.2036

0,49.33,202.1436

0,50.00,202.4698

0,50.67,203.4827

0,51.33,202.9738

0,52.00,206.8013

0,52.67,205.9791

0,53.33,206.8689

0,54.00,207.7729

0,54.67,209.0529

0,55.33,207.3702

0,56.00,206.42

0,56.67,205.7436

0,57.33,208.6813

0,58.00,207.6493

0,58.67,208.3178

0,59.33,207.5027

0,60.00,208.188

0,60.67,207.6827

0,61.33,209.4102

0,62.00,207.612

0,62.67,208.3422

0,63.33,207.8711

0,64.00,209.1627

0,64.67,208.0573

0,65.33,208.6196

0,66.00,206.972

0,66.67,207.9116

0,67.33,206.9564

0,68.00,206.1098

0,68.67,204.7298

0,69.33,204.4267

0,70.00,202.5982

0,70.67,204.4276

0,71.33,203.4302

0,72.00,203.3662

0,72.67,202.076

0,73.33,204.6893

0,74.00,203.7756

0,74.67,205.9493

0,75.33,204.7938

0,76.00,205.3102

0,76.67,205.6476

0,77.33,208.1756

0,78.00,208.7276

0,78.67,209.516

0,79.33,207.5071

0,80.00,208.0733

0,80.67,207.7231

0,81.33,207.7916

0,82.00,205.4511

0,82.67,205.352

0,83.33,206.8027

0,84.00,209.1347

0,84.67,208.0191

0,85.33,209.0364

0,86.00,207.6831

0,86.67,208.3036

0,87.33,205.9907

0,88.00,206.1102

0,88.67,202.4311

0,89.33,203.4502

0,90.00,202.9511

0,90.67,207.2111

0,91.33,207.9049

0,92.00,209.9956

0,92.67,208.6213

0,93.33,208.3582

0,94.00,207.4618

0,94.67,208.6631

0,95.33,207.5022

0,96.00,207.3876

0,96.67,206.7396

0,97.33,207.4644

0,98.00,207.412

0,98.67,208.66

0,99.33,207.5422

0,100.00,207.8898

0,100.67,205.1613

0,101.33,206.0787

0,102.00,206.8022

0,102.67,208.1378

0,103.33,206.9733

0,104.00,207.3044

0,104.67,207.6693

0,105.33,209.5827

0,106.00,207.9058

0,106.67,208.2884

0,107.33,206.7733

0,108.00,207.5831

0,108.67,206.9516

0,109.33,208.3378

0,110.00,207.4907

0,110.67,207.4893

0,111.33,206.0827

0,112.00,207.0004

0,112.67,206.6978

0,113.33,209.5587

0,114.00,209.1582

0,114.67,210.8364

0,115.33,209.5676

0,116.00,210.736

0,116.67,210.6298

0,117.33,210.9791

0,118.00,208.9529

0,118.67,208.7449

0,119.33,207.7356

0,120.00,208.0938

0,120.67,208.3342

0,121.33,209.828

0,122.00,209.1796

0,122.67,210.6836

0,123.33,209.8947

0,124.00,211.4387

0,124.67,210.7502

0,125.33,212.0289

0,126.00,210.3218

0,126.67,210.0987

0,127.33,207.9178

0,128.00,208.0631

0,128.67,207.404

0,129.33,208.1022

0,130.00,207.6213

0,130.67,209.0942

0,131.33,208.8889

