ROI,Position_um,Intensity
0,0.00,226.7512

0,0.67,226.0018

0,1.35,225.9591

0,2.02,225.9501

0,2.70,226.0697

0,3.37,226.5439

0,4.05,226.5065

0,4.72,226.8592

0,5.40,227.2883

0,6.07,227.3194

0,6.75,227.0918

0,7.42,226.9478

0,8.10,226.7553

0,8.77,226.5695

0,9.45,226.4926

0,10.12,226.5511

0,10.80,226.4458

0,11.47,225.9973

0,12.15,225.4827

0,12.82,225.1835

0,13.50,225.1062

0,14.17,225.0832

0,14.84,224.5897

0,15.52,224.121

0,16.19,223.6316

0,16.87,223.5011

0,17.54,223.2942

0,18.22,223.0216

0,18.89,222.4283

0,19.57,222.1822

0,20.24,221.973

0,20.92,221.7886

0,21.59,221.6635

0,22.27,221.9429

0,22.94,222.5942

0,23.62,223.242

0,24.29,223.6433

0,24.97,223.9001

0,25.64,224.0949

0,26.32,224.1691

0,26.99,224.13

0,27.67,224.6986

0,28.34,224.857

0,29.01,223.9537

0,29.69,223.794

0,30.36,224.0526

0,31.04,223.8727

0,31.71,223.3261

0,32.39,223.0387

0,33.06,223.1601

0,33.74,223.1691

0,34.41,223.6455

0,35.09,223.9523

0,35.76,224.1457

0,36.44,224.6658

0,37.11,225.2047

0,37.79,225.0364

0,38.46,224.3518

0,39.14,223.8538

0,39.81,223.6104

0,40.49,223.2726

0,41.16,223.5389

0,41.84,223.7661

0,42.51,224.2506

0,43.18,224.6442

0,43.86,225.2681

0,44.53,226.0562

0,45.21,226.6325

0,45.88,226.4656

0,46.56,225.8453

0,47.23,225.2668

0,47.91,226.085

0,48.58,226.0612

0,49.26,225.6559

0,49.93,225.5209

0,50.61,225.919

0,51.28,225.641

0,51.96,225.6581

0,52.63,225.7238

0,53.31,225.6185

0,53.98,226.0594

0,54.66,225.9995

0,55.33,225.7031

0,56.00,224.9285

0,56.68,224.8093

0,57.35,224.4548

0,58.03,223.9955

0,58.70,223.7773

0,59.38,223.5169

0,60.05,223.0418

0,60.73,222.2155

0,61.40,221.2357

0,62.08,220.9924

0,62.75,220.5623

0,63.43,220.085

0,64.10,219.6271

0,64.78,219.3419

0,65.45,219.2758

0,66.13,219.5367

0,66.80,220.1858

0,67.48,220.0913

0,68.15,219.6136

0,68.83,219.0877

0,69.50,218.7512

0,70.17,217.6977

0,70.85,216.6158

0,71.52,216.5843

0,72.20,216.7917

0,72.87,216.8614

0,73.55,216.3477

0,74.22,216.4755

0,74.90,217.8003

0,75.57,218.664

0,76.25,219.1404

0,76.92,218.9775

0,77.60,218.4125

0,78.27,218.3365

0,78.95,217.7701

0,79.62,216.4125

0,80.30,215.8889

0,80.97,215.7206

0,81.65,215.7224

0,82.32,216.3234

0,83.00,216.1984

0,83.67,215.3572

0,84.34,214.668

0,85.02,214.2024

0,85.69,213.39

0,86.37,213.1021

0,87.04,213.1084

0,87.72,212.9424

0,88.39,212.6743

0,89.07,212.386

0,89.74,212.1498

0,90.42,211.4579

0,91.09,210.3261

0,91.77,209.0378

0,92.44,208.4584

0,93.12,206.861

0,93.79,205.8893

0,94.47,205.4849

0,95.14,204.8727

0,95.82,204.0306

0,96.49,203.0436

0,97.17,203.3117

0,97.84,204.8165

0,98.51,205.4251

0,99.19,206.2384

0,99.86,207.4422

0,100.54,207.8745

0,101.21,208.4638

0,101.89,209.5614

0,102.56,210.794

0,103.24,212.6464

0,103.91,213.3378

0,104.59,213.0652

0,105.26,212.3621

0,105.94,211.7958

0,106.61,211.5825

0,107.29,211.2591

0,107.96,209.6923

0,108.64,206.8884

0,109.31,204.5425

0,109.99,204.3909

0,110.66,204.5646

0,111.34,204.6437

0,112.01,205.1601

0,112.68,205.4507

0,113.36,205.7895

0,114.03,205.8291

0,114.71,205.5416

0,115.38,204.9316

0,116.06,204.3297

0,116.73,204.2123

0,117.41,204.7418

0,118.08,206.0864

0,118.76,206.9024

0,119.43,206.5983

0,120.11,206.4894

0,120.78,206.3702

0,121.46,205.4372

0,122.13,204.5313

0,122.81,203.7508

0,123.48,204.3792

0,124.16,206.2164

0,124.83,206.9123

0,125.51,206.7346

0,126.18,206.5933

0,126.85,206.8111

0,127.53,208.2267

0,128.20,209.1736

0,128.88,209.4291

0,129.55,209.3158

0,130.23,209.7782

0,130.90,210.2731

0,131.58,210.0441

0,132.25,209.6392

0,132.93,209.3194

0,133.60,209.2605

0,134.28,209.7157

0,134.95,209.9055

0,135.63,210.0045

0,136.30,210.2964

0,136.98,210.6437

0,137.65,210.5933

0,138.33,210.2726

0,139.00,209.3437

0,139.67,208.8174

0,140.35,208.2065

0,141.02,208.3437

0,141.70,208.0729

0,142.37,207.6019

0,143.05,206.942

0,143.72,207.0346

0,144.40,206.7566

0,145.07,205.7382

0,145.75,205.2402

0,146.42,204.9906

0,147.10,205.4166

0,147.77,206.9649

0,148.45,208.0301

0,149.12,209.3954

0,149.80,211.0823

0,150.47,212.1057

0,151.15,212.2411

0,151.82,212.7625

0,152.50,213.1062

0,153.17,212.8327

0,153.84,211.5947

0,154.52,210.5542

0,155.19,209.6383

0,155.87,208.0769

0,156.54,207.4755

0,157.22,207.7877

0,157.89,207.7953

0,158.57,207.6437

0,159.24,208.3648

0,159.92,209.1287

0,160.59,209.4035

0,161.27,209.7346

0,161.94,209.5416

0,162.62,208.8682

0,163.29,207.4399

0,163.97,205.0877

0,164.64,203.4827

0,165.32,202.6037

0,165.99,201.933

0,166.67,201.8583

0,167.34,202.0175

0,168.01,202.7382

0,168.69,204.0949

0,169.36,205.9784

0,170.04,207.682

0,170.71,209.6698

0,171.39,211.0418

0,172.06,211.8718

0,172.74,213.0801

0,173.41,213.1363

0,174.09,212.9532

0,174.76,213.7

0,175.44,214.5803

0,176.11,215.7769

0,176.79,217.5628

0,177.46,218.951

0,178.14,219.448

0,178.81,219.4885

0,179.49,218.9618

0,180.16,218.9586

0,180.84,219.0328

0,181.51,219.1318

0,182.18,218.7994

0,182.86,217.7467

0,183.53,216.9933

0,184.21,216.6563

0,184.88,216.13

0,185.56,215.3423

0,186.23,214.1466

0,186.91,214.022

0,187.58,213.9334

0,188.26,214.5556

0,188.93,215.7647

0,189.61,216.8079

0,190.28,217.2987

0,190.96,217.5565

0,191.63,217.1637

0,192.31,217.0666

0,192.98,217.5205

0,193.66,217.9163

0,194.33,218.1948

0,195.01,217.9474

0,195.68,217.2753

0,196.35,216.9694

0,197.03,217.0274

0,197.70,216.4085

0,198.38,216.1952

0,199.05,216.1984

0,199.73,215.8403

0,200.40,215.6649

0,201.08,216.2227

0,201.75,216.4696

0,202.43,216.8758

0,203.10,217.363

0,203.78,216.9658

0,204.45,216.6077

0,205.13,216.3414

0,205.80,216.3455

0,206.48,216.9168

0,207.15,217.8277

0,207.83,218.6136

0,208.50,218.9784

0,209.18,220.0657

0,209.85,220.9366

0,210.52,221.7638

0,211.20,222.0459

0,211.87,221.9325

0,212.55,222.1516

0,213.22,221.6712

0,213.90,221.3599

0,214.57,220.7157

0,215.25,219.9258

0,215.92,218.8511

0,216.60,217.4363

0,217.27,217.2389

0,217.95,217.345

0,218.62,217.4291

0,219.30,217.2892

0,219.97,217.197

0,220.65,217.0589

0,221.32,217.4044

0,222.00,217.2483

0,222.67,216.484

0,223.35,216.7341

0,224.02,216.9942

0,224.69,217.1044

0,225.37,217.8619

0,226.04,218.534

0,226.72,219.1615

0,227.39,220.013

0,228.07,220.722

0,228.74,221.538

0,229.42,222.4453

0,230.09,223.3234

0,230.77,223.4552

0,231.44,223.5016

0,232.12,223.4476

0,232.79,223.5281

0,233.47,223.2915

