ROI,Position_um,Intensity
0,0.00,208.0844

0,0.67,207.8716

0,1.33,208.38

0,2.00,208.936

0,2.67,207.9227

0,3.33,206.0907

0,4.00,205.0551

0,4.67,204.6578

0,5.33,203.6213

0,6.00,202.3916

0,6.67,201.1044

0,7.33,200.8187

0,8.00,201.5164

0,8.67,202.5058

0,9.33,202.9942

0,10.00,202.3013

0,10.67,200.9556

0,11.33,199.7204

0,12.00,198.84

0,12.67,198.0418

0,13.33,198.0627

0,14.00,198.764

0,14.67,199.2911

0,15.33,199.1436

0,16.00,199.9133

0,16.67,201.4049

0,17.33,202.0862

0,18.00,203.1058

0,18.67,203.6404

0,19.33,203.9911

0,20.00,203.7769

0,20.67,203.1987

0,21.33,202.2747

0,22.00,200.9978

0,22.67,200.0596

0,23.33,199.7951

0,24.00,200.0164

0,24.67,200.7276

0,25.33,200.9022

0,26.00,201.3453

0,26.67,201.4004

0,27.33,200.5258

0,28.00,199.4649

0,28.67,198.8818

0,29.33,197.92

0,30.00,197.176

0,30.67,196.6751

0,31.33,196.5271

0,32.00,196.4551

0,32.67,196.3724

0,33.33,197.0724

0,34.00,198.1982

0,34.67,198.7044

0,35.33,198.5809

0,36.00,198.1382

0,36.67,197.2298

0,37.33,196.8658

0,38.00,196.3044

0,38.67,195.924

0,39.33,196.5711

0,40.00,198.0124

0,40.67,199.7889

0,41.33,201.0853

0,42.00,202.3911

0,42.67,203.7418

0,43.33,204.7418

0,44.00,204.8853

0,44.67,204.3107

0,45.33,204.0951

0,46.00,204.2613

0,46.67,204.548

0,47.33,205.1178

0,48.00,205.8724

0,48.67,206.5018

0,49.33,207.0644

0,50.00,206.4422

0,50.67,206.2867

0,51.33,206.68

0,52.00,207.3916

0,52.67,208.4711

0,53.33,209.2978

0,54.00,210.0707

0,54.67,210.1187

0,55.33,209.8218

0,56.00,209.3378

0,56.67,209.1991

0,57.33,209.5724

0,58.00,209.4369

0,58.67,209.4649

0,59.33,209.2004

0,60.00,208.8387

0,60.67,209.0329

0,61.33,209.7391

0,62.00,210.6631

0,62.67,211.0453

0,63.33,211.2222

0,64.00,212.2573

0,64.67,213.0307

0,65.33,213.8996

0,66.00,213.9849

0,66.67,214.112

0,67.33,214.304

0,68.00,214.18

0,68.67,213.9436

0,69.33,213.9858

0,70.00,214.288

0,70.67,214.196

0,71.33,213.8329

0,72.00,213.6711

0,72.67,213.2911

0,73.33,212.1573

0,74.00,211.2498

0,74.67,210.1258

0,75.33,209.6276

0,76.00,209.228

0,76.67,209.0836

0,77.33,209.1107

0,78.00,209.0596

0,78.67,209.5644

0,79.33,210.0813

0,80.00,210.276

0,80.67,210.6111

0,81.33,211.196

0,82.00,212.1907

0,82.67,212.82

0,83.33,213.1409

0,84.00,212.6813

0,84.67,212.1684

0,85.33,211.7693

0,86.00,212.2258

0,86.67,212.688

0,87.33,213.3356

0,88.00,213.4658

0,88.67,213.1356

0,89.33,213.744

0,90.00,213.968

0,90.67,213.9231

0,91.33,213.6902

0,92.00,213.5862

0,92.67,213.3627

0,93.33,213.7111

0,94.00,214.0382

0,94.67,213.9187

0,95.33,213.7507

0,96.00,214.0631

0,96.67,213.5329

0,97.33,212.1551

0,98.00,210.8133

0,98.67,209.696

0,99.33,208.4004

0,100.00,207.5693

0,100.67,208.0867

0,101.33,208.3036

0,102.00,208.1258

0,102.67,207.984

0,103.33,208.0302

0,104.00,208.7013

0,104.67,208.9467

0,105.33,209.2258

0,106.00,209.104

0,106.67,209.2462

0,107.33,209.2702

0,108.00,209.7862

0,108.67,210.4418

0,109.33,211.4702

0,110.00,212.0298

0,110.67,212.5271

0,111.33,212.896

0,112.00,213.3476

0,112.67,213.8569

0,113.33,214.3982

0,114.00,214.4702

0,114.67,214.5004

0,115.33,214.5378

0,116.00,214.312

0,116.67,214.1058

0,117.33,214.132

0,118.00,214.3716

0,118.67,214.144

0,119.33,213.8484

0,120.00,213.7627

0,120.67,214.168

0,121.33,214.7164

0,122.00,215.3698

0,122.67,215.5089

0,123.33,215.7347

0,124.00,216.6147

0,124.67,217.7769

0,125.33,218.4129

0,126.00,218.8182

0,126.67,219.4342

0,127.33,219.9698

0,128.00,220.0471

0,128.67,219.8293

0,129.33,219.8062

0,130.00,220.3213

0,130.67,220.428

0,131.33,221.1649

0,132.00,221.9009

0,132.67,222.68

0,133.33,223.2169

0,134.00,223.6827

0,134.67,223.9818

0,135.33,224.2018

0,136.00,224.7009

0,136.67,224.6178

0,137.33,223.4982

0,138.00,221.9836

0,138.67,220.8187

0,139.33,219.7613

0,140.00,218.5356

0,140.67,217.6422

0,141.33,216.7382

0,142.00,216.0027

0,142.67,215.7582

0,143.33,215.9182

0,144.00,216.256

0,144.67,217.2316

0,145.33,218.1107

0,146.00,218.8773

0,146.67,219.8316

0,147.33,219.7649

0,148.00,219.472

0,148.67,219.14

0,149.33,219.3182

0,150.00,219.1462

0,150.67,218.4284

0,151.33,217.968

0,152.00,217.9089

0,152.67,217.3791

0,153.33,217.012

0,154.00,216.7338

0,154.67,216.3569

0,155.33,216.044

0,156.00,216.3004

0,156.67,216.3547

0,157.33,216.4378

0,158.00,216.6893

0,158.67,216.6764

0,159.33,216.788

0,160.00,217.1831

0,160.67,217.0169

0,161.33,216.2556

0,162.00,216.0347

0,162.67,216.0071

0,163.33,215.9884

0,164.00,215.6782

0,164.67,215.9631

0,165.33,216.7204

0,166.00,217.1427

0,166.67,217.076

0,167.33,217.296

0,168.00,217.2627

0,168.67,217.0142

0,169.33,216.9542

0,170.00,217.3978

0,170.67,217.8956

0,171.33,218.1053

0,172.00,218.216

0,172.67,217.7698

0,173.33,217.0609

0,174.00,216.7276

0,174.67,215.9809

0,175.33,215.6467

0,176.00,216.1947

0,176.67,216.3578

0,177.33,215.9444

0,178.00,215.9569

0,178.67,216.4396

0,179.33,216.9667

0,180.00,217.6902

0,180.67,218.0338

0,181.33,218.0564

0,182.00,218.2556

0,182.67,218.1631

0,183.33,218.6307

0,184.00,218.8036

0,184.67,219.0782

0,185.33,219.156

0,186.00,218.7991

