ROI,Position_um,Intensity
0,0.00,213.1276

0,0.67,213.2356

0,1.33,213.6253

0,2.00,213.1076

0,2.67,213.5747

0,3.33,212.9604

0,4.00,212.4124

0,4.67,212.2769

0,5.33,212.6271

0,6.00,211.9369

0,6.67,212.6649

0,7.33,211.5178

0,8.00,211.1471

0,8.67,210.088

0,9.33,209.5369

0,10.00,208.5102

0,10.67,207.7729

0,11.33,206.4209

0,12.00,205.1427

0,12.67,203.472

0,13.33,201.9831

0,14.00,201.9618

0,14.67,201.4307

0,15.33,202.7044

0,16.00,202.3187

0,16.67,203.7262

0,17.33,203.1902

0,18.00,205.0453

0,18.67,204.2258

0,19.33,205.0596

0,20.00,203.204

0,20.67,203.8471

0,21.33,203.128

0,22.00,203.396

0,22.67,202.9067

0,23.33,203.5444

0,24.00,203.1791

0,24.67,204.4907

0,25.33,204.0716

0,26.00,204.3049

0,26.67,204.3769

0,27.33,204.5418

0,28.00,205.6044

0,28.67,205.8187

0,29.33,206.7267

0,30.00,205.9249

0,30.67,206.5884

0,31.33,205.5822

0,32.00,207.1462

0,32.67,206.1547

0,33.33,207.3484

0,34.00,207.1724

0,34.67,207.5551

0,35.33,206.7942

0,36.00,207.4707

0,36.67,206.8347

0,37.33,206.7902

0,38.00,205.4867

0,38.67,204.9649

0,39.33,204.5587

0,40.00,204.7724

0,40.67,203.6347

0,41.33,202.0547

0,42.00,201.6804

0,42.67,201.5267

0,43.33,202.7453

0,44.00,203.3089

0,44.67,204.7213

0,45.33,204.1702

0,46.00,204.5942

0,46.67,202.3947

0,47.33,202.9196

0,48.00,202.8609

0,48.67,203.4067

0,49.33,202.2813

0,50.00,203.2196

0,50.67,202.1724

0,51.33,202.1342

0,52.00,200.648

0,52.67,201.3453

0,53.33,201.4227

0,54.00,201.6382

0,54.67,201.896

0,55.33,202.1249

0,56.00,202.5867

0,56.67,202.3809

0,57.33,204.0151

0,58.00,204.4316

0,58.67,205.4844

0,59.33,205.8356

0,60.00,207.7516

0,60.67,206.1956

0,61.33,205.596

0,62.00,204.6218

0,62.67,205.4387

0,63.33,205.4027

0,64.00,206.0098

0,64.67,204.7182

0,65.33,204.4498

0,66.00,204.1147

0,66.67,204.0969

0,67.33,204.5391

0,68.00,205.0587

0,68.67,204.5569

0,69.33,204.1351

0,70.00,203.3053

0,70.67,201.6778

0,71.33,201.2022

0,72.00,200.6129

0,72.67,200.956

0,73.33,200.704

0,74.00,201.2204

0,74.67,200.9604

0,75.33,203.5453

0,76.00,202.5164

0,76.67,203.8853

0,77.33,203.5418

0,78.00,205.3253

0,78.67,205.2516

0,79.33,205.3484

0,80.00,204.1889

0,80.67,203.9333

