ROI,Position_um,Intensity
0,0.00,243.5613

0,0.67,244.2236

0,1.33,245.0231

0,2.00,245.0627

0,2.67,245.4342

0,3.33,245.9844

0,4.00,245.7098

0,4.67,245.7076

0,5.33,245.4267

0,6.00,245.5396

0,6.67,245.2609

0,7.33,245.384

0,8.00,245.9236

0,8.67,245.7609

0,9.33,246.1409

0,10.00,246.1996

0,10.67,246.2622

0,11.33,246.5227

0,12.00,246.8902

0,12.67,247.0876

0,13.33,247.6289

0,14.00,247.7693

0,14.67,247.7871

0,15.33,247.7151

0,16.00,247.7342

0,16.67,247.8422

0,17.33,248.2076

0,18.00,248.3089

0,18.67,248.4747

0,19.33,248.4129

0,20.00,248.5458

0,20.67,248.4938

0,21.33,248.3111

0,22.00,248.4044

0,22.67,247.9396

0,23.33,247.7409

0,24.00,247.3898

0,24.67,247.4356

0,25.33,247.5316

0,26.00,247.4267

0,26.67,247.3982

0,27.33,247.5142

0,28.00,247.8222

0,28.67,248.0702

0,29.33,248.1809

0,30.00,248.2062

0,30.67,248.152

0,31.33,248.0293

0,32.00,248.1036

0,32.67,248.2484

0,33.33,247.8827

0,34.00,247.8062

0,34.67,248.3209

0,35.33,248.1356

0,36.00,248.3604

0,36.67,248.4716

0,37.33,248.6071

0,38.00,248.9213

0,38.67,248.8964

0,39.33,248.9667

0,40.00,248.7009

0,40.67,248.424

0,41.33,247.4049

0,42.00,247.4151

0,42.67,246.8809

0,43.33,246.7622

0,44.00,246.0369

0,44.67,245.7267

0,45.33,244.7342

0,46.00,244.488

0,46.67,244.816

0,47.33,244.6338

0,48.00,244.3351

0,48.67,244.8489

0,49.33,244.32

0,50.00,243.6409

0,50.67,243.1569

0,51.33,242.9111

0,52.00,242.5964

0,52.67,242.8876

0,53.33,242.5338

0,54.00,242.7351

0,54.67,242.4907

0,55.33,242.4249

0,56.00,242.2316

0,56.67,242.3884

0,57.33,241.9658

0,58.00,241.8076

0,58.67,241.4782

0,59.33,241.7369

0,60.00,241.6618

0,60.67,241.6164

0,61.33,241.0764

0,62.00,240.9653

0,62.67,240.6862

0,63.33,240.4951

0,64.00,240.5898

0,64.67,240.7813

0,65.33,241.1236

0,66.00,241.396

0,66.67,241.9444

0,67.33,242.5307

0,68.00,243.2582

0,68.67,243.6387

0,69.33,244.2311

0,70.00,244.6271

0,70.67,245.2978

0,71.33,245.6978

0,72.00,245.9391

0,72.67,246.2804

0,73.33,246.5778

0,74.00,246.8084

0,74.67,246.456

0,75.33,246.5524

0,76.00,245.844

0,76.67,245.8124

0,77.33,245.4884

0,78.00,245.4636

0,78.67,245.1462

0,79.33,245.1867

0,80.00,245.1178

0,80.67,245.0911

0,81.33,245.172

0,82.00,245.236

0,82.67,245.5987

0,83.33,245.5951

0,84.00,245.604

0,84.67,245.664

0,85.33,245.6604

0,86.00,245.9271

0,86.67,246.1058

0,87.33,246.2849

0,88.00,246.2889

0,88.67,246.1462

0,89.33,245.6049

0,90.00,245.3227

0,90.67,244.6818

0,91.33,244.7924

0,92.00,244.1453

0,92.67,244.2476

0,93.33,244.1213

0,94.00,244.2387

0,94.67,244.5991

0,95.33,244.716

0,96.00,244.8196

0,96.67,244.8964

0,97.33,244.6924

0,98.00,244.4613

0,98.67,244.2271

0,99.33,244.0573

0,100.00,243.936

0,100.67,243.7587

0,101.33,243.8796

0,102.00,243.9711

0,102.67,244.2582

0,103.33,244.4636

0,104.00,244.4809

0,104.67,244.5867

0,105.33,244.0258

0,106.00,244.296

0,106.67,244.076

0,107.33,244.1613

0,108.00,244.0307

0,108.67,244.1671

0,109.33,244.0484

0,110.00,244.2196

0,110.67,243.9564

0,111.33,243.9898

0,112.00,243.8809

0,112.67,243.9

0,113.33,243.8387

0,114.00,244.0613

0,114.67,243.9649

0,115.33,243.956

0,116.00,244.0338

0,116.67,244.2431

0,117.33,244.4436

0,118.00,244.4947

0,118.67,244.1453

0,119.33,243.9778

0,120.00,243.9862

0,120.67,244.292

0,121.33,243.8987

0,122.00,243.9827

0,122.67,243.7196

0,123.33,243.8573

0,124.00,243.8236

0,124.67,243.9267

0,125.33,243.0876

0,126.00,243.1489

0,126.67,242.8142

0,127.33,243.1596

0,128.00,242.8324

0,128.67,243.3009

0,129.33,242.8178

0,130.00,243.1391

0,130.67,243.3271

0,131.33,243.5836

