ROI,Position_um,Intensity
0,0.00,189.5943

0,1.04,189.929

0,2.09,189.8678

0,3.13,191.3403

0,4.18,191.0612

0,5.22,190.7404

0,6.27,190.9736

0,7.31,191.3841

0,8.36,191.1781

0,9.40,190.2923

0,10.45,189.0327

0,11.49,189.65

0,12.54,190.3918

0,13.58,191.0014

0,14.63,190.4363

0,15.67,190.3264

0,16.72,191.048

0,17.76,192.1072

0,18.81,192.659

0,19.85,192.5852

0,20.90,192.7446

0,21.94,191.9937

0,22.99,191.7968

0,24.03,193.5017

0,25.08,194.3626

0,26.12,193.9422

0,27.17,193.5296

0,28.21,194.3744

0,29.26,195.3493

0,30.30,195.8191

0,31.35,195.1371

0,32.39,194.6534

0,33.44,194.6228

0,34.48,195.6646

0,35.53,196.2262

0,36.57,197.19

0,37.62,196.6374

0,38.66,196.666

0,39.71,196.5588

0,40.75,195.7168

0,41.80,195.3994

0,42.84,194.6576

0,43.89,194.4537

0,44.93,196.1566

0,45.98,196.7773

0,47.02,196.2818

0,48.07,196.9395

0,49.11,198.8225

0,50.16,199.2234

0,51.20,197.508

0,52.25,196.277

0,53.29,195.7954

0,54.34,195.2658

0,55.38,195.1914

0,56.43,196.0967

0,57.47,195.9708

0,58.52,195.9248

0,59.56,195.5372

0,60.61,194.6674

0,61.65,194.6305

0,62.70,193.4391

0,63.74,194.6597

0,64.79,196.4008

0,65.83,196.6646

0,66.88,196.6444

0,67.92,196.7662

0,68.96,195.5665

0,70.01,194.4704

0,71.05,195.3883

0,72.10,195.785

0,73.14,195.3076

0,74.19,196.0703

0,75.23,196.3939

0,76.28,197.0932

0,77.32,197.2881

0,78.37,197.4252

0,79.41,196.9854

0,80.46,197.2658

0,81.50,198.0438

0,82.55,199.0355

0,83.59,197.9088

0,84.64,195.6221

0,85.68,195.73

0,86.73,196.0654

0,87.77,195.9659

0,88.82,196.682

0,89.86,197.2046

0,90.91,197.1086

0,91.95,197.2902

0,93.00,195.9262

0,94.04,195.4008

0,95.09,195.5644

0,96.13,195.9492

0,97.18,195.8288

0,98.22,195.9346

0,99.27,195.968

0,100.31,194.9165

0,101.36,193.9798

0,102.40,193.3292

0,103.45,193.1768

0,104.49,192.913

0,105.54,193.3807

0,106.58,192.2797

0,107.63,191.1016

0,108.67,190.6354

0,109.72,191.4426

0,110.76,191.739

0,111.81,191.6479

0,112.85,192.3695

0,113.90,192.3521

0,114.94,192.1628

0,115.99,192.6771

0,117.03,192.3194

0,118.08,191.6722

0,119.12,191.3166

0,120.17,190.4725

0,121.21,191.1134

0,122.26,191.3667

0,123.30,191.0383

0,124.35,190.5727

0,125.39,190.9541

0,126.44,191.0536

0,127.48,191.453

0,128.53,192.1308

0,129.57,192.103

0,130.62,191.3403

0,131.66,190.8448

0,132.71,190.405

0,133.75,189.0995

0,134.80,189.3779

0,135.84,190.572

0,136.88,192.0195

0,137.93,192.4502

0,138.97,191.0772

0,140.02,190.3967

0,141.06,191.2429

0,142.11,192.4621

0,143.15,191.8135

0,144.20,190.7676

0,145.24,188.8511

0,146.29,188.5985

0,147.33,187.6834

0,148.38,187.4461

0,149.42,187.6827

0,150.47,187.3243

0,151.51,186.6827

0,152.56,187.3138

0,153.60,187.6653

0,154.65,187.2763

0,155.69,187.0863

0,156.74,187.3354

0,157.78,188.428

0,158.83,189.039

0,159.87,188.4008

0,160.92,186.8796

0,161.96,187.167

0,163.01,187.7502

0,164.05,189.4468

0,165.10,190.1802

0,166.14,189.1816

0,167.19,187.2136

0,168.23,186.3396

0,169.28,187.5525

0,170.32,188.4154

0,171.37,187.8852

0,172.41,187.6639

0,173.46,188.9381

0,174.50,189.7119

0,175.55,188.9715

0,176.59,187.4419

0,177.64,185.9054

0,178.68,184.9506

0,179.73,186.293

0,180.77,187.0605

0,181.82,187.7815

0,182.86,189.0383

0,183.91,189.5672

0,184.95,189.7731

0,186.00,190.2839

0,187.04,191.2032

0,188.09,191.9541

0,189.13,192.7286

0,190.18,193.0438

0,191.22,193.8302

0,192.27,192.8288

0,193.31,191.3549

0,194.36,189.9715

0,195.40,189.2958

0,196.45,189.2999

0,197.49,190.0355

0,198.54,190.9944

0,199.58,192.7516

0,200.63,193.9513

0,201.67,193.6611

0,202.72,193.0271

0,203.76,192.8796

0,204.80,192.8379

0,205.85,192.2359

0,206.89,191.3159

0,207.94,190.9402

0,208.98,190.4614

0,210.03,190.7349

0,211.07,192.1795

0,212.12,192.6521

0,213.16,191.8372

0,214.21,191.8761

0,215.25,191.4057

0,216.30,190.8532

0,217.34,189.9081

0,218.39,189.9318

0,219.43,190.0988

0,220.48,190.3535

0,221.52,191.2199

0,222.57,192.1002

0,223.61,191.8761

0,224.66,190.9269

0,225.70,190.7376

0,226.75,190.9151

0,227.79,191.5115

0,228.84,192.2415

0,229.88,192.4635

0,230.93,191.492

0,231.97,191.3229

0,233.02,191.3994

0,234.06,191.6166

0,235.11,191.3486

0,236.15,191.5672

0,237.20,192.2881

0,238.24,192.4148

0,239.29,192.7857

0,240.33,193.6374

0,241.38,194.3403

0,242.42,194.9464

0,243.47,194.3493

0,244.51,194.1051

0,245.56,194.1614

0,246.60,193.2728

0,247.65,193.8441

0,248.69,194.746

0,249.74,194.888

0,250.78,193.1434

0,251.83,192.6145

0,252.87,192.7954

0,253.92,192.4732

0,254.96,192.1823

0,256.01,192.3786

0,257.05,192.0237

0,258.10,191.8845

0,259.14,191.7425

0,260.19,192.4454

0,261.23,193.9743

0,262.28,193.8775

0,263.32,193.4106

0,264.37,193.5553

0,265.41,193.1635

0,266.46,191.5407

0,267.50,191.4071

0,268.55,192.9889

