ROI,Position_um,Intensity
0,0.00,253.4211

0,0.67,253.4211

0,1.34,253.4238

0,2.01,253.4225

0,2.67,253.4225

0,3.34,253.4225

0,4.01,253.4225

0,4.68,253.4225

0,5.35,253.4211

0,6.02,253.4211

0,6.68,253.4211

0,7.35,253.4211

0,8.02,253.4211

0,8.69,253.4211

0,9.36,253.4211

0,10.03,253.4211

0,10.69,253.4211

0,11.36,253.4211

0,12.03,253.4211

0,12.70,253.4211

0,13.37,253.4211

0,14.04,253.4211

0,14.71,253.4211

0,15.37,253.4211

0,16.04,253.4211

0,16.71,253.4211

0,17.38,253.4211

0,18.05,253.4211

0,18.72,253.4211

0,19.38,253.4211

0,20.05,253.4211

0,20.72,253.4211

0,21.39,253.4211

0,22.06,253.4211

0,22.73,253.4211

0,23.39,253.4211

0,24.06,253.4211

0,24.73,253.4211

0,25.40,253.4211

0,26.07,253.4225

0,26.74,253.4225

0,27.41,253.4225

0,28.07,253.4225

0,28.74,253.4225

0,29.41,253.4211

0,30.08,253.4238

0,30.75,253.4238

0,31.42,253.4238

0,32.08,253.4238

0,32.75,253.4225

0,33.42,253.4225

0,34.09,253.4238

0,34.76,253.4225

0,35.43,253.4238

0,36.10,253.4238

0,36.76,253.4238

0,37.43,253.4238

0,38.10,253.4238

0,38.77,253.4251

0,39.44,253.4251

0,40.11,253.4238

0,40.77,253.393

0,41.44,253.3957

0,42.11,253.3797

0,42.78,253.3824

0,43.45,253.3783

0,44.12,253.377

0,44.78,253.385

0,45.45,253.381

0,46.12,253.377

0,46.79,253.2914

0,47.46,253.246

0,48.13,253.2313

0,48.80,253.2995

0,49.46,253.3316

0,50.13,253.3409

0,50.80,253.2981

0,51.47,253.2767

0,52.14,253.2634

0,52.81,253.3008

0,53.47,253.3066

0,54.14,253.2932

0,54.81,253.2941

0,55.48,253.2941

0,56.15,253.2799

0,56.82,253.2999

0,57.48,253.2955

0,58.15,253.2888

0,58.82,253.2865

0,59.49,253.2678

0,60.16,253.2857

0,60.83,253.2763

0,61.50,253.2487

0,62.16,253.2179

0,62.83,253.1734

0,63.50,253.0994

0,64.17,253.0013

0,64.84,252.9198

0,65.51,252.7594

0,66.17,252.6056

0,66.84,252.5602

0,67.51,252.3725

0,68.18,252.2304

0,68.85,252.2531

0,69.52,252.266

0,70.18,252.0544

0,70.85,252.0307

0,71.52,251.7981

0,72.19,251.8516

0,72.86,251.6145

0,73.53,251.5147

0,74.20,251.4011

0,74.86,251.2513

0,75.53,250.9131

0,76.20,251.0165

0,76.87,251.1591

0,77.54,251.2313

0,78.21,251.1377

0,78.87,251.0512

0,79.54,251.3801

0,80.21,251.5045

0,80.88,251.0784

0,81.55,250.7643

0,82.22,250.3454

0,82.89,249.8815

0,83.55,249.4265

0,84.22,249.3574

0,84.89,248.7865

0,85.56,248.3387

0,86.23,247.8097

0,86.90,247.566

0,87.56,247.0856

0,88.23,246.6818

0,88.90,245.9198

0,89.57,245.828

0,90.24,245.7041

0,90.91,245.8525

0,91.57,245.3734

0,92.24,245.1493

0,92.91,245.3124

0,93.58,245.3324

0,94.25,245.0419

0,94.92,245.2553

0,95.59,244.611

0,96.25,244.0263

0,96.92,242.6221

0,97.59,242.742

0,98.26,241.7299

0,98.93,241.3739

0,99.60,240.9349

0,100.26,241.0637

0,100.93,239.9755

0,101.60,239.7549

0,102.27,238.7206

0,102.94,238.6529

0,103.61,238.4657

0,104.27,239.5018

0,104.94,239.2758

0,105.61,239.2781

0,106.28,239.6573

0,106.95,240.197

0,107.62,239.7932

0,108.29,240.1047

0,108.95,240.537

0,109.62,240.8333

0,110.29,240.1368

0,110.96,240.0749

0,111.63,239.8168

0,112.30,239.2037

0,112.96,237.1332

0,113.63,236.8204

0,114.30,236.9381

0,114.97,236.139

0,115.64,236.1105

0,116.31,236.9661

0,116.97,237.3209

0,117.64,238.3061

0,118.31,238.1774

0,118.98,238.0905

0,119.65,237.8035

0,120.32,238.1827

0,120.99,237.4274

0,121.65,237.6622

0,122.32,237.2576

0,122.99,237.717

0,123.66,237.0891

0,124.33,237.0606

0,125.00,236.7567

0,125.66,236.8846

0,126.33,236.0201

0,127.00,235.557

0,127.67,234.0717

0,128.34,234.057

0,129.01,233.0018

0,129.67,232.914

0,130.34,232.7277

0,131.01,231.9144

0,131.68,230.8084

0,132.35,230.2616

0,133.02,229.3382

0,133.69,228.91

0,134.35,228.5004

0,135.02,227.1729

0,135.69,225.9568

0,136.36,226.1417

0,137.03,226.143

0,137.70,226.9621

0,138.36,227.2897

0,139.03,227.6168

0,139.70,227.5437

0,140.37,227.725

0,141.04,226.258

0,141.71,225.6631

0,142.38,224.2063

0,143.04,223.7277

0,143.71,222.7634

0,144.38,223.1417

0,145.05,222.5619

0,145.72,223.5784

0,146.39,223.0851

0,147.05,223.7692

0,147.72,223.3173

0,148.39,223.8672

0,149.06,223.4309

0,149.73,223.9728

0,150.40,224.6337

0,151.06,226.2228

0,151.73,227.6515

0,152.40,229.299

0,153.07,229.7464

0,153.74,229.8886

0,154.41,229.6381

0,155.08,229.1992

0,155.74,228.389

0,156.41,228.549

0,157.08,228.5432

0,157.75,228.5361

0,158.42,228.3792

0,159.09,228.5437

0,159.75,227.8387

0,160.42,228.4857

0,161.09,228.0544

0,161.76,227.8578

0,162.43,227.9737

0,163.10,228.316

0,163.76,229.0918

0,164.43,229.7839

0,165.10,229.8142

0,165.77,229.8801

0,166.44,229.7772

0,167.11,230.1956

0,167.78,230.098

