ROI,Position_um,Intensity
0,0.00,248.2889

0,0.67,247.6671

0,1.33,247.8684

0,2.00,247.3116

0,2.67,247.7267

0,3.33,247.7884

0,4.00,247.9658

0,4.67,247.8822

0,5.33,248.168

0,6.00,248.2098

0,6.67,248.2578

0,7.33,247.6484

0,8.00,247.5018

0,8.67,247.4716

0,9.33,247.828

0,10.00,247.8956

0,10.67,247.8142

0,11.33,247.9947

0,12.00,248.0836

0,12.67,248.1876

0,13.33,248.2622

0,14.00,248.1413

0,14.67,248.3471

0,15.33,248.3591

0,16.00,248.424

0,16.67,248.1013

0,17.33,248.1302

0,18.00,248.0422

0,18.67,248.4578

0,19.33,248.364

0,20.00,248.6142

0,20.67,249.0338

0,21.33,248.9973

0,22.00,248.8271

0,22.67,248.9173

0,23.33,248.8364

0,24.00,248.3284

0,24.67,248.0173

0,25.33,247.8267

0,26.00,248.3938

0,26.67,248.8858

0,27.33,249.2649

0,28.00,249.352

0,28.67,249.1809

0,29.33,249.1324

0,30.00,249.2978

0,30.67,249.1293

0,31.33,249.172

0,32.00,248.9133

0,32.67,247.8418

0,33.33,246.3431

0,34.00,246.6373

0,34.67,246.1391

0,35.33,245.9369

0,36.00,245.6933

0,36.67,245.7564

0,37.33,245.848

0,38.00,246.9133

0,38.67,247.4502

0,39.33,247.7382

0,40.00,248.6098

0,40.67,249.4769

0,41.33,250.3489

0,42.00,250.5671

0,42.67,251.1573

0,43.33,251.448

0,44.00,251.4742

0,44.67,251.4427

0,45.33,251.6338

0,46.00,251.5916

0,46.67,251.892

0,47.33,251.9142

0,48.00,252.1076

0,48.67,252.088

0,49.33,252.2227

0,50.00,252.4982

0,50.67,252.4249

0,51.33,252.3658

0,52.00,252.3631

0,52.67,252.6262

0,53.33,252.712

0,54.00,252.8582

0,54.67,253.0076

0,55.33,253.0733

0,56.00,253.0827

0,56.67,253.076

0,57.33,253.0747

0,58.00,253.0689

0,58.67,253.0987

0,59.33,253.1569

0,60.00,253.1582

0,60.67,253.1738

0,61.33,253.1809

0,62.00,253.1529

0,62.67,253.2324

0,63.33,253.2236

0,64.00,253.1058

0,64.67,253.1644

0,65.33,253.1947

0,66.00,253.212

0,66.67,253.1147

0,67.33,253.1307

0,68.00,253.0004

0,68.67,252.9502

0,69.33,253.0284

0,70.00,253.0382

0,70.67,253.0516

0,71.33,252.9827

0,72.00,252.8889

0,72.67,252.9698

0,73.33,253.1791

0,74.00,253.4107

0,74.67,253.3853

0,75.33,253.3916

0,76.00,253.4453

0,76.67,253.3582

0,77.33,253.3289

0,78.00,253.3404

0,78.67,253.3347

0,79.33,253.172

0,80.00,253.0951

0,80.67,252.9764

0,81.33,252.9964

0,82.00,252.876

0,82.67,252.8044

0,83.33,252.4951

0,84.00,252.384

0,84.67,252.3169

0,85.33,252.3693

0,86.00,252.4196

0,86.67,252.4413

0,87.33,252.4271

0,88.00,252.5249

0,88.67,252.5889

0,89.33,252.5156

0,90.00,252.444

0,90.67,252.5484

0,91.33,252.5933

0,92.00,252.4284

0,92.67,252.5022

0,93.33,252.6933

0,94.00,252.7231

0,94.67,252.6911

0,95.33,252.6631

0,96.00,252.6502

0,96.67,252.7467

0,97.33,252.6689

0,98.00,252.5511

0,98.67,252.7618

0,99.33,252.6933

0,100.00,252.6587

0,100.67,252.8284

0,101.33,252.7973

0,102.00,252.7324

0,102.67,252.8773

0,103.33,252.9747

0,104.00,253.1409

0,104.67,253.0987

0,105.33,253.0991

0,106.00,253.0342

0,106.67,253.1044

0,107.33,253.108

0,108.00,253.1373

0,108.67,253.0178

0,109.33,252.9329

0,110.00,252.8151

0,110.67,252.8529

0,111.33,252.8564

0,112.00,252.7373

0,112.67,252.8862

0,113.33,252.9098

0,114.00,253.0178

0,114.67,253.0333

0,115.33,253.008

0,116.00,252.964

0,116.67,252.8876

0,117.33,253.032

0,118.00,253.0098

0,118.67,253.0636

0,119.33,253.0293

0,120.00,253.12

0,120.67,253.0564

0,121.33,252.9924

0,122.00,253.1662

0,122.67,253.2289

0,123.33,253.2804

0,124.00,253.3116

0,124.67,253.3413

0,125.33,253.2644

0,126.00,253.2484

0,126.67,253.2244

0,127.33,253.0724

0,128.00,252.9796

0,128.67,252.8062

0,129.33,252.7058

0,130.00,252.6204

0,130.67,252.5556

0,131.33,252.4916

0,132.00,252.4164

0,132.67,252.1498

0,133.33,252.1658

0,134.00,252.1222

0,134.67,252.2969

0,135.33,252.1742

0,136.00,252.116

0,136.67,252.436

0,137.33,252.4511

0,138.00,252.4716

0,138.67,252.532

0,139.33,252.44

0,140.00,252.452

0,140.67,252.1573

0,141.33,252.052

0,142.00,251.9671

0,142.67,251.94

0,143.33,251.9044

0,144.00,251.8707

0,144.67,251.748

0,145.33,251.4604

0,146.00,251.4307

0,146.67,251.448

0,147.33,251.5098

0,148.00,251.2307

0,148.67,251.0333

0,149.33,251.232

0,150.00,251.2427

0,150.67,251.4538

0,151.33,251.1622

0,152.00,250.6716

0,152.67,250.2431

0,153.33,250.1809

0,154.00,250.1191

0,154.67,249.6982

0,155.33,249.0484

0,156.00,248.9302

0,156.67,248.5031

0,157.33,248.2111

0,158.00,247.8836

0,158.67,247.7733

0,159.33,247.6284

0,160.00,248.0187

0,160.67,247.696

0,161.33,247.9507

0,162.00,247.9031

0,162.67,247.8738

0,163.33,247.4573

0,164.00,246.94

0,164.67,246.7662

0,165.33,246.5902

0,166.00,246.1622

0,166.67,246.1711

0,167.33,246.3204

0,168.00,246.4338

0,168.67,245.5644

0,169.33,245.6053

0,170.00,245.2809

0,170.67,245.6596

0,171.33,244.748

0,172.00,244.7196

0,172.67,245.288

0,173.33,247.1524

0,174.00,246.836

0,174.67,246.8311

0,175.33,244.8302

0,176.00,243.7982

0,176.67,243.1782

0,177.33,243.9618

0,178.00,244.1951

0,178.67,244.2938

0,179.33,244.5453

0,180.00,245.7493

0,180.67,245.5711

0,181.33,246.3369

0,182.00,246.3791

0,182.67,246.5298

0,183.33,246.4467

0,184.00,246.7324

0,184.67,247.0462

0,185.33,247.7364

0,186.00,247.7062

0,186.67,247.8849

0,187.33,247.872

0,188.00,247.8853

0,188.67,247.4231

0,189.33,246.928

0,190.00,246.6444

0,190.67,246.7653

0,191.33,246.5431

0,192.00,246.5467

0,192.67,246.8893

0,193.33,247.2662

0,194.00,247.3191

0,194.67,247.4476

0,195.33,247.2738

0,196.00,247.3444

0,196.67,247.488

0,197.33,247.6738

0,198.00,247.476

0,198.67,247.5462

0,199.33,247.7236

0,200.00,247.6698

0,200.67,247.444

0,201.33,247.828

0,202.00,248.0387

0,202.67,248.1791

0,203.33,247.5253

0,204.00,247.6129

0,204.67,247.5978

0,205.33,247.3169

0,206.00,246.5449

0,206.67,246.1924

0,207.33,245.8871

0,208.00,246.1076

0,208.67,246.0062

0,209.33,245.8107

0,210.00,244.9587

0,210.67,244.9111

0,211.33,244.6427

0,212.00,244.9404

0,212.67,244.8316

0,213.33,245.3467

0,214.00,245.6542

0,214.67,245.6791

0,215.33,245.5609

0,216.00,245.6818

0,216.67,245.5253

0,217.33,245.4836

0,218.00,245.0809

0,218.67,245.6031

0,219.33,245.3853

0,220.00,245.1587

0,220.67,244.4578

0,221.33,243.6756

0,222.00,243.5289

0,222.67,243.0484

0,223.33,242.1902

0,224.00,242.46

0,224.67,243.1316

0,225.33,242.7173

0,226.00,242.1791

0,226.67,241.7742

0,227.33,240.4467

0,228.00,240.0662

0,228.67,239.2836

0,229.33,239.1716

0,230.00,238.7613

0,230.67,238.9916

0,231.33,238.4351

0,232.00,238.6196

0,232.67,238.5404

0,233.33,238.0973

0,234.00,238.2902

0,234.67,238.5449

0,235.33,239.0124

0,236.00,239.1169

0,236.67,240.1302

0,237.33,240.1578

0,238.00,238.8804

0,238.67,238.2991

0,239.33,238.4733

0,240.00,237.9436

0,240.67,237.9773

0,241.33,238.1467

0,242.00,238.1084

0,242.67,238.2724

0,243.33,237.7258

0,244.00,236.8129

0,244.67,236.0662

0,245.33,235.5809

0,246.00,235.5916

0,246.67,235.5822

0,247.33,234.7151

0,248.00,233.976

0,248.67,233.2858

0,249.33,233.1996

0,250.00,233.0427

0,250.67,232.9324

0,251.33,232.1564

0,252.00,232.5142

0,252.67,232.8791

0,253.33,232.4884

0,254.00,231.9347

0,254.67,231.412

0,255.33,230.8173

0,256.00,230.0422

0,256.67,230.1458

0,257.33,231.0618

0,258.00,231.608

0,258.67,231.9458

0,259.33,232.1756

0,260.00,232.4729

0,260.67,232.3053

0,261.33,232.7156

0,262.00,233.5067

0,262.67,234.7649

0,263.33,235.0391

0,264.00,235.424

0,264.67,233.8013

0,265.33,233.7187

0,266.00,234.2684

0,266.67,234.4684

0,267.33,233.8209

0,268.00,233.8867

0,268.67,233.9902

0,269.33,233.7889

0,270.00,233.544

0,270.67,233.4049

0,271.33,234.3071

0,272.00,234.4316

0,272.67,233.8338

0,273.33,233.6604

0,274.00,233.5418

0,274.67,232.9511

0,275.33,232.3867

0,276.00,233.5204

0,276.67,234.3964

0,277.33,235.0089

0,278.00,235.16

0,278.67,235.6964

0,279.33,236.5196

0,280.00,237.6298

0,280.67,237.404

0,281.33,238.3462

0,282.00,238.7724

0,282.67,238.5924

0,283.33,238.4773

0,284.00,237.8942

0,284.67,236.8524

0,285.33,236.4853

0,286.00,236.1178

0,286.67,235.7418

0,287.33,236.4382

0,288.00,237.3964

0,288.67,236.8293

0,289.33,236.6573

0,290.00,236.6102

0,290.67,236.9964

0,291.33,235.916

0,292.00,235.6093

0,292.67,234.848

0,293.33,235.1996

0,294.00,235.6729

0,294.67,235.9733

0,295.33,236.656

0,296.00,236.8996

0,296.67,237.1538

0,297.33,237.6667

0,298.00,238.192

0,298.67,238.5849

0,299.33,238.2471

0,300.00,238.1916

0,300.67,238.244

0,301.33,239.2178

0,302.00,239.1231

0,302.67,238.9444

0,303.33,238.8938

0,304.00,239.1676

0,304.67,238.3818

0,305.33,237.9333

0,306.00,237.2827

0,306.67,236.4089

0,307.33,236.0964

0,308.00,236.1631

0,308.67,235.9778

0,309.33,236.3982

0,310.00,235.8929

0,310.67,236.5498

0,311.33,236.6667

0,312.00,236.508

0,312.67,237.2311

0,313.33,238.2844

0,314.00,237.7129

0,314.67,238.1067

0,315.33,238.3876

0,316.00,238.7831

0,316.67,237.9098

0,317.33,237.7396

0,318.00,237.3822

0,318.67,237.6813

0,319.33,237.1507

0,320.00,235.7311

0,320.67,234.9596

0,321.33,235.8751

0,322.00,235.7622

0,322.67,235.9111

0,323.33,235.6711

0,324.00,234.8449

0,324.67,234.2942

0,325.33,234.0098

0,326.00,233.2791

0,326.67,232.8849

0,327.33,232.3036

0,328.00,232.1564

0,328.67,232.2982

0,329.33,232.4436

0,330.00,231.3258

0,330.67,231.8587

0,331.33,231.7298

0,332.00,231.9982

0,332.67,232.3569

0,333.33,232.7964

0,334.00,232.8307

0,334.67,233.4102

0,335.33,233.1862

0,336.00,234.1804

0,336.67,233.7587

0,337.33,233.9009

0,338.00,234.4133

0,338.67,234.4151

0,339.33,234.196

0,340.00,234.5542

0,340.67,234.6089

0,341.33,235.1249

0,342.00,235.0533

0,342.67,235.3893

0,343.33,234.4502

0,344.00,233.772

0,344.67,232.0293

0,345.33,231.5827

0,346.00,230.6231

0,346.67,230.9853

0,347.33,230.8867

0,348.00,230.1529

0,348.67,229.44

0,349.33,230.9262

0,350.00,230.4756

0,350.67,231.4956

0,351.33,230.3462

0,352.00,231.3227

0,352.67,230.868

0,353.33,231.4342

0,354.00,231.444

0,354.67,232.4498

0,355.33,231.9427

0,356.00,232.5147

0,356.67,233.0836

0,357.33,233.536

0,358.00,232.6142

0,358.67,233.0173

0,359.33,232.9276

0,360.00,233.3289

0,360.67,232.4831

0,361.33,232.8036

0,362.00,232.5089

0,362.67,232.3147

0,363.33,232.1898

0,364.00,233.3538

0,364.67,233.9827

0,365.33,234.7676

0,366.00,234.5307

0,366.67,235.0369

0,367.33,234.692

0,368.00,234.848

0,368.67,234.6124

0,369.33,234.216

0,370.00,234.3129

0,370.67,234.6262

0,371.33,233.7671

0,372.00,233.2484

0,372.67,232.7738

0,373.33,233.2729

0,374.00,232.6764

0,374.67,232.4964

0,375.33,230.6409

0,376.00,230.0711

0,376.67,229.1849

0,377.33,230.1644

0,378.00,229.1427

0,378.67,229.2809

0,379.33,228.1422

0,380.00,229.8058

0,380.67,229.5782

0,381.33,228.5453

0,382.00,225.3084

0,382.67,226.1431

0,383.33,225.4231

0,384.00,226.6853

0,384.67,227.1844

0,385.33,227.9707

0,386.00,226.6742

0,386.67,227.4258

0,387.33,227.2209

0,388.00,227.9813

0,388.67,226.1218

0,389.33,226.1676

0,390.00,225.7298

0,390.67,226.7902

0,391.33,225.5471

0,392.00,225.4427

0,392.67,224.6089

0,393.33,226.0809

0,394.00,226.0684

0,394.67,226.1924

0,395.33,224.5084

0,396.00,223.6307

0,396.67,221.8191

0,397.33,221.9316

0,398.00,221.8013

0,398.67,222.4804

0,399.33,222.2209

0,400.00,223.2409

0,400.67,222.6889

0,401.33,223.5471

0,402.00,223.2733

0,402.67,225.0636

0,403.33,224.5609

0,404.00,226.6653

0,404.67,225.564

0,405.33,226.1036

0,406.00,225.3511

0,406.67,225.728

0,407.33,224.8933

0,408.00,225.7613

0,408.67,224.9947

0,409.33,225.8276

0,410.00,225.2449

0,410.67,226.0324

0,411.33,225.8036

0,412.00,226.4733

0,412.67,225.9213

0,413.33,227.252

0,414.00,227.6698

0,414.67,227.9369

0,415.33,227.5916

0,416.00,228.4111

0,416.67,227.2307

0,417.33,226.9196

0,418.00,225.4707

0,418.67,225.2022

0,419.33,224.8493

0,420.00,225.0733

0,420.67,223.9911

0,421.33,224.4844

0,422.00,223.5093

0,422.67,223.9476

0,423.33,223.632

0,424.00,224.3111

0,424.67,223.7676

0,425.33,224.5502

0,426.00,223.3218

0,426.67,223.6151

0,427.33,222.7982

0,428.00,223.2827

0,428.67,222.3804

0,429.33,222.7244

0,430.00,222.7782

0,430.67,224.5316

0,431.33,224.8996

0,432.00,226.0578

0,432.67,225.7827

0,433.33,226.4756

0,434.00,226.396

0,434.67,227.6236

0,435.33,227.0831

0,436.00,227.2173

0,436.67,226.8204

0,437.33,227.5187

0,438.00,227.3724

0,438.67,228.152

0,439.33,228.4782

0,440.00,230.2787

0,440.67,230.0604

0,441.33,229.8978

0,442.00,228.5707

0,442.67,228.6924

0,443.33,227.9396

0,444.00,228.3182

0,444.67,227.9

0,445.33,228.8111

0,446.00,227.7236

0,446.67,228.3813

0,447.33,228.7267

0,448.00,228.9467

0,448.67,228.2502

0,449.33,228.5987

0,450.00,228.108

0,450.67,228.7747

0,451.33,228.5773

0,452.00,228.6311

0,452.67,227.872

0,453.33,227.9658

0,454.00,227.4076

0,454.67,227.8538

0,455.33,228.4889

