ROI,Position_um,Intensity
0,0.00,250.0311

0,0.67,249.5462

0,1.33,249.1876

0,2.00,249.2742

0,2.67,249.3529

0,3.33,249.1658

0,4.00,249.3124

0,4.67,249.1862

0,5.33,249.0787

0,6.00,248.4373

0,6.67,247.9511

0,7.33,247.9036

0,8.00,247.396

0,8.67,246.2849

0,9.33,244.9631

0,10.00,244.6271

0,10.67,244.6209

0,11.33,244.4769

0,12.00,244.3293

0,12.67,244.9711

0,13.33,246.0609

0,14.00,247.2836

0,14.67,247.3102

0,15.33,247.6627

0,16.00,247.8658

0,16.67,247.6587

0,17.33,246.7267

0,18.00,244.8853

0,18.67,242.9129

0,19.33,242.1671

0,20.00,243.1333

0,20.67,242.8596

0,21.33,242.6471

0,22.00,242.464

0,22.67,242.24

0,23.33,241.308

0,24.00,239.9956

0,24.67,238.6213

0,25.33,236.9302

0,26.00,235.2004

0,26.67,235.4169

0,27.33,235.5409

0,28.00,235.2004

0,28.67,235.5889

0,29.33,235.6876

0,30.00,235.0204

0,30.67,234.5676

0,31.33,234.2507

0,32.00,234.4058

0,32.67,234.5733

0,33.33,235.8822

0,34.00,236.6907

0,34.67,237.3489

0,35.33,237.7178

0,36.00,237.7187

0,36.67,237.5244

0,37.33,236.5133

0,38.00,235.056

0,38.67,235.5396

0,39.33,236.0662

0,40.00,235.9431

0,40.67,236.1747

0,41.33,235.9916

0,42.00,235.8236

0,42.67,235.8142

0,43.33,237.0191

0,44.00,237.8111

0,44.67,238.12

0,45.33,238.1587

0,46.00,238.0218

0,46.67,237.7262

0,47.33,238.0142

0,48.00,238.8396

0,48.67,238.9969

0,49.33,239.4347

0,50.00,239.632

0,50.67,239.912

0,51.33,240.3271

0,52.00,240.4058

0,52.67,239.928

0,53.33,240.2409

0,54.00,240.3164

0,54.67,240.1422

0,55.33,240.5044

0,56.00,241.4796

0,56.67,241.7036

0,57.33,241.5822

0,58.00,241.4253

0,58.67,241.3049

0,59.33,240.7893

0,60.00,239.2733

0,60.67,238.5978

0,61.33,237.9991

0,62.00,237.1582

0,62.67,236.1867

0,63.33,234.616

0,64.00,233.8027

0,64.67,233.232

0,65.33,231.6187

0,66.00,230.8987

0,66.67,230.3373

0,67.33,229.5044

0,68.00,228.8151

0,68.67,228.6938

0,69.33,228.612

0,70.00,229.0516

0,70.67,229.0071

0,71.33,228.6831

0,72.00,229.0898

0,72.67,230.0436

0,73.33,230.2071

0,74.00,230.7542

0,74.67,229.8262

0,75.33,229.5267

0,76.00,229.5333

0,76.67,229.3316

0,77.33,228.0738

0,78.00,227.3622

0,78.67,226.7796

0,79.33,226.6453

0,80.00,226.8244

0,80.67,226.708

0,81.33,225.8747

0,82.00,225.3956

0,82.67,224.9578

0,83.33,224.0951

0,84.00,222.2396

0,84.67,221.2551

0,85.33,220.6849

0,86.00,220.096

0,86.67,219.1267

0,87.33,218.8587

0,88.00,218.4031

0,88.67,217.5804

0,89.33,217.6658

0,90.00,217.5884

0,90.67,217.4569

0,91.33,216.4884

0,92.00,215.3604

0,92.67,214.6498

0,93.33,214.0413

0,94.00,214.2836

0,94.67,214.7756

0,95.33,215.1529

0,96.00,215.4653

0,96.67,214.688

0,97.33,213.2276

0,98.00,212.0658

0,98.67,212.2929

0,99.33,212.2324

0,100.00,212.2293

0,100.67,211.6044

0,101.33,212.1796

0,102.00,213.4489

0,102.67,213.6778

0,103.33,213.1098

0,104.00,213.0542

0,104.67,212.7298

0,105.33,212.9378

0,106.00,212.5756

0,106.67,212.4849

0,107.33,212.872

0,108.00,212.9547

0,108.67,212.384

0,109.33,211.6276

0,110.00,210.7267

0,110.67,209.7187

0,111.33,210.1413

0,112.00,210.3751

