ROI,Position_um,Intensity
0,0.00,209.2546

0,0.67,210.3267

0,1.34,210.5278

0,2.00,210.2328

0,2.67,210.6186

0,3.34,210.0423

0,4.01,210.1246

0,4.68,211.0552

0,5.34,212.0579

0,6.01,212.3734

0,6.68,212.3551

0,7.35,212.429

0,8.02,213.0623

0,8.68,212.6965

0,9.35,212.146

0,10.02,212.271

0,10.69,212.3307

0,11.36,212.235

0,12.02,213.1709

0,12.69,215.3551

0,13.36,216.1647

0,14.03,215.9622

0,14.70,215.8563

0,15.36,216.2995

0,16.03,216.9706

0,16.70,217.1985

0,17.37,217.8229

0,18.04,218.4077

0,18.70,218.6248

0,19.37,219.4326

0,20.04,220.012

0,20.71,219.9675

0,21.38,219.6947

0,22.04,219.6894

0,22.71,220.0196

0,23.38,219.6925

0,24.05,219.0583

0,24.72,218.2559

0,25.38,217.6627

0,26.05,218.2523

0,26.72,219.0138

0,27.39,218.4103

0,28.06,217.559

0,28.72,217.6466

0,29.39,217.976

0,30.06,218.7152

0,30.73,218.6564

0,31.40,218.8509

0,32.06,219.4504

0,32.73,219.2319

0,33.40,218.8077

0,34.07,218.1219

0,34.74,218.2212

0,35.40,218.5999

0,36.07,218.4637

0,36.74,218.008

0,37.41,217.9635

0,38.08,216.8131

0,38.74,216.2906

0,39.41,216.4023

0,40.08,216.259

0,40.75,215.9208

0,41.42,215.5349

0,42.08,215.5576

0,42.75,215.883

0,43.42,215.3632

0,44.09,214.4855

0,44.76,214.3698

0,45.42,214.3511

0,46.09,214.3338

0,46.76,213.9657

0,47.43,213.6858

0,48.10,213.1322

0,48.76,212.0823

0,49.43,211.6858

0,50.10,210.806

0,50.77,209.9849

0,51.44,209.4637

0,52.10,210.239

0,52.77,210.2884

0,53.44,209.4593

0,54.11,209.5136

0,54.78,208.8776

0,55.44,207.3218

0,56.11,206.3685

0,56.78,205.3213

0,57.45,204.9083

0,58.12,204.9751

0,58.78,205.7214

0,59.45,206.4455

0,60.12,206.1437

0,60.79,205.8478

0,61.46,205.2639

0,62.12,204.814

0,62.79,204.9635

0,63.46,205.2773

0,64.13,205.5625

0,64.80,205.8175

0,65.46,205.6453

0,66.13,206.1117

0,66.80,206.9159

0,67.47,207.5812

0,68.14,207.7245

0,68.80,207.34

0,69.47,206.3275

0,70.14,206.1504

0,70.81,205.8158

0,71.48,206.4668

0,72.14,207.3436

0,72.81,207.0997

0,73.48,206.6862

0,74.15,207.2773

0,74.82,207.6075

0,75.48,207.85

0,76.15,208.2844

0,76.82,208.6097

0,77.49,209.3307

0,78.16,209.5314

0,78.82,210.814

0,79.49,212.0018

0,80.16,212.2719

0,80.83,212.8643

0,81.50,213.8972

0,82.16,215.2612

0,82.83,216.397

0,83.50,217.0387

0,84.17,217.2599

0,84.84,217.7833

0,85.50,218.8309

0,86.17,219.9003

0,86.84,219.9012

0,87.51,220.2523

0,88.18,220.7744

0,88.84,221.2096

0,89.51,221.5567

0,90.18,221.5274

0,90.85,221.0757

0,91.52,221.1682

0,92.18,222.2439

0,92.85,222.8509

0,93.52,223.2514

0,94.19,223.8077

0,94.86,224.2158

0,95.52,224.1749

0,96.19,223.968

0,96.86,223.9969

0,97.53,223.7325

0,98.20,222.9364

0,98.86,222.2167

0,99.53,222.0498

0,100.20,221.4571

0,100.87,220.498

0,101.54,219.7721

0,102.20,219.2105

0,102.87,219.0209

0,103.54,219.2029

0,104.21,219.4379

0,104.88,219.0596

0,105.54,218.9119

0,106.21,218.9573

0,106.88,218.4428

0,107.55,217.6119

0,108.22,218.6333

0,108.88,219.781

0,109.55,219.9319

0,110.22,220.2942

0,110.89,220.6142

0,111.56,220.9533

0,112.22,221.4357

0,112.89,221.4873

0,113.56,221.534

0,114.23,221.6929

0,114.90,221.9751

0,115.56,222.4388

0,116.23,222.5185

0,116.90,222.0543

0,117.57,221.6386

0,118.24,221.296

0,118.90,220.7601

0,119.57,219.3329

0,120.24,218.3769

0,120.91,217.3155

0,121.58,217.4259

0,122.24,217.7486

0,122.91,217.6377

0,123.58,217.0134

0,124.25,215.6667

0,124.92,215.4553

0,125.58,215.0053

0,126.25,214.0814

0,126.92,213.6693

0,127.59,213.2336

0,128.26,212.9141

0,128.92,212.7962

0,129.59,212.8531

0,130.26,212.842

0,130.93,211.2399

0,131.60,210.9208

0,132.26,211.5296

0,132.93,211.6867

0,133.60,212.0494

0,134.27,213.1651

0,134.94,213.1722

0,135.60,213.9791

0,136.27,214.4895

0,136.94,215.0779

0,137.61,215.4993

0,138.28,216.5505

0,138.94,216.8011

0,139.61,217.2207

0,140.28,217.5883

0,140.95,218.3818

0,141.62,219.3057

0,142.28,219.6671

0,142.95,219.6337

0,143.62,219.0325

0,144.29,217.8037

0,144.96,216.603

0,145.62,215.2069

0,146.29,214.0895

0,146.96,214.2968

0,147.63,215.3814

0,148.30,215.9186

0,148.96,215.6373

0,149.63,216.0169

0,150.30,215.8438

0,150.97,215.5403

0,151.64,215.0085

0,152.30,215.2652

0,152.97,216.3676

0,153.64,216.9818

0,154.31,216.9008

0,154.98,217.0476

0,155.64,217.9733

0,156.31,219.2897

0,156.98,220.0138

0,157.65,220.8193

0,158.32,221.2247

0,158.98,221.0886

0,159.65,221.3703

0,160.32,221.2167

0,160.99,220.5705

0,161.66,220.7125

0,162.32,220.5381

0,162.99,220.6186

0,163.66,220.9266

0,164.33,220.8313

0,165.00,220.7917

0,165.66,221.498

0,166.33,221.4197

0,167.00,221.2314

0,167.67,221.8772

0,168.34,221.9466

0,169.00,222.5047

0,169.67,222.4134

0,170.34,222.4393

0,171.01,223.1335

0,171.68,222.9964

0,172.34,222.3097

0,173.01,222.3275

0,173.68,221.8527

0,174.35,221.964

0,175.02,222.5345

0,175.68,221.996

0,176.35,221.3685

0,177.02,220.7966

0,177.69,220.2296

0,178.36,220.2234

0,179.02,220.1709

0,179.69,219.3471

0,180.36,217.8122

0,181.03,218.0854

0,181.70,219.4388

0,182.36,220.4223

0,183.03,219.98

0,183.70,219.2684

0,184.37,219.9528

